# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:41:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\00ps9nzh.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation4\exponential_priors-20240423154126.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-291.023,1,0.0625,1,1,0,332.218,0.748126,0.636224,1.60018
-291.023,0,14.3855,0,1,1,293.353,0.748126,0.636224,1.60018
-291.023,0,2.43117,0,1,1,292.584,0.748126,0.636224,1.60018
-291.023,0,0.239791,0,1,1,292.462,0.748126,0.636224,1.60018
-282.448,0.997437,0.0186273,4,15,0,291.448,0.909619,0.685447,1.55908
-283.198,0.975877,0.0255299,5,31,0,284.561,0.984155,0.584405,1.45483
-284.654,0.966479,0.0372361,4,15,0,286.434,0.824182,0.65125,1.25149
-284.488,1,0.0569799,3,7,0,285.208,0.811679,0.678879,1.29879
-283.186,0.281181,0.101631,2,7,0,284.827,0.850695,0.713527,1.46694
-285.828,0.995812,0.0193131,5,47,0,289.292,1.19525,1.00519,3.7344
-284.669,0.975822,0.0355635,3,7,0,287.375,1.13094,1.16929,3.1905
-284.075,0.990513,0.06237,3,7,0,285.557,0.96689,1.12373,2.8475
-284.075,0.115926,0.115391,2,3,0,284.593,0.96689,1.12373,2.8475
-283.601,0.999098,0.0137811,3,7,0,284.255,1.01152,1.13153,2.77479
-282.963,0.977306,0.0265827,3,15,0,285.631,1.03637,0.948217,2.74739
-284.125,0.926394,0.0477996,2,7,0,285.46,1.15127,1.07769,3.15638
-283.691,0.896723,0.073181,2,5,0,286.598,1.01857,1.13905,2.78081
-289.587,0.000924324,0.101975,1,1,0,291.697,0.904698,1.00038,3.0477
-284.966,0.99986,0.00938154,3,7,0,290.026,0.992995,1.00961,3.02035
-283.511,0.995862,0.0180925,3,15,0,286.284,0.968385,1.04847,2.72446
-284.138,0.99546,0.0341705,3,15,0,284.71,1.16377,1.04213,2.98171
-284.562,0.999904,0.0638612,2,3,0,284.62,1.09468,0.968427,3.239
-284.562,5.30013e-008,0.119755,1,1,0,285.439,1.09468,0.968427,3.239
-284.497,0.999019,0.0121563,6,79,0,285.886,0.98939,0.538222,1.53772
-284.11,1,0.0228437,3,7,0,284.747,1.07954,0.587041,1.50863
-283.982,0.974234,0.0426079,4,15,0,284.739,0.987177,0.590114,1.7119
-282.833,0.786512,0.0731223,3,11,0,284.272,0.874382,0.842764,1.73694
-282.833,0.0381617,0.0734069,2,3,0,285.353,0.874382,0.842764,1.73694
-282.692,0.997925,0.00916888,6,127,0,285.406,0.874944,0.845881,1.77343
-282.401,0.995894,0.0167957,3,11,0,283.505,0.914139,0.83297,1.78089
-283.495,0.94757,0.0302907,4,23,0,284.613,1.00968,0.617434,1.81425
-284.115,0.93347,0.0474446,2,3,0,285.158,1.1627,0.642314,1.89227
-285.441,0.947495,0.0710167,2,3,0,285.913,1.09476,0.571177,2.00828
-284.663,0.27835,0.109633,2,3,0,288.535,0.996703,0.552156,1.64245
-283.692,0.992757,0.0285251,4,15,0,285.852,0.996505,0.571474,1.37949
-282.258,0.92714,0.0496094,3,15,0,286.43,1.07701,0.776207,2.02886
-284.352,0.453064,0.0720649,2,3,0,285.187,1.04648,0.646307,2.11647
-282.948,0.984648,0.0305057,2,3,0,284.78,1.12419,0.695817,2.05282
-282.187,0.912748,0.0512505,3,15,0,284.513,0.992027,0.860791,2.31476
-283.402,0.994006,0.0711088,3,15,0,283.652,1.02068,1.06306,2.90599
-283.402,0.0747421,0.120564,1,3,0,283.486,1.02068,1.06306,2.90599
-284.039,0.974475,0.0201632,4,31,0,287.006,1.18738,0.709805,2.33991
-282.322,0.968327,0.0326004,3,15,0,285.291,1.00167,0.718481,1.99373
-283.047,0.864018,0.0515422,2,7,0,283.835,0.971948,0.769959,1.64991
-282.452,1,0.0626433,3,11,0,283.124,1.00506,0.816347,2.30638
-282.801,0.289922,0.105771,2,7,1,283.18,0.876145,0.827052,1.9294
-283.163,0.899919,0.0317408,3,13,0,285.029,1.07497,0.857681,2.04453
-282.388,0.920337,0.0420046,2,3,0,284.398,1.08208,0.851684,2.19105
-281.788,1,0.0581315,2,7,0,282.669,1.01358,0.857241,2.13152
-282.333,0.486721,0.0967463,3,11,0,282.578,0.999409,0.974585,2.47758
-282.08,0.781578,0.0476883,2,3,0,284.123,0.977307,0.934859,2.27748
-282.36,0.941527,0.0473168,3,15,0,283.137,1.03623,0.740746,2.14211
