# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:48:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\z597ume5.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation5\exponential_priors-20240423154852.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-251.868,1,0.0625,2,3,0,298.724,0.817015,0.589043,1.69745
-251.868,0,14.3855,0,1,1,253.113,0.817015,0.589043,1.69745
-251.868,0,2.43117,0,1,1,253.51,0.817015,0.589043,1.69745
-251.868,0,0.239791,0,1,1,252.198,0.817015,0.589043,1.69745
-240.48,1,0.0186273,3,7,0,251.798,0.934551,0.668962,1.59782
-239.807,0.999139,0.0257257,3,7,0,240.613,0.951635,0.692475,1.62352
-240.297,0.888696,0.0403001,4,15,0,242.733,1.23186,1.43592,4.39776
-239.393,0.810952,0.0484714,3,7,0,242.165,0.84848,1.78273,3.47301
-237.769,0.920734,0.047653,3,7,0,241.472,0.955426,1.70361,4.10456
-234.511,0.981792,0.0679897,3,11,0,239.601,0.976955,1.17485,2.67342
-234.727,0.241365,0.119978,1,3,0,234.985,0.910056,1.23628,2.75985
-235.849,0.974674,0.0206511,3,7,0,236.101,0.868375,1.21355,2.77568
-236.846,0.949135,0.0364687,2,3,0,237.005,0.865186,1.18997,2.84611
-236.905,1,0.0596712,2,3,0,237.877,0.9015,1.36692,2.52526
-236.905,1.23019e-005,0.1145,1,1,0,237.09,0.9015,1.36692,2.52526
-235.07,1,0.00987585,5,63,0,238.155,0.969078,1.3903,3.28261
-235.779,0.980558,0.0191713,3,7,0,236.587,0.944311,1.52858,3.19925
-235.819,0.993,0.0348541,1,1,0,235.86,0.945518,1.53006,3.19017
-236.351,0.638848,0.0653628,2,7,0,239.521,0.993451,1.39789,2.82221
