# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 14:56:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ghvyrrp6.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation6\exponential_priors-20240423155626.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-194.102,1,0.0625,1,3,0,233.412,0.873772,0.605862,1.84074
-194.102,0,14.3855,0,1,1,194.775,0.873772,0.605862,1.84074
-194.102,0,2.43117,0,1,1,194.607,0.873772,0.605862,1.84074
-194.102,0,0.239791,0,1,1,194.673,0.873772,0.605862,1.84074
-191.636,1,0.0186273,3,7,0,196.062,0.894473,0.621544,1.8799
-170.717,0.953484,0.0257257,2,7,0,191.091,1.05607,0.865702,1.60351
-168.695,1,0.0350425,2,3,0,170.862,1.03127,0.828177,1.70365
-168.939,0.950048,0.0594606,1,1,0,169.008,1.04424,0.825569,1.6977
-168.939,0.000944362,0.0906853,1,3,0,171.094,1.04424,0.825569,1.6977
-167.79,0.997417,0.00710869,5,47,0,171.58,0.914361,0.942267,1.65754
-168.441,0.993809,0.0131384,3,15,0,168.631,0.910012,0.88956,1.83838
-168.01,0.995756,0.0244163,3,15,0,169.628,0.895219,0.865723,1.72441
-168.033,0.960705,0.0460547,3,15,0,169.698,0.907973,0.906239,1.83586
-169.843,0.178317,0.0780592,3,7,0,170.19,0.761136,0.890563,1.65813
-170.925,0.998442,0.0115383,4,23,0,171.286,0.739488,0.998334,1.4687
-169.102,0.964071,0.0222686,2,3,0,171.904,0.739367,0.970152,1.52461
-167.889,0.998394,0.0384869,3,7,0,170.058,0.852489,0.836428,1.4726
-169.329,0.513602,0.0735078,3,7,0,169.705,0.808298,0.848319,1.64029
-167.871,0.993445,0.0320594,3,15,0,169.686,0.8558,0.945026,1.59704
-167.635,0.988883,0.0600513,2,7,0,168.439,0.847989,1.05823,1.8581
-167.471,0.459865,0.10999,1,3,0,168.452,0.966608,0.92715,1.79775
-168.037,0.986893,0.0417826,3,15,0,170.314,0.947922,1.13908,2.21242
-168.037,0.0869312,0.0756912,3,7,0,170.052,0.947922,1.13908,2.21242
-168.981,0.995711,0.00993078,4,23,0,169.438,0.915262,1.21311,2.3546
