# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\rsk2zz4r.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation7\exponential_priors-20240423160542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-207.265,1,0.0625,1,1,0,235.369,0.737457,0.621148,1.64694
-207.265,0,14.3855,0,1,1,207.815,0.737457,0.621148,1.64694
-207.265,0,2.43117,0,1,1,207.817,0.737457,0.621148,1.64694
-207.265,0,0.239791,0,1,1,207.61,0.737457,0.621148,1.64694
-190.74,1,0.0186273,2,3,0,207.545,0.808337,0.677691,1.53841
-185.207,1,0.0257257,3,7,0,191.091,0.827943,0.764414,1.26831
-182.861,0.993575,0.0404064,4,15,0,186.087,0.853102,0.942899,1.65875
-183.315,0.85887,0.0673635,3,7,0,183.471,0.793906,0.915067,1.71471
-182.932,0.885554,0.0772343,2,3,0,183.023,0.793654,0.967972,1.64813
-182.932,5.88256e-016,0.0988391,1,1,0,188.183,0.793654,0.967972,1.64813
-187.256,0.985553,0.00782453,5,31,0,189.641,1.10164,0.791043,1.81455
-186.385,0.999691,0.014175,5,47,0,189.777,0.988951,0.70579,1.57916
-185.157,0.985221,0.027115,3,15,0,187.581,0.958706,0.7464,1.44442
-186.199,0.997896,0.049746,3,7,0,186.764,0.629581,0.796889,1.28347
-186.199,0.10938,0.094926,1,3,0,187.951,0.629581,0.796889,1.28347
-184.069,0.998384,0.0115035,6,63,0,187.067,1.00263,1.07982,2.30062
-187.151,0.892147,0.0221968,3,7,0,188.443,1.07611,1.19069,2.27661
-184.356,0.93166,0.0307719,2,3,0,188.396,1.02211,1.12565,2.34275
-184.357,0.953503,0.0479646,3,7,0,185.267,0.994102,1.20966,2.48191
-184.357,0.0444292,0.0794215,3,7,0,185.909,0.994102,1.20966,2.48191
-183.81,0.999178,0.00868715,5,47,0,185.198,0.805267,1.18351,2.03049
-184.188,0.99802,0.0166039,5,31,0,185.205,0.999748,1.0697,2.31738
-183.669,0.956806,0.0313194,2,7,0,185.866,0.8937,1.10914,2.24784
-183.689,0.899308,0.0518872,2,5,0,184.539,0.963906,1.1584,2.31174
-184.712,0.956617,0.0722524,2,3,0,184.886,0.899734,1.30054,2.55158
-184.712,8.31604e-010,0.117889,1,1,0,185.391,0.899734,1.30054,2.55158
-184.103,0.993735,0.012697,4,15,0,185.383,0.920656,1.22121,2.20103
-183.055,0.966424,0.0231537,3,15,0,185.5,0.946261,1.0128,2.00101
-185.018,0.685239,0.0387415,2,7,0,186.595,0.875067,0.966844,2.08896
-182.914,0.993822,0.0295653,2,7,0,187.104,0.810424,1.05015,1.89097
-182.699,0.962154,0.0527693,2,7,0,184.404,0.884971,1.0086,1.93794
-182.874,0.923157,0.085599,1,3,0,183.297,0.827761,1.04653,1.81989
-182.874,0.0162631,0.124017,1,3,1,187.222,0.827761,1.04653,1.81989
-183.485,0.998628,0.0158309,4,23,0,183.806,0.968418,1.08119,2.20634
-183.729,0.981226,0.0282248,4,15,0,184.275,0.816067,1.18954,2.10735
-185.073,0.874143,0.0476252,3,7,0,185.721,1.03372,0.919917,2.09473
-183.831,0.953699,0.060269,3,7,0,187.242,0.726273,0.908044,1.46601
-183.43,0.489764,0.0933545,3,7,0,184.233,0.736671,0.95127,1.60575
-183.23,0.996688,0.0436194,4,15,0,183.579,0.806687,1.10864,1.9765
-183.23,0.346901,0.0750514,1,3,0,187.135,0.806687,1.10864,1.9765
-186.881,0.960166,0.0247464,4,31,0,189.546,0.974432,1.48754,2.78375
-184.454,0.950303,0.0386848,3,9,0,188.331,0.964683,1.03566,2.29263
-184.291,0.967859,0.0586084,3,7,0,185.263,0.884827,1.21682,2.09767
-182.769,0.857235,0.0921612,3,7,0,185.592,0.864879,1.06942,1.99032
-183.137,0.209207,0.109702,1,3,0,183.375,0.844116,1.10688,1.92828
-184.082,0.990436,0.0268053,4,15,0,184.494,0.927435,1.22944,2.2475
-184.07,0.962652,0.0443168,2,3,0,184.578,0.936896,1.15912,2.41551
-183.756,0.841341,0.0680426,3,11,0,185.792,0.769094,0.802487,1.44606
-184.174,0.976294,0.0777145,2,3,0,184.243,0.708227,0.835861,1.40915
