# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:21:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\_rbaulo0.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation8\exponential_priors-20240423162136.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-284.865,1,0.0625,1,1,0,333.573,0.768657,0.639556,1.72189
-284.865,0,14.3855,0,1,1,287.145,0.768657,0.639556,1.72189
-284.865,0,2.43117,0,1,1,286.312,0.768657,0.639556,1.72189
-284.865,0,0.239791,0,1,1,285.503,0.768657,0.639556,1.72189
-281.216,0.998212,0.0186273,3,15,0,285.606,0.951931,0.893905,1.67294
-280.554,1,0.025589,3,7,0,281.402,0.944264,0.884877,1.67176
-278.483,0.994916,0.0401858,2,7,0,282.395,0.842579,0.703339,1.76391
-278.802,0.999071,0.0672698,2,3,0,279.573,0.911728,0.776558,1.5589
-278.802,0.000719969,0.119827,1,3,1,279.457,0.911728,0.776558,1.5589
-276.157,0.999959,0.00939905,6,63,0,279.572,1.06546,1.17877,3.41472
-276.141,0.994541,0.0175186,4,31,0,277.995,1.053,1.14462,3.37413
-274.357,0.994196,0.032621,3,15,0,277.854,0.971691,1.02395,2.43616
-274.681,0.780207,0.0611756,2,3,0,275.301,0.971466,1.04095,2.37458
-274.22,0.868916,0.0588048,3,11,0,275.513,0.970266,1.13922,2.77142
-274.266,0.95147,0.0749863,3,15,0,274.796,0.878289,1.1047,2.4159
-274.266,3.8817e-007,0.123652,1,3,1,276.811,0.878289,1.1047,2.4159
-276.153,0.991657,0.0108739,5,63,0,277.429,0.796964,1.28724,2.66788
-275.194,0.989546,0.0205367,4,31,0,277.248,1.0218,0.94652,2.36557
-274.727,0.919787,0.0382689,3,15,0,276.507,0.878573,0.921492,2.15995
-274.895,0.946975,0.057363,3,7,0,275.15,0.89287,1.00821,2.11735
-274.895,0.00223196,0.0927605,2,7,0,277.931,0.89287,1.00821,2.11735
-274.928,0.999741,0.00912069,5,47,0,275.609,0.966977,0.981599,2.66972
-275.928,0.984724,0.0173789,3,7,0,276.283,0.95613,0.969714,2.77974
-275.358,0.872404,0.0313823,3,7,0,279.709,0.845219,1.13073,2.69265
