# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:27:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\esrp_nfe.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=100\realisation9\exponential_priors-20240423162733.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-287.598,1,0.0625,2,5,0,309.121,1.68011,0.461896,3.1617
-287.598,0,14.3855,0,1,1,291.275,1.68011,0.461896,3.1617
-287.598,0,2.43117,0,1,1,289.06,1.68011,0.461896,3.1617
-287.598,0,0.239791,0,1,1,290.829,1.68011,0.461896,3.1617
-267.907,1,0.0186273,3,7,0,288.873,1.10203,0.612614,2.70402
-254.845,0.969753,0.0257257,3,7,0,269.961,1.17864,0.874394,2.14598
-248.68,1,0.0368324,3,7,0,255.079,0.879104,1.03325,2.1299
-249.211,0.933594,0.0625493,2,3,0,249.383,0.935963,1.0543,2.14379
-249.211,0.000153926,0.0906326,2,7,0,251.419,0.935963,1.0543,2.14379
-246.732,0.999994,0.00708683,6,63,0,249.633,0.796156,0.775356,1.51171
-249.366,0.992466,0.0132052,5,63,0,250.492,0.625697,0.622347,0.923937
-248.54,0.991234,0.0244363,4,19,0,250.256,0.871803,0.643399,1.17341
-247.297,0.998534,0.0454405,4,15,0,248.637,0.786851,0.728659,1.47019
-249.009,0.329555,0.0867218,2,7,1,252.63,1.00077,0.761121,1.73312
-247.369,0.99625,0.0205303,4,15,0,249.672,0.877774,0.868973,1.80466
-246.761,0.984138,0.0392121,4,31,0,247.762,0.743315,0.771263,1.31807
-247.839,0.943565,0.0718047,3,11,0,249.929,0.683187,0.601847,1.06725
-247.839,0.000369608,0.115463,1,3,1,250.445,0.683187,0.601847,1.06725
-247.891,0.999618,0.0105943,4,31,0,248.887,0.718347,0.583372,0.990695
-248.317,0.998916,0.0203966,5,39,0,249.854,0.92998,0.957909,2.0139
-248.035,0.993597,0.0388361,3,7,0,248.812,0.890194,0.967605,1.99759
-247.697,1,0.0721051,2,3,0,248.118,0.834571,0.983403,1.88135
-246.806,0.364931,0.135114,1,3,0,249.159,0.857863,0.801747,1.55303
-250.475,0.65098,0.0395746,2,3,0,251.317,0.940397,0.844967,1.51072
-247.194,1,0.0270037,2,3,0,250.326,0.894388,0.786925,1.5573
-246.872,0.996871,0.0502952,3,15,0,247.821,0.753018,0.712507,1.22243
-246.973,0.402388,0.0919016,2,7,0,247.436,0.851635,0.712666,1.45061
-247.219,0.884687,0.0313044,1,3,0,248.657,0.864063,0.745296,1.39286
-246.925,0.996999,0.0416096,3,15,0,247.534,0.77106,0.704686,1.3643
-246.547,0.900125,0.0750674,3,15,0,246.891,0.809355,0.801506,1.50958
-246.547,0.0414114,0.102858,1,3,0,246.998,0.809355,0.801506,1.50958
-247.29,0.996194,0.0136107,5,31,0,248.007,0.687436,0.838069,1.41072
-247.186,0.945685,0.0243712,4,31,0,250.599,0.742112,0.634912,1.1816
-248.523,0.795852,0.037768,2,3,0,249.341,0.69541,0.636503,1.21587
-248.511,0.99795,0.0390666,2,7,0,248.59,0.731129,0.708487,1.11228
-251.306,0.377771,0.0687049,3,7,0,253.87,0.975249,0.59215,1.53481
-253.023,0.987646,0.0237484,3,7,0,253.845,1.10361,0.605746,1.44865
-249.371,1,0.0404558,2,3,0,252.805,0.969107,0.623093,1.45224
-247.996,0.841733,0.0705472,4,15,0,251.272,0.887123,0.664609,1.46216
-250.036,0.704051,0.0814771,3,7,0,250.698,1.02708,0.684911,1.52906
-250.606,0.990835,0.06627,2,3,0,251.117,1.00591,0.656465,1.68047
-250.606,0.000167186,0.111074,1,3,1,253.078,1.00591,0.656465,1.68047
-249.961,0.984481,0.0156361,4,23,0,253.569,0.788144,1.00518,1.60239
-249.401,0.968277,0.0258668,2,3,0,250.898,0.77106,1.00748,1.61953
-249.461,0.943939,0.0408171,2,7,0,252.458,0.813602,0.943731,2.02821
-247.1,0.974689,0.0602925,2,5,0,249.014,0.822983,0.898896,1.63913
-247.1,0.0893998,0.0954068,2,3,0,247.325,0.822983,0.898896,1.63913
-246.995,0.978549,0.0178323,5,31,0,249.062,0.860078,0.712956,1.45142
-246.564,0.999662,0.0285276,4,15,0,247.516,0.77671,0.72974,1.3114
-248.425,0.764592,0.0476684,3,11,0,249.816,0.806774,0.857408,1.8149
-251.191,0.973825,0.0454467,3,7,0,251.476,0.837549,1.07499,2.36375
-250.658,0.984177,0.0707517,2,3,0,251.267,0.853763,1.21418,2.24924
-248.526,0.201425,0.112161,2,5,0,251.241,0.831993,1.00141,2.04084
-246.996,0.999766,0.0289487,4,15,0,248.881,0.795162,0.842847,1.64622
-246.497,0.99842,0.0475399,4,15,0,247.01,0.789776,0.78193,1.43371
-247.767,0.249192,0.0773308,2,3,0,248.574,0.735057,0.852804,1.37721
-247.058,0.979806,0.0228597,3,7,0,248.881,0.69969,0.819816,1.38562
-246.845,0.969405,0.0355917,3,15,0,247.746,0.709111,0.726127,1.28644
-246.946,0.972065,0.0538372,4,15,0,247.102,0.73922,0.81158,1.49997
-246.946,0.00462576,0.0814976,2,3,0,247.796,0.73922,0.81158,1.49997
-246.678,0.999638,0.0144256,4,23,0,247.345,0.799327,0.831395,1.50561
-246.733,0.999545,0.0232623,5,31,0,246.837,0.770182,0.844423,1.4975
-248.486,0.823457,0.0372886,4,15,0,249.786,0.845568,0.79444,1.76455
-247.446,0.992107,0.0405281,3,7,0,248.745,0.852841,0.929304,1.72889
-247.446,0.435722,0.0633607,1,3,0,249.14,0.852841,0.929304,1.72889
-247.776,0.998705,0.0297935,3,7,0,247.85,0.77945,0.936805,1.80928
-247.776,0.853941,0.0470706,1,1,0,248.2,0.77945,0.936805,1.80928
-247.827,0.917326,0.0543805,3,11,0,249.289,0.801495,0.695073,1.18399
-247.114,0.952042,0.0717122,2,7,0,247.802,0.725543,0.652491,1.19502
-247.114,0.0299184,0.101411,1,3,0,248.013,0.725543,0.652491,1.19502
-247.227,0.99904,0.0207614,3,7,0,247.276,0.721828,0.648225,1.19208
-247.242,0.993052,0.0324611,4,23,0,248.647,0.872295,0.707832,1.48192
-246.932,0.899901,0.049886,3,7,0,248.866,0.82799,0.667808,1.28804
