# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:46:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\a4xll4vs.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation0\exponential_priors-20240423164633.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-287.5,1,0.0625,1,1,0,334.103,0.807153,0.68443,1.6516
-287.5,0,14.3855,0,1,1,288.837,0.807153,0.68443,1.6516
-287.5,0,2.43117,0,1,1,287.72,0.807153,0.68443,1.6516
-287.5,0,0.239791,0,1,1,288.477,0.807153,0.68443,1.6516
-286.259,1,0.0186273,3,7,0,287.564,0.846131,0.727694,1.61909
-286.482,0.964207,0.0257257,4,23,0,289.739,0.6892,0.688265,1.29339
-286.114,0.998965,0.0362122,4,19,0,287.183,0.832015,0.956919,2.0095
-286.739,0.934794,0.061281,2,7,0,288.189,0.865116,0.723568,1.71349
-286.72,0.764186,0.0891129,2,7,0,288.2,0.875973,0.845846,1.74882
-285.889,0.381187,0.0777874,3,11,0,287.581,0.8006,0.946228,1.95177
-285.804,0.996147,0.0205495,3,7,0,286.048,0.802801,0.929579,1.9016
-286.326,0.966154,0.0384524,3,7,0,286.483,0.761759,0.945721,1.99684
-285.87,0.984148,0.0659837,3,15,0,288.357,0.786989,0.808727,1.55487
-285.87,0.000280638,0.120176,1,3,1,288.16,0.786989,0.808727,1.55487
-286.174,0.998886,0.0101723,5,47,0,287.424,0.821313,0.787016,1.55549
-286.549,0.993868,0.0196749,5,47,0,287.239,0.828035,0.780096,1.52033
-285.598,0.800387,0.0373012,2,3,0,288.864,0.780996,0.793364,1.57524
-286.184,0.922066,0.038923,2,3,0,286.304,0.797799,0.811756,1.5428
-286.867,0.709554,0.0588239,3,11,0,289.128,0.905681,0.889903,2.044
-286.415,1,0.046706,2,3,0,286.89,0.85633,0.870396,2.02719
-290.576,0.135537,0.0886126,2,3,0,291.053,1.00037,0.979551,2.14929
-289.017,0.99989,0.0129267,4,15,0,290.961,0.980865,0.960276,2.24077
-289.001,0.987851,0.0245692,3,15,0,293.724,0.992332,0.802298,2.02902
-288.455,0.972311,0.0446399,3,11,0,291.181,0.907035,0.689642,1.83358
-289.654,0.925831,0.0768135,3,11,0,290.168,0.655009,1.06863,2.09697
-289.654,0.000403484,0.114718,2,3,0,292.01,0.655009,1.06863,2.09697
-286.625,0.999779,0.0123725,4,15,0,290.794,0.72469,1.01804,1.91876
-287.669,0.950243,0.0229532,4,15,0,288.342,0.879221,1.00161,1.99176
-286.979,0.996888,0.0367164,4,19,0,288.501,0.861348,0.830801,1.64445
-286.774,0.943823,0.066289,2,3,0,287.753,0.76199,0.7876,1.77864
-287.583,0.197651,0.102483,2,5,0,287.982,0.897445,0.765806,1.59027
-286.973,0.977802,0.0207299,3,9,0,288.702,0.735876,0.770262,1.70113
-285.656,0.997948,0.0352029,3,7,0,287.412,0.76104,0.784099,1.51582
-285.835,0.738808,0.0625426,4,15,0,287.463,0.787641,0.726176,1.49521
-285.962,0.993099,0.0553908,3,15,0,286.326,0.775644,0.966458,1.91955
-288.348,0.0775073,0.0959124,3,11,0,291.784,0.892312,0.985304,2.51382
-288.448,0.995556,0.0151077,3,15,0,289.58,0.935237,0.99056,2.51698
-285.866,0.999886,0.0263613,4,15,0,288.904,0.819833,0.918265,1.94575
-285.866,0.422281,0.0461072,2,3,0,289.814,0.819833,0.918265,1.94575
-288.132,0.975724,0.0183397,4,23,0,290.006,0.628677,0.993555,1.6999
-287.14,0.991411,0.0299933,3,7,0,289.187,0.637146,0.891389,1.57576
-287.571,0.750188,0.0506414,3,11,0,289.587,0.66997,0.847243,1.38177
-286.4,1,0.0464983,2,3,0,287.665,0.691558,0.751451,1.49112
-286.466,0.681087,0.0793042,3,15,0,287.139,0.824143,0.875902,2.02825
-286.031,0.997654,0.0613036,3,7,0,286.617,0.75865,0.970101,1.87579
-286.031,0.150032,0.102935,1,3,0,286.591,0.75865,0.970101,1.87579
-287.198,0.990287,0.0220157,3,15,0,288.118,0.687334,1.025,1.83532
-287.527,0.999295,0.036301,4,15,0,287.964,0.688379,1.05304,1.95765
-287.501,0.939671,0.0607281,3,7,0,288.373,0.703706,1.04305,1.80574
-288.307,0.0921304,0.0875614,2,7,0,289.87,0.678228,1.01059,1.64667
-286.842,0.995095,0.0170396,4,31,0,289.168,0.835715,0.791579,1.52907
-287.894,0.996836,0.0280632,3,15,0,288.921,0.594538,0.798487,1.34981
-285.982,0.933979,0.0460949,3,7,0,288.487,0.724589,0.758907,1.399
-286.854,0.950216,0.0650447,2,7,0,287.734,0.755607,0.624367,1.28522
-287.664,0.210812,0.0948375,2,3,0,288.007,0.737441,0.593082,1.25694
-287.488,0.997881,0.0254594,4,15,0,287.894,0.724212,0.600397,1.23863
-286.713,0.990728,0.0413915,4,15,0,288.329,0.77928,0.688395,1.54789
-286.313,0.991922,0.0658098,3,15,0,287.071,0.753367,1.00597,1.93804
-286.313,7.89463e-005,0.104304,1,1,0,287.92,0.753367,1.00597,1.93804
-286.053,0.996835,0.0180632,4,31,0,288.617,0.704341,0.771458,1.40073
-285.579,0.980594,0.028997,3,15,0,286.796,0.766319,0.784445,1.54766
-285.871,0.948285,0.0446566,2,7,0,287.286,0.806744,0.741104,1.59518
-288.419,0.963652,0.0637476,3,7,0,288.949,0.846644,1.16822,2.60501
-287.546,0.503345,0.0936917,2,3,0,289.55,0.879953,1.01651,2.05196
-289.279,0.651139,0.0506675,3,11,0,291.828,0.729884,0.753276,1.79974
-286.831,1,0.0379068,2,3,0,289.346,0.839834,0.881495,1.69572
-285.692,0.894802,0.0599738,3,11,0,287.339,0.786256,0.751478,1.5393
-287.395,0.436352,0.0754746,2,7,0,287.823,0.905292,0.697942,1.59884
-285.668,0.990696,0.0359337,3,15,0,289.435,0.729024,0.835897,1.63948
-286.177,0.927495,0.0553254,2,3,0,286.202,0.705872,0.830592,1.6626
-288.568,0.365024,0.074278,2,7,0,289.225,0.657849,0.792269,1.65488
-290.446,0.991284,0.0308426,4,19,0,292.213,0.90645,0.65893,1.2886
-288.514,1,0.0472381,1,1,0,290.106,0.876616,0.655578,1.32303
-286.936,1,0.0733224,2,3,0,288.701,0.758242,0.657697,1.44336
-286.936,0.260371,0.11328,1,3,0,289.173,0.758242,0.657697,1.44336
-286.975,0.838257,0.0385962,3,7,0,289.461,0.847182,0.663256,1.40609
-286.124,0.996081,0.0428985,4,15,0,288.548,0.789876,0.980661,2.02615
-286.164,0.468578,0.0654772,2,3,0,287.932,0.764245,0.981555,1.98317
-286.683,0.972529,0.0345163,3,11,0,287.843,0.898775,0.826932,1.88759
-286.855,0.892788,0.0500945,3,15,0,288.023,0.732229,0.857902,1.48126
-286.797,0.994318,0.0618147,3,15,0,287.817,0.851635,0.905901,2.15068
-286.531,0.616639,0.0930424,3,7,0,287.701,0.856538,0.909964,1.84002
-288.923,0.999207,0.0663184,3,7,0,289.384,0.897645,1.18746,2.53325
-288.923,0.00133754,0.100336,3,9,1,292.095,0.897645,1.18746,2.53325
-288.902,0.999608,0.0216006,4,15,0,289.575,0.818874,1.21364,2.63737
-287.289,0.998937,0.0327439,3,7,0,289.155,0.864044,1.07139,2.34478
-286.209,0.882162,0.0493756,3,11,0,288.906,0.740329,0.87721,1.57614
