# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:52:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\m6rdof_v.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation1\exponential_priors-20240423165239.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-244.182,1,0.0625,3,7,0,284.218,0.889014,0.68959,1.91003
-244.182,0,14.3855,0,1,1,245.89,0.889014,0.68959,1.91003
-244.182,0,2.43117,0,1,1,245.356,0.889014,0.68959,1.91003
-244.182,0,0.239791,0,1,1,245.832,0.889014,0.68959,1.91003
-241.217,0.997545,0.0186273,3,7,0,244.999,0.922782,0.704192,1.79145
-238.9,0.942822,0.0255381,3,7,0,245.289,0.906473,0.742815,1.4827
-237.533,0.989316,0.0336631,3,15,0,240.672,0.826948,0.794517,1.80244
-235.892,0.701067,0.0552147,3,9,0,239.861,0.669813,1.20609,2.0005
-235.177,1,0.0384795,4,15,0,236.369,0.77174,0.799428,1.50686
-235.448,0.714761,0.0704438,3,7,0,236.358,0.652908,0.857918,1.36753
-234.693,1,0.0534307,3,7,0,235.735,0.67612,0.975115,1.59325
-234.693,0.112243,0.101095,1,3,0,236.613,0.67612,0.975115,1.59325
-234.197,0.999673,0.0117519,4,31,0,235.103,0.710281,0.960096,1.67182
-235.937,0.986894,0.0226433,3,15,0,237.022,0.613705,1.11672,1.82053
-235.076,0.967055,0.041932,3,7,0,237.509,0.790554,0.845729,1.67821
-235.493,0.930231,0.0728328,1,1,0,235.507,0.825612,0.851722,1.64692
-235.493,8.23098e-005,0.112502,1,3,1,236.486,0.825612,0.851722,1.64692
-234.628,0.992086,0.0101058,4,15,0,237.113,0.718784,0.852256,1.60544
-234.874,0.982121,0.0190817,4,31,0,235.991,0.696467,0.84873,1.43043
-235.493,0.977469,0.0346905,4,19,0,236.801,0.641852,1.11422,1.79181
-237.191,0.663017,0.061691,2,7,0,237.941,0.574689,1.05126,1.78693
-235.657,1,0.0429349,2,3,0,237.175,0.627445,1.05187,1.63314
-234.842,0.80475,0.0808067,2,7,0,236.997,0.680882,1.05912,1.90374
-234.208,0.197289,0.085359,3,7,0,235.468,0.728118,0.971987,1.7141
-234.493,0.994253,0.0156531,3,7,0,234.548,0.732879,0.993181,1.70377
-235.057,0.944207,0.0288134,3,15,0,236.226,0.821154,1.00775,1.91041
-234.367,0.998601,0.0455682,3,15,0,236.115,0.718103,0.88811,1.64721
-238.613,0.14683,0.0833301,2,7,0,241.239,0.70995,0.876868,1.31572
-237.293,1,0.0140719,4,15,0,239.54,0.620073,0.745221,1.38788
-236.067,0.921991,0.0258322,3,7,0,239.446,0.71589,0.880216,1.41113
-234.325,0.989261,0.0379153,3,11,0,236.454,0.687949,0.898202,1.55123
-235.663,0.723182,0.0663837,3,15,0,236.372,0.758974,1.11426,2.20886
-234.551,0.987958,0.056238,3,7,0,237.095,0.737788,0.91256,1.75531
-234.471,0.336056,0.0969136,2,5,0,235.953,0.685377,0.859563,1.50065
-234.451,0.988596,0.0294119,3,15,0,235.087,0.750745,0.873155,1.62874
-234.526,0.939413,0.0505829,2,3,0,234.858,0.738601,0.903145,1.57777
-234.245,0.927472,0.0758581,3,15,0,234.831,0.733228,0.942977,1.66768
-234.245,0.112383,0.109593,2,3,0,236.955,0.733228,0.942977,1.66768
-235.324,0.971143,0.0194012,3,13,0,235.624,0.667607,0.915766,1.72327
-234.37,0.995145,0.0314704,3,7,0,235.744,0.696555,0.907983,1.55244
-240.266,0.844836,0.0538407,3,7,0,240.998,0.51627,1.21129,1.80758
-240.266,0.0401295,0.0626412,1,1,0,242.819,0.51627,1.21129,1.80758
-237.592,0.996009,0.00978276,5,63,0,244.283,0.552409,1.04241,1.51681
-236.061,0.999281,0.0167087,3,7,0,238.172,0.569907,0.965833,1.52791
-236.133,0.988404,0.0285419,3,15,0,240.409,0.7885,1.25177,2.2788
-235.725,0.998713,0.0471099,3,7,0,236.433,0.81085,1.13814,2.26901
-234.866,0.652927,0.0791502,4,15,0,237.349,0.748983,0.929699,1.84003
-235.39,0.954096,0.0574584,3,7,0,236.216,0.728324,1.12182,1.85317
-236.445,0.636723,0.0860131,2,7,0,237.748,0.605677,1.03808,1.8229
-234.8,1,0.0602932,2,7,0,236.345,0.654032,1.03416,1.69355
-236.353,0.361645,0.0999613,2,3,0,236.601,0.571177,1.02709,1.64922
-235.437,0.891941,0.0369225,3,7,0,239.931,0.689672,0.955638,1.51748
-235.437,0.388761,0.0474307,1,1,0,237.338,0.689672,0.955638,1.51748
-236.972,0.972556,0.0189799,3,7,0,237.272,0.694698,0.996944,1.51197
-240.66,0.834148,0.0293599,3,15,0,243.492,0.582382,1.03336,1.97392
-235.81,1,0.0329287,2,3,0,240.621,0.660328,1.15177,1.8304
-237.544,0.524587,0.0537067,3,11,0,239.705,0.624898,0.991579,1.88571
-236.948,0.957518,0.0298173,2,3,0,238.791,0.618497,1.02029,1.87531
-235.937,1,0.0439651,3,15,0,238.064,0.631498,0.8892,1.63865
-236.597,0.47447,0.0709108,3,7,0,239.1,0.777095,0.923819,2.00437
-234.67,0.993435,0.0355348,4,15,0,237.523,0.7515,1.08508,1.91444
-235.003,0.850954,0.0562256,2,3,0,235.191,0.735574,1.041,2.01614
-234.279,0.990176,0.0647847,3,7,0,235.199,0.729578,1.00206,1.75535
-235.96,0.22127,0.10086,1,3,0,237.274,0.850287,0.856758,1.67704
-236.546,0.997385,0.0296273,3,7,0,236.839,0.855173,0.830655,1.79826
-235.169,0.99006,0.0468045,3,11,0,238.114,0.688955,0.854086,1.40448
-234.747,0.984147,0.0724088,3,7,0,235.727,0.643571,0.922587,1.61191
-234.747,0.00583733,0.110071,1,3,1,236.664,0.643571,0.922587,1.61191
-235.44,0.977109,0.0210448,4,31,0,237.631,0.708812,1.07624,1.73316
-234.527,1,0.0315804,3,7,0,235.579,0.728114,0.969369,1.84448
-235.407,0.805286,0.0494908,3,7,0,236.701,0.647347,1.03676,1.85743
-235.199,1,0.0514703,2,3,0,235.524,0.639896,1.04885,1.81714
-235.964,0.359142,0.0800502,2,3,0,236.261,0.608853,1.05895,1.80638
-235.095,1,0.0331212,3,7,0,236.085,0.638216,1.04145,1.67395
-234.914,0.941093,0.0513812,2,7,0,235.77,0.685872,1.02054,1.88661
-234.886,0.756896,0.0703662,3,9,0,235.68,0.686933,0.916241,1.72473
-234.802,0.84085,0.0661158,2,7,0,235.509,0.694326,0.881509,1.6611
-235.908,0.697957,0.0736237,3,7,0,237.186,0.661094,0.778803,1.26979
-234.864,0.822347,0.0614686,2,7,0,236.683,0.649636,0.846142,1.48436
-234.85,1,0.0659042,3,7,0,234.935,0.669121,0.858425,1.42444
-234.85,0.000248599,0.100504,2,3,0,235.601,0.669121,0.858425,1.42444
-234.872,0.999924,0.0211253,5,31,0,235.034,0.683123,0.806661,1.44345
-235.464,0.947425,0.0322492,3,7,0,235.796,0.73922,0.83343,1.41843
-236.141,0.995896,0.0442352,3,11,0,239.208,0.83222,1.19265,2.24156
-235.704,0.933395,0.0664854,2,3,0,236.499,0.776952,1.18051,2.05313
-234.541,0.330451,0.0881667,3,7,0,235.895,0.712758,0.966541,1.81915
