# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 15:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\19o29xyv.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation2\exponential_priors-20240423165934.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-244.702,1,0.0625,2,3,0,289.87,0.890252,0.707382,1.96893
-244.702,0,14.3855,0,1,1,247.969,0.890252,0.707382,1.96893
-244.702,0,2.43117,0,1,1,245.39,0.890252,0.707382,1.96893
-244.702,0,0.239791,0,1,1,245.456,0.890252,0.707382,1.96893
-241.511,0.999584,0.0186273,3,7,0,245.548,0.911167,0.76246,1.97008
-236.702,0.967776,0.0256939,3,7,0,243.422,0.84295,0.999235,1.95532
-236.109,0.982772,0.0365635,4,15,0,237.663,0.810395,1.23622,2.27601
-236.592,0.980785,0.0588435,3,7,0,237.779,0.725945,1.27956,2.38089
-236.592,0.0122267,0.0988356,1,3,0,239.418,0.725945,1.27956,2.38089
-235.733,0.99909,0.00803194,6,79,0,237.161,0.812071,1.16895,2.22802
-236.553,0.993769,0.0149261,5,47,0,237.573,0.883758,1.47554,2.90825
-235.841,0.995187,0.0277309,3,7,0,236.973,0.834074,1.39975,2.76531
-236.643,0.934319,0.0521931,4,15,0,237.325,0.954088,1.34235,3.07834
-240.959,0.0269018,0.0813944,1,3,0,243.421,0.780488,1.4607,3.44761
-240.149,0.999547,0.00750196,5,55,0,242.946,0.81493,1.51635,2.49196
-240.409,0.999419,0.0145677,4,15,0,240.463,0.815737,1.51749,2.48027
-238.063,1,0.0281529,4,19,0,241.136,0.992282,1.4663,3.14594
-238.063,0.511351,0.0541599,1,1,0,239.493,0.992282,1.4663,3.14594
-239.672,0.955671,0.0235161,4,15,0,240.763,0.798257,1.59341,2.66141
-239.223,0.9988,0.0394182,3,15,0,240.866,0.756757,1.56677,2.6137
-239.357,1,0.0746229,3,7,0,240.541,1.05705,1.37707,3.46078
-239.357,0.0265113,0.140428,1,3,1,241.758,1.05705,1.37707,3.46078
-237.876,0.999866,0.0150783,5,31,0,240.743,0.670448,1.12732,1.93904
-237.831,0.962681,0.0284875,4,15,0,238.962,0.909083,0.965667,2.36001
-237.396,1,0.0478611,2,7,0,240.154,0.866052,0.944617,1.88823
-235.996,0.941745,0.0887082,3,7,0,237.777,0.881231,1.07659,2.26673
-235.996,0.000996129,0.137987,1,2,1,238.409,0.881231,1.07659,2.26673
-237.514,0.988172,0.0151705,4,31,0,241.086,0.996332,1.21919,2.94269
-235.733,1,0.0270652,4,15,0,237.873,0.797409,1.25607,2.36879
-235.878,0.986416,0.0494124,3,15,0,236.595,0.865868,1.3528,2.93891
-237.752,0.091679,0.0860535,4,15,0,240.266,0.9764,1.38568,2.88255
-236.092,0.999448,0.0130721,4,15,0,238.12,0.856256,1.37994,3.00772
-237.008,0.999634,0.0236205,4,15,0,237.208,0.876645,1.52803,3.37862
-235.55,0.998981,0.0422912,4,19,0,237.081,0.810089,1.16711,2.27375
-236.72,0.631286,0.0748777,2,3,0,238.315,0.739428,1.37201,2.54101
-236.717,0.927784,0.049956,2,3,0,237.215,0.74797,1.33716,2.64673
-237.127,0.631697,0.0726865,3,7,0,237.903,0.702838,1.24046,2.17808
-236.788,0.759608,0.0488528,3,7,0,238.881,0.750665,1.19351,2.47111
-237.122,0.823144,0.045878,2,3,0,239.24,0.775003,1.32654,2.30002
-240.933,0.247158,0.0506994,1,1,0,241.3,0.776921,1.3681,2.14612
-237.859,0.99911,0.0130272,4,15,0,243.046,0.868554,1.0662,2.63513
-238.568,0.993433,0.0225641,3,15,0,239.055,0.79564,1.37097,2.29212
-235.848,1,0.0382159,2,3,0,238.659,0.778278,1.17532,2.38532
-235.916,0.975727,0.0652712,3,11,0,236.094,0.857417,1.21052,2.70483
-235.464,0.334334,0.104204,1,3,0,236.325,0.805972,1.19252,2.37831
-237.525,0.945853,0.0345629,3,7,0,239.576,0.962164,1.24131,3.12381
-236.968,0.980239,0.0512017,3,15,0,240.978,0.762177,1.18889,2.06474
-237.691,0.975274,0.0819287,3,7,0,238.334,0.864662,0.938583,1.84644
-237.691,0.000217357,0.128696,1,3,0,237.8,0.864662,0.938583,1.84644
-236.456,0.982745,0.0198678,3,15,0,239.092,0.764357,1.05184,2.15709
-237.327,0.980671,0.031862,3,15,0,240.842,0.972687,1.08499,2.49811
-237.215,0.836266,0.0505228,3,15,0,241.119,0.772732,0.938121,1.94791
-238.505,0.844902,0.0569011,2,3,0,242.331,0.898592,0.869279,2.05856
-240.361,0.973354,0.065265,3,15,0,241.906,0.853793,1.92045,3.69676
-240.361,0.0212598,0.100349,2,3,0,243.049,0.853793,1.92045,3.69676
-239.889,1,0.0174734,3,7,0,240.697,0.822936,1.82839,3.76855
-239.489,0.956978,0.0286121,3,7,0,241.61,1.00736,1.69014,3.73063
-238.639,0.899634,0.0422556,3,11,0,244.665,0.666222,1.28981,2.39586
-236.938,0.9995,0.0546123,3,11,0,241.595,0.863693,1.57102,3.08723
-236.938,0.000811982,0.0878704,1,3,0,240.192,0.863693,1.57102,3.08723
-237.258,0.996068,0.015416,3,7,0,237.3,0.87508,1.58537,3.07406
-237.94,0.994107,0.0246552,3,7,0,238.569,0.778235,1.60689,3.15116
-237.729,0.998827,0.0390408,4,15,0,238.195,0.785653,1.6129,3.04909
