# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:06:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\uwpn0u34.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation3\exponential_priors-20240423170641.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-272.327,1,0.0625,2,3,0,320.795,0.810808,0.592165,1.57613
-272.327,0,14.3855,0,1,1,273.869,0.810808,0.592165,1.57613
-272.327,0,2.43117,0,1,1,273.846,0.810808,0.592165,1.57613
-272.327,0,0.239791,0,1,1,272.87,0.810808,0.592165,1.57613
-266,0.994268,0.0186273,4,15,0,273.963,0.7893,0.745945,1.54051
-265.804,0.995232,0.0252898,4,31,0,266.765,0.708304,0.986401,1.88186
-265.931,0.982731,0.039128,3,15,0,268.581,0.721692,0.783312,1.39765
-266.054,0.95753,0.0630336,2,7,0,266.964,0.778019,0.769629,1.45482
-266.054,0.065851,0.0984773,2,3,0,267.067,0.778019,0.769629,1.45482
-265.911,0.999839,0.00947936,5,63,0,267.612,0.801852,0.797101,1.55953
-265.697,0.999715,0.0176617,5,47,0,268.185,0.780056,0.936182,1.95305
-267.521,0.974304,0.0334291,3,7,0,267.974,0.913791,0.823379,1.86999
-265.78,0.974649,0.05888,2,7,0,268.018,0.775372,1.03269,1.99671
-265.78,2.18085e-008,0.104144,1,1,0,268.82,0.775372,1.03269,1.99671
-266.59,0.997474,0.00881446,4,31,0,266.712,0.763527,1.02924,2.17526
-266.08,1,0.0169896,3,7,0,266.598,0.779451,1.03172,2.12629
-265.396,0.999124,0.032857,4,23,0,266.495,0.724434,0.817764,1.57999
-265.693,0.97864,0.0629686,3,15,0,266.485,0.746369,1.0154,1.96453
-265.693,0.000585336,0.112541,2,3,0,269.27,0.746369,1.0154,1.96453
-266.546,0.996589,0.0105505,5,47,0,268.461,0.838123,1.05968,2.09875
-266.998,0.990931,0.0200582,5,63,0,269.395,0.628605,0.828544,1.33072
-266.147,1,0.0371532,3,7,0,267.141,0.697757,0.73311,1.42715
-265.603,0.821044,0.0700107,3,11,0,267.746,0.753844,0.995821,1.85547
-268.455,0.645548,0.0776362,2,7,0,269.967,0.577937,0.970486,1.4896
-267.055,1,0.051853,3,7,0,269.378,0.595931,0.885612,1.45729
-267.055,0.0048425,0.0960413,2,3,0,268.226,0.595931,0.885612,1.45729
-265.957,0.999991,0.0105051,5,63,0,267.431,0.6625,0.779587,1.38795
-265.487,0.999578,0.0195276,5,31,0,266.318,0.711624,0.799102,1.48363
-265.565,0.993073,0.0358865,4,15,0,265.709,0.759517,0.780729,1.52264
-265.947,0.78444,0.0641239,3,7,0,266.422,0.655719,0.862464,1.48081
-266.251,0.741569,0.0640892,3,7,0,266.914,0.792891,0.720734,1.48436
-266.171,0.746363,0.0570148,2,7,0,267.952,0.680608,0.728959,1.36837
-267.064,0.994779,0.0514773,3,7,0,267.893,0.669667,0.676525,1.18017
-266.081,0.507436,0.0904061,3,7,0,268.714,0.732423,0.752865,1.54269
-268.251,0.867697,0.0432364,2,3,0,268.374,0.835798,0.793615,1.44218
-266.744,0.996488,0.053944,3,15,0,269.108,0.671463,0.922773,1.81606
-266.744,0.333486,0.0938393,1,3,0,268.768,0.671463,0.922773,1.81606
-265.823,1,0.029089,3,11,0,267.012,0.816707,0.933892,1.82838
-265.561,0.959951,0.0508545,3,11,0,266.181,0.693559,0.845108,1.50277
-266.61,0.512457,0.0795855,3,7,0,268.622,0.766776,1.11878,2.23519
-266.749,0.987683,0.0398741,3,7,0,266.861,0.771697,1.14766,2.14542
-267.032,0.65687,0.066556,2,3,0,267.935,0.776713,1.13958,2.34294
-267.095,0.8667,0.0483314,2,7,0,271.425,0.810434,0.995925,2.2658
-266.302,0.992865,0.0592535,3,7,0,267.721,0.862988,0.921981,1.95566
-266.302,0.0496146,0.0987337,3,7,0,268.301,0.862988,0.921981,1.95566
-266.604,0.981569,0.0163578,4,15,0,267.856,0.753847,0.971925,2.08131
-266.829,0.98412,0.0265612,3,11,0,267.859,0.772686,0.982606,1.70938
-266.244,0.99598,0.043095,2,7,0,267.308,0.713467,0.970094,1.94765
-265.668,0.911991,0.0714413,3,11,0,267.369,0.727606,0.758926,1.45809
-265.668,0.110465,0.0963542,1,3,0,268.099,0.727606,0.758926,1.45809
-266.514,0.993353,0.0195662,5,63,0,268.174,0.725586,1.11595,2.06563
