# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:13:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\3z2zsu0u.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation4\exponential_priors-20240423171326.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-322.706,1,0.0625,2,3,0,377.99,0.750427,0.577785,1.43727
-322.706,0,14.3855,0,1,1,326.644,0.750427,0.577785,1.43727
-322.706,0,2.43117,0,1,1,327.703,0.750427,0.577785,1.43727
-322.706,0,0.239791,1,2,1,324.852,0.750427,0.577785,1.43727
-320.986,0.999759,0.0186273,3,15,0,323.683,0.786199,0.64711,1.51281
-323.326,0.994431,0.0257073,5,31,0,323.514,0.674402,0.537582,1.10348
-320.721,0.999325,0.039694,4,23,0,323.454,0.802746,0.692508,1.65966
-321.659,0.628959,0.067351,2,7,0,324.389,0.749033,0.635124,1.29063
-321.333,0.990874,0.0374916,4,15,0,322.057,0.707751,0.686095,1.38387
-322.373,0.736621,0.066677,3,11,0,323.862,0.970547,0.75492,2.14862
-324.666,0.97304,0.0541893,3,15,0,324.843,0.763851,1.21631,2.37587
-321.758,0.884159,0.0941587,3,7,0,325.127,0.764708,1.00205,2.19337
-321.758,0.0164182,0.124469,2,6,1,324.514,0.764708,1.00205,2.19337
-322.336,0.997867,0.0108777,4,15,0,322.583,0.735991,1.02388,2.18687
-322.218,0.999993,0.020929,5,31,0,323.018,0.891098,0.57953,1.51084
-321.973,0.907982,0.0404348,4,15,0,323.983,0.800017,0.637404,1.68698
-322.471,0.9786,0.0585638,2,3,0,323.269,0.950751,0.651926,1.76852
-322.471,0.0762146,0.104965,2,7,1,324.474,0.950751,0.651926,1.76852
-323.03,0.998882,0.0121288,5,47,0,323.834,0.674606,0.984495,1.84499
