# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:18:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\gjmvbi54.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation5\exponential_priors-20240423171825.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-267.239,1,0.0625,1,1,0,311.658,0.698921,0.677033,1.53622
-267.239,0,14.3855,0,1,1,268.561,0.698921,0.677033,1.53622
-267.239,0,2.43117,0,1,1,269.462,0.698921,0.677033,1.53622
-267.239,0,0.239791,0,1,1,273.419,0.698921,0.677033,1.53622
-265.735,0.976975,0.0186273,3,15,0,270.355,0.733473,0.690636,1.52279
-264.808,0.991689,0.024019,4,31,0,267.02,0.581557,0.966507,1.76228
-263.724,1,0.0367098,3,15,0,265.566,0.83903,0.920307,2.08307
-264.954,0.547918,0.0623377,2,3,0,267.085,0.876718,1.04177,2.07943
-263.801,0.988504,0.0268786,4,15,0,266.253,0.79412,1.15928,2.12537
-263.961,0.906127,0.0473697,4,15,0,266.249,0.667934,1.27978,2.28401
-262.693,0.935601,0.0657695,2,3,0,264.182,0.704402,1.14775,2.21374
-262.693,0.200134,0.101512,2,3,0,263.159,0.704402,1.14775,2.21374
-262.644,0.998038,0.0155632,5,63,0,263.151,0.749185,0.908815,1.87177
-263.165,0.932779,0.0297964,2,7,0,264.403,0.66573,0.940367,1.85841
-263.28,0.920771,0.046541,2,3,0,264.34,0.768903,0.937016,1.74095
-263.019,0.854032,0.0699925,3,11,0,263.746,0.72031,1.2329,2.36896
-263.44,0.848364,0.0855425,2,3,0,263.502,0.710001,1.27014,2.29876
-263.44,0.0600122,0.102715,2,3,0,265.197,0.710001,1.27014,2.29876
-263.343,0.999359,0.011302,6,63,0,264.351,0.789074,0.849006,1.73956
