# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:24:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\z6u36rdg.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation6\exponential_priors-20240423172440.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-258.676,1,0.0625,1,1,0,294.388,0.738659,0.644041,1.48206
-258.676,0,14.3855,0,1,1,260.867,0.738659,0.644041,1.48206
-258.676,0,2.43117,0,1,1,261.775,0.738659,0.644041,1.48206
-258.676,0,0.239791,0,1,1,259.006,0.738659,0.644041,1.48206
-254.112,0.994609,0.0186273,4,23,0,261.101,0.867136,0.949732,1.73336
-253.068,0.998034,0.0253155,3,15,0,256.467,0.85898,0.970673,1.96042
-253.62,0.890754,0.0395063,3,15,0,255.212,0.686405,0.899847,1.48837
-253.147,1,0.0478062,3,7,0,253.707,0.706676,0.831687,1.52737
-255.417,0.764504,0.0851245,3,7,0,255.503,0.77868,0.637521,1.12883
-256.56,0.651265,0.074364,2,3,0,257.039,0.80882,0.556659,1.07281
-254.136,0.964787,0.0461468,4,15,0,258.119,0.64296,0.825939,1.43654
-252.72,1,0.078135,3,7,0,254.131,0.837647,0.869333,1.75181
-252.72,8.96566e-007,0.148841,1,3,1,256.027,0.837647,0.869333,1.75181
-252.654,0.998468,0.0123452,4,31,0,253.37,0.792327,0.8815,1.73303
-252.839,0.993646,0.0237807,4,23,0,253.242,0.782373,0.785367,1.46772
-253.421,0.904706,0.0450133,2,7,0,253.862,0.824468,0.801524,1.47079
-253.421,0.245723,0.0644934,3,11,0,256.347,0.824468,0.801524,1.47079
-252.96,0.999782,0.0123178,4,31,0,254.287,0.782554,0.796096,1.45241
-253.013,0.988573,0.0237705,3,15,0,253.536,0.809526,0.815322,1.50516
-252.692,0.991696,0.0439833,2,3,0,253.082,0.780228,0.806792,1.52008
-254.208,0.506034,0.0814468,3,7,0,255.057,0.782394,0.872551,1.466
-254.208,0.658545,0.0355539,2,7,0,260.833,0.782394,0.872551,1.466
-255.335,1,0.0246319,4,31,0,256.473,0.783773,0.64046,1.37804
