# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:32:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\j8gglfc8.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation7\exponential_priors-20240423173229.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-249.733,1,0.0625,2,3,0,291.273,0.788075,0.605423,1.55
-249.733,0,14.3855,0,1,1,250.92,0.788075,0.605423,1.55
-249.733,0,2.43117,0,1,1,250.679,0.788075,0.605423,1.55
-249.733,0,0.239791,0,1,1,250.856,0.788075,0.605423,1.55
-246.61,0.999551,0.0186273,4,15,0,253.243,0.867995,0.578177,1.36216
-243.53,0.988905,0.0256913,3,7,0,247.186,0.803621,0.639577,1.30368
-243.355,0.994724,0.0390031,4,15,0,244.327,0.593384,0.776433,1.21358
-242.282,0.991067,0.0652188,2,7,0,244.48,0.75494,0.695205,1.32861
-242.282,0.0280598,0.113254,1,3,0,243.493,0.75494,0.695205,1.32861
-241.584,0.995918,0.00968187,6,63,0,244.075,0.686331,0.795633,1.41487
-241.616,0.996992,0.0178173,4,31,0,242.526,0.720992,0.945663,1.64915
-241.732,0.997982,0.0334345,3,7,0,241.882,0.695473,0.957897,1.71494
-241.692,0.981941,0.0634485,3,11,0,242.762,0.736361,0.766639,1.38246
-241.692,3.90299e-010,0.114781,1,1,0,243.521,0.736361,0.766639,1.38246
-241.417,0.99988,0.00970964,5,63,0,242.422,0.74579,0.910168,1.71599
-242.318,0.98032,0.0188435,3,7,0,242.344,0.781789,0.939006,1.64094
-245.765,0.895814,0.0342765,4,15,0,247.356,0.777617,0.657315,1.09304
-242.907,0.994686,0.0478991,4,15,0,245.336,0.662049,0.665768,1.20569
-242.907,0.0018752,0.090064,1,3,0,244.746,0.662049,0.665768,1.20569
-243.807,0.995308,0.00849133,4,15,0,244.078,0.647863,0.658765,1.24309
-242.445,0.977438,0.0161105,2,7,0,245.492,0.675594,0.694119,1.20302
-242.785,0.96918,0.0287267,2,3,0,242.829,0.687388,0.710583,1.1833
-242.064,0.918287,0.0495634,4,15,0,243.519,0.727597,0.972343,1.64968
-243.744,0.460911,0.0731286,2,7,0,247.324,0.837531,1.18715,2.31556
-243.841,0.997387,0.0287039,3,7,0,244.179,0.767885,1.20174,2.33526
-241.602,1,0.0530365,3,7,0,244.068,0.772832,0.939635,1.72174
-242.022,0.581316,0.097729,2,7,0,242.691,0.80248,0.769655,1.52258
-241.787,0.98431,0.0549971,3,11,0,243.998,0.748586,0.743433,1.39817
-241.787,0.0167941,0.0960185,2,3,0,243.555,0.748586,0.743433,1.39817
-242.402,0.981799,0.0114802,4,31,0,244.354,0.680189,0.883329,1.42596
-241.403,0.998654,0.0199835,3,15,0,242.98,0.706271,0.840361,1.53211
-241.673,0.984367,0.0360825,2,7,0,242.713,0.779057,0.790523,1.52621
-241.376,0.926448,0.0620851,2,3,0,241.84,0.725778,0.817833,1.48602
-241.376,0.414424,0.0907024,1,3,0,241.639,0.725778,0.817833,1.48602
-241.706,0.982591,0.0338997,4,31,0,242.62,0.780765,0.806409,1.59443
-241.992,0.845953,0.057323,1,3,0,242.561,0.733193,0.81502,1.61872
-242.822,0.813699,0.0673002,3,7,0,243.196,0.736101,0.790735,1.31581
-242.458,0.664226,0.0724946,2,7,0,244.654,0.846413,0.876556,1.83996
-242.563,0.754577,0.0531257,3,11,0,245.114,0.640088,0.718264,1.26406
-245.063,0.794096,0.0492396,3,7,0,245.29,0.605474,0.639844,1.18451
-245.324,0.948703,0.0504861,1,3,0,247.138,0.562825,0.65129,1.13017
-244.551,0.267495,0.0762779,3,7,0,245.564,0.54684,0.711047,1.1362
-242.822,0.999908,0.0209652,4,15,0,244.701,0.664329,0.679148,1.15093
-242.276,0.993211,0.0359559,4,23,0,243.216,0.796037,1.01593,2.03629
-241.926,0.79578,0.0601792,2,7,0,243.572,0.819203,0.907997,1.81653
-241.62,0.984761,0.0617609,3,11,0,242.273,0.676023,0.843336,1.44976
-241.62,0.571054,0.100127,2,3,0,243.94,0.676023,0.843336,1.44976
-241.676,0.958081,0.0595957,3,15,0,241.92,0.789389,0.893272,1.65511
-241.676,0.098981,0.0900434,2,3,0,242.608,0.789389,0.893272,1.65511
-241.582,0.999966,0.0176142,4,15,0,241.766,0.776587,0.855018,1.68226
-241.72,0.986726,0.0294417,3,7,0,241.88,0.778862,0.908803,1.64673
-241.447,0.978919,0.0473763,3,15,0,242.196,0.749701,0.913624,1.73295
-242.795,0.699839,0.074386,3,11,0,243.729,0.612807,0.783871,1.36278
-243.119,0.609646,0.0609113,2,3,0,244.106,0.622458,0.839863,1.30313
-242.791,0.981261,0.0406437,3,15,0,244.363,0.827324,0.962465,1.74514
-242.12,0.9773,0.0636373,3,9,0,243.518,0.710484,0.826428,1.38001
-242.12,0.130302,0.0981805,2,7,0,242.441,0.710484,0.826428,1.38001
-241.763,0.996952,0.0223325,3,15,0,243.132,0.706317,0.798744,1.37138
-242.092,0.987818,0.0360333,4,19,0,243.458,0.820071,0.930591,1.89728
-242.106,0.800664,0.0566306,3,7,0,243.418,0.739078,1.02766,1.78912
-242.432,1,0.0584921,3,15,0,243.932,0.772724,0.717785,1.31393
-244.33,0.130371,0.0936208,1,3,0,245.139,0.83119,0.671515,1.24291
-244.273,0.997194,0.0222401,5,63,0,245.74,0.665874,1.0932,2.04548
-243.227,1,0.0353747,3,7,0,244.22,0.685838,1.12845,1.95599
-243.167,0.976984,0.0562996,2,7,0,244.447,0.639529,1.04733,1.76374
-243.167,0.00705599,0.0848159,2,7,0,244.206,0.639529,1.04733,1.76374
-243.777,0.994982,0.0159895,3,7,0,243.922,0.628715,1.07006,1.70714
-245.156,0.996049,0.0250816,3,7,0,245.76,0.603741,1.13136,1.87228
-245.651,0.988542,0.0392317,4,15,0,245.927,0.598133,1.15802,1.81175
-245.518,0.989823,0.0601015,3,15,0,246.393,0.858919,0.604671,1.37408
-243.772,0.839184,0.0918854,2,3,0,246.379,0.744381,0.624907,1.1108
-243.772,4.30689e-006,0.102207,1,1,0,245.283,0.744381,0.624907,1.1108
-243.898,0.988751,0.0199946,5,31,0,245.384,0.589334,0.76702,1.16764
-242.734,0.94085,0.030461,4,15,0,245.263,0.671881,0.672325,1.16353
-243.153,0.876253,0.0418809,3,7,0,243.834,0.710795,0.655631,1.28539
-241.43,0.76156,0.0503094,3,11,0,245.691,0.711411,0.831492,1.53613
-241.398,0.967738,0.0478007,3,11,0,242.11,0.747068,0.924164,1.6987
-241.649,0.946962,0.0688678,2,7,0,241.944,0.783366,0.827999,1.63472
-242.196,0.70213,0.0948113,2,7,0,242.761,0.701217,0.763609,1.4759
-241.469,1,0.0797836,2,7,0,242.151,0.749169,0.854934,1.64691
-241.469,1.48286e-009,0.121556,1,3,1,250.042,0.749169,0.854934,1.64691
-243.202,0.876949,0.0255145,3,7,0,244.42,0.753965,0.943545,1.54794
-243.44,0.940299,0.0305475,3,7,0,245.082,0.726904,0.96681,1.54408
-243.113,1,0.0413307,2,7,0,243.642,0.70901,0.799751,1.63525
-241.667,0.957655,0.0626389,3,9,0,242.97,0.771079,0.961934,1.75754
-241.667,0.218087,0.0870948,1,3,0,242.123,0.771079,0.961934,1.75754
-242.051,0.97963,0.0289225,4,15,0,242.843,0.658836,0.943932,1.63075
-242.021,0.92909,0.0419637,3,7,0,242.654,0.76779,0.820236,1.67164
-241.695,0.781023,0.0550778,3,15,0,243.627,0.794929,0.909544,1.79519
-241.761,0.983986,0.0543773,3,7,0,242.088,0.665758,0.890055,1.51771
-242.874,0.591246,0.0789062,3,7,0,243.771,0.866778,0.90894,1.77245
-244.317,0.926905,0.0543425,3,15,0,245.154,0.594447,0.807158,1.19908
-242.487,0.403234,0.0705846,2,3,0,245.358,0.659155,0.813503,1.3085
-242.583,0.844694,0.034307,3,7,0,244.452,0.664463,0.844655,1.34818
-242.485,0.989224,0.0382106,2,3,0,242.854,0.642018,0.797448,1.446
-242.684,0.989791,0.0555999,2,7,0,243.663,0.747172,0.751718,1.28776
-243.377,0.977359,0.0807233,4,15,0,244.541,0.801922,0.645269,1.28645
-243.377,0.000132339,0.114179,1,3,1,245.711,0.801922,0.645269,1.28645
-244.062,0.989989,0.0268441,2,3,0,244.108,0.840034,0.639307,1.29611
-241.444,0.973428,0.0389144,4,15,0,246.68,0.694594,0.834064,1.47989
-241.444,0.0830338,0.873076,2,7,0,242.981,0.694594,0.834064,1.47989
-241.444,1.21057e-022,2.37092,1,1,0,241.925,0.694594,0.834064,1.47989
-241.889,0.994066,0.244468,3,7,0,241.986,0.650988,0.864595,1.47071
-242.1,0.999228,0.257105,5,31,0,242.264,0.6689,0.977159,1.69464
-241.951,0.97599,0.35217,4,23,0,242.888,0.65284,0.875246,1.53501
-241.49,0.785867,0.51758,2,3,0,242.517,0.688217,0.872062,1.54727
-241.533,0.996782,0.45928,3,11,0,241.954,0.73885,0.962456,1.74989
-241.533,0.158025,0.807003,3,7,0,242.194,0.73885,0.962456,1.74989
-242.415,0.993699,0.104879,6,63,0,243.091,0.736704,0.751143,1.29187
-242.05,0.996128,0.189257,4,31,0,243.932,0.805866,0.80901,1.65739
-241.58,0.997972,0.350022,3,7,0,242.203,0.749689,0.884091,1.56538
-241.848,0.759056,0.656536,3,7,0,242.242,0.793406,0.844345,1.71048
-242.663,0.95895,0.581625,2,7,0,243.817,0.82106,0.749272,1.42455
-242.663,0.0419797,0.968891,1,3,0,243.801,0.82106,0.749272,1.42455
-243.146,0.999863,0.0922663,5,63,0,244.701,0.657189,0.64911,1.11849
-243.545,0.943937,0.176376,5,31,0,246.558,0.586635,0.707775,1.17353
-245.426,0.95342,0.282177,4,15,0,246.81,0.862643,0.601468,1.34434
-244.931,0.999219,0.462432,4,15,0,246.646,0.544214,0.867779,1.43261
-244.059,0.19065,0.86525,3,7,0,245.057,0.553831,0.82728,1.31576
-243.313,0.999213,0.141144,5,31,0,244.761,0.586431,0.897254,1.44488
-241.583,0.987599,0.264444,3,15,0,244.221,0.680689,0.841663,1.45154
-243.159,0.950994,0.474138,4,15,0,244.056,0.831584,1.1047,2.25278
-241.409,0.962457,0.756546,3,7,0,243.347,0.714015,0.845293,1.49234
-241.409,0.000302602,1.23864,1,3,1,243.477,0.714015,0.845293,1.49234
-242.388,0.983233,0.125701,4,31,0,243.24,0.728341,0.922982,1.53043
-242.632,1,0.220004,3,15,0,242.999,0.719062,0.930404,1.85703
-243.281,0.970978,0.400047,3,11,0,243.569,0.767166,0.741911,1.59519
-242.892,0.940625,0.663809,2,7,0,243.808,0.836777,0.890869,1.63074
-242.892,0.00329236,1.00365,2,3,0,244.035,0.836777,0.890869,1.63074
-246.042,0.967477,0.113223,4,31,0,248.334,0.822615,0.709749,1.72933
-242.412,0.994888,0.185715,4,23,0,246.598,0.810931,0.937256,1.69216
-241.655,0.977712,0.325495,4,19,0,243.352,0.706716,0.761231,1.36716
-241.662,0.857859,0.53969,2,7,0,243.184,0.672572,0.885149,1.52387
