# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 16:51:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ineh88qt.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation8\exponential_priors-20240423175119.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-335.424,1,0.0625,1,1,0,395.38,0.743705,0.661014,1.64961
-335.424,0,14.3855,0,1,1,337.705,0.743705,0.661014,1.64961
-335.424,0,2.43117,0,1,1,336.872,0.743705,0.661014,1.64961
-335.424,1.09006e-180,0.239791,1,1,0,336.062,0.743705,0.661014,1.64961
-333.323,1,0.0186273,5,31,0,335.672,0.842049,0.883045,2.502
-335.702,0.882947,0.0257257,2,3,0,336.194,0.772747,0.863205,2.58023
-333.915,0.99935,0.0282358,3,15,0,336.235,0.808019,0.842811,2.41283
-333.824,0.992309,0.047643,3,7,0,334.512,0.768226,0.853225,2.22562
-335.595,0.698236,0.082805,3,7,0,335.964,0.784455,1.11421,3.16834
-337.359,0.863396,0.058671,2,3,0,337.831,0.829469,1.29014,2.62746
-334.501,0.993108,0.0711854,3,7,0,338.676,0.850035,1.10345,2.51657
-334.501,2.35084e-013,0.131745,1,1,0,336.73,0.850035,1.10345,2.51657
-333.066,0.999882,0.0107462,5,63,0,335.786,0.834366,0.947154,2.49881
-333.089,0.990734,0.0207272,3,15,0,333.871,0.834129,0.966403,2.45537
-333.543,0.926321,0.0388649,3,15,0,335.642,0.784323,0.805442,2.00888
-335.497,0.947175,0.0595301,3,15,0,337.542,0.908159,1.07745,3.59068
-335.497,0.0282389,0.097011,2,3,0,338.653,0.908159,1.07745,3.59068
-336.398,0.993573,0.00950723,6,83,0,337.656,0.891966,0.765076,1.7673
-336.727,0.998604,0.0180411,3,7,0,336.778,0.895792,0.764103,1.75313
-334.565,0.976643,0.0344801,3,7,0,338.175,0.812419,0.665599,1.77307
-334.575,0.992778,0.0611692,3,7,0,334.794,0.858265,0.662888,1.81892
-333.6,0.363226,0.112866,2,7,0,335.38,0.802404,0.77229,2.00309
-333.55,0.991344,0.0325798,4,31,0,334.334,0.846218,0.865273,2.53058
-333.592,0.922605,0.059655,4,15,0,335.758,0.845533,0.761928,2.11771
-333.835,0.457896,0.0887318,2,3,0,335.192,0.860054,0.753055,1.9711
-333.568,0.990951,0.0347621,3,11,0,335.673,0.828863,0.798952,1.98153
-333.262,0.924895,0.0626593,3,7,0,334.894,0.79456,0.947155,2.2659
-336.847,0.679704,0.092906,3,7,0,337.242,0.972447,0.854811,3.36292
-337.781,0.782346,0.0691371,3,7,0,338.929,0.896257,0.815383,3.21617
-336.307,0.939463,0.068655,3,7,0,339.352,0.858875,0.916865,1.95505
-335.753,0.709504,0.10485,2,3,0,336.014,0.855621,0.933967,2.01857
-336.992,0.4791,0.0851498,1,3,0,339.58,0.924982,0.865547,1.99198
-333.24,1,0.0373011,2,7,0,336.577,0.82353,0.837149,2.11861
-333.815,0.842967,0.0666034,3,11,0,334.647,0.779363,0.862019,2.31303
-334.513,0.844132,0.077702,1,3,0,336.28,0.856472,0.785054,2.49935
-334.117,0.566836,0.090697,4,15,0,334.718,0.732735,0.842379,1.9625
-333.471,0.9588,0.0512259,4,15,0,334.96,0.837758,0.79191,2.21061
-333.471,0.665029,0.0805032,1,1,0,334.054,0.837758,0.79191,2.21061
-333.735,0.991954,0.0590688,3,7,0,334.448,0.792274,0.770914,1.89525
-333.735,0.0031285,0.100183,2,7,0,339.281,0.792274,0.770914,1.89525
-334.31,0.995075,0.0138136,4,31,0,334.737,0.781126,0.854101,1.87031
-333.744,0.98855,0.0236748,4,31,0,335.567,0.89973,1.02615,2.98643
-333.341,0.994307,0.0395979,4,23,0,334.128,0.786259,0.863121,2.18497
-333.292,1,0.0666683,2,3,0,333.373,0.789515,0.862969,2.137
-333.292,0.000205431,0.112958,1,1,0,334.423,0.789515,0.862969,2.137
-334.149,0.992985,0.0165736,4,15,0,335.03,0.769862,0.957428,2.07216
-333.337,0.994469,0.0276636,3,15,0,335.313,0.849213,0.884731,2.20743
-333.914,0.978192,0.0460021,4,15,0,334.106,0.855224,0.807986,1.98568
-333.43,0.999944,0.073055,4,15,0,333.691,0.826319,0.796956,2.02539
-334.079,0.531372,0.121379,2,3,0,334.299,0.904709,0.743776,2.1567
-336.347,0.769766,0.0663696,2,3,0,336.82,0.995257,0.700533,2.14683
-334.855,1,0.0639165,1,1,0,335.88,0.933493,0.69659,2.17731
-334.855,0.0544249,0.105194,2,7,0,336.309,0.933493,0.69659,2.17731
-334.086,0.999586,0.019338,5,31,0,335.498,0.794039,0.719367,1.82828
