# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:07:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\40dif8uo.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=200\realisation9\exponential_priors-20240423180725.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-279.776,1,0.0625,2,3,0,324.501,0.763583,0.635141,1.56151
-279.776,0,14.3855,0,1,1,280.487,0.763583,0.635141,1.56151
-279.776,0,2.43117,0,1,1,281.327,0.763583,0.635141,1.56151
-279.776,0,0.239791,0,1,1,279.898,0.763583,0.635141,1.56151
-274.382,0.998818,0.0186273,5,47,0,281.569,0.571483,0.642801,1.04507
-274.427,0.976077,0.0256353,4,23,0,275.939,0.699761,0.781265,1.36492
-274.353,0.999206,0.0374168,3,15,0,274.993,0.661758,0.683261,1.28047
-274.44,0.648538,0.0634017,3,15,0,276.364,0.594911,0.676452,1.07363
-274.441,0.997713,0.0375111,4,23,0,276.42,0.558156,0.771727,1.28852
-274.172,0.966315,0.0681683,2,7,0,275.005,0.689101,0.820063,1.48452
-274.264,0.280752,0.114548,1,3,0,277.249,0.646306,0.713368,1.18342
-274.209,0.985198,0.0223296,4,31,0,275.407,0.695326,0.7839,1.39714
-273.948,0.965206,0.0407522,3,9,0,274.495,0.601656,0.790397,1.31983
-275.544,0.503522,0.0700915,2,7,0,277.997,0.654687,0.90388,1.73429
-276.067,0.947756,0.0285771,3,11,0,277.649,0.684302,0.828719,1.30773
-274.936,0.912794,0.0468686,3,13,0,277.593,0.7105,0.924362,1.65024
-274.936,0.805712,0.0688242,2,3,0,275.275,0.7105,0.924362,1.65024
-276.11,0.927748,0.072664,3,7,0,277.379,0.755166,0.923587,1.8963
-275.432,0.315965,0.111184,1,3,0,276.557,0.681692,0.993273,1.68948
-276.364,0.952428,0.0269024,3,7,0,276.697,0.636803,0.949988,1.8152
-274.057,0.912613,0.0444925,4,15,0,277.615,0.66104,0.694609,1.25201
-276.568,0.93743,0.0649443,3,15,0,277.061,0.443664,0.633866,0.938384
-276.568,1.5484e-018,0.101391,1,1,0,279.365,0.443664,0.633866,0.938384
-276.253,0.99997,0.0103068,4,15,0,276.758,0.46283,0.627836,0.90592
-275.491,0.992435,0.0194486,5,47,0,280.357,0.714366,0.963132,1.83968
-275.054,0.962515,0.0355486,4,15,0,277.613,0.538735,0.816109,1.34943
-275.263,0.977432,0.0591066,3,15,0,278.585,0.644973,0.562223,1.0167
-274.866,0.263444,0.101624,2,5,0,277.617,0.65335,0.721444,1.39942
-274.992,0.997401,0.0237063,3,15,0,275.783,0.681252,0.699146,1.38813
-274.082,0.996932,0.0430184,3,15,0,275.177,0.587877,0.691951,1.17876
-274.537,0.272085,0.0771958,3,7,0,275.777,0.684286,0.777715,1.50176
-274.55,0.998986,0.0191582,4,31,0,276.411,0.659644,0.623493,1.12992
-274.42,0.989844,0.0344668,4,31,0,275.813,0.606151,0.854266,1.4859
