# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:35:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\0hujw5_b.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation0\exponential_priors-20240423183559.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-334.576,1,0.0625,2,3,0,393.221,0.740922,0.640392,1.52146
-334.576,0,14.3855,0,1,1,335.923,0.740922,0.640392,1.52146
-334.576,0,2.43117,0,1,1,335.717,0.740922,0.640392,1.52146
-334.576,5.33849e-020,0.239791,1,1,0,335.745,0.740922,0.640392,1.52146
-334.794,0.99295,0.0186273,4,31,0,336.671,0.6338,0.669462,1.37481
-335.193,0.997828,0.0251907,3,15,0,336.05,0.620964,0.766683,1.44634
-334.688,0.998922,0.0392814,3,15,0,335.51,0.641616,0.674189,1.40883
-336.22,0.570619,0.0665558,2,5,0,337.535,0.696903,0.636185,1.68302
-334.516,0.995813,0.030839,2,3,0,336.399,0.749031,0.674056,1.63295
-334.279,0.922017,0.0556553,2,7,0,335.075,0.719698,0.762116,1.67695
-335.827,0.611804,0.0812737,3,7,0,336.221,0.718548,0.927878,1.84052
-336.237,0.969638,0.0450976,2,3,0,336.868,0.62453,0.88778,1.90749
-339.672,0.666001,0.0782029,2,3,0,341.054,0.951488,0.769855,2.36243
-338.27,0.995917,0.0524903,4,15,0,340.214,0.830143,0.808664,2.57795
-335.797,0.422328,0.0995171,2,3,0,339.72,0.716865,0.98648,2.16293
-335.507,0.997747,0.0317923,4,15,0,336.249,0.796646,0.807306,2.13643
-336.375,0.995208,0.0607954,3,7,0,337.406,0.796903,0.936616,2.43511
-336.375,0.137508,0.114603,1,1,0,336.855,0.796903,0.936616,2.43511
-336.566,0.993585,0.0159345,4,15,0,336.993,0.762755,0.896596,2.41632
-335.175,0.999683,0.030028,5,31,0,336.695,0.713114,0.920034,1.94337
-335.445,0.956597,0.0571236,3,15,0,337.489,0.685794,0.545505,1.20342
-335.445,0.207767,0.0947627,2,7,0,337.619,0.685794,0.545505,1.20342
-336.282,0.981728,0.0173679,3,7,0,336.612,0.683684,0.520799,1.27016
-335.282,0.986914,0.0310907,3,7,0,337.028,0.73646,0.559833,1.31906
-335.345,0.995533,0.0559709,3,15,0,335.856,0.636301,0.598157,1.18746
-336.365,0.404573,0.102287,2,3,0,337.094,0.631643,0.518827,1.11647
-336.613,0.962941,0.034698,2,7,0,337.376,0.695513,0.586306,1.12084
-336.613,0.314077,0.0575376,2,3,0,340.366,0.695513,0.586306,1.12084
-336.311,0.984791,0.0155292,3,15,0,339.1,0.670591,0.519763,1.23801
-336.123,0.999699,0.0273122,2,7,0,336.756,0.683362,0.509932,1.1872
-336.712,0.988512,0.0495717,2,7,0,337.392,0.677859,0.484879,1.13899
-338.622,0.65632,0.0864241,2,3,0,339.15,0.538098,0.51615,1.01936
-336.363,0.9624,0.0610162,3,15,0,339.286,0.85755,0.729587,2.01629
-336.363,0.159865,0.0981422,2,3,0,338.515,0.85755,0.729587,2.01629
-334.56,0.996115,0.0186699,4,15,0,337.083,0.730328,0.718609,1.76063
-339.342,0.829412,0.0328683,3,7,0,343.741,0.602245,0.925599,1.47408
-338.301,1,0.0371213,1,1,0,339.374,0.608813,0.906724,1.48983
-336.264,1,0.0650653,1,1,0,337.533,0.592497,0.864465,1.57687
-336.264,0.302066,0.113048,1,1,0,336.389,0.592497,0.864465,1.57687
-335.271,0.989239,0.0328734,4,15,0,337.263,0.613993,0.73727,1.54308
-334.493,0.997968,0.0553887,2,7,0,336.084,0.747896,0.710924,1.59216
-334.493,0.0123011,0.0946397,2,3,0,340.623,0.747896,0.710924,1.59216
-335.744,0.993797,0.0137478,5,55,0,336.186,0.782868,0.886065,1.93399
-335.662,0.986801,0.0232952,3,7,0,336.895,0.73607,0.742552,1.98543
-334.868,0.919643,0.0384996,2,3,0,336.958,0.730329,0.804346,1.97325
-335.109,0.959875,0.053619,2,7,0,336.462,0.799657,0.676511,1.66324
-334.444,0.569159,0.0819235,2,7,0,335.935,0.684153,0.80767,1.71323
-334.445,0.994041,0.0486066,2,7,0,335.066,0.700042,0.812878,1.80105
-335.465,0.485552,0.0801398,2,3,0,336.079,0.668277,0.901041,1.74511
-334.352,0.927881,0.0392622,3,7,0,336.638,0.702245,0.768734,1.62257
-335.375,0.86364,0.0550755,2,3,0,335.508,0.65535,0.719631,1.68884
-334.338,0.993861,0.0661601,3,15,0,336.48,0.721209,0.783397,1.78349
-334.338,0.145082,0.107318,2,7,0,336.519,0.721209,0.783397,1.78349
-335.28,0.983977,0.0243239,3,15,0,336.594,0.673955,0.885341,1.73064
-336.63,0.888833,0.0385654,3,15,0,337.795,0.68367,0.863531,1.55902
-337.028,0.999284,0.0489174,4,15,0,338.401,0.807229,0.943318,2.02339
-336.762,1,0.0794584,2,3,0,337.621,0.778191,1.01667,2.51404
-337.495,0.830574,0.128483,1,1,0,337.574,0.831728,0.997418,2.64928
-337.495,1.41686e-008,0.141295,1,3,1,344.127,0.831728,0.997418,2.64928
-338.492,0.995808,0.0244202,3,7,0,338.579,0.845123,0.945343,2.83833
-335.752,1,0.0390425,3,7,0,339.333,0.790401,0.903019,2.26676
-338.458,0.748581,0.0626397,4,15,0,338.802,0.678995,1.04679,2.53134
-339.709,0.981622,0.0576595,2,3,0,340.816,0.694763,1.21265,2.25759
-336.039,1,0.0881722,2,3,0,340.231,0.748765,0.957088,2.34462
-336.277,0.471723,0.139597,1,1,0,337.161,0.721566,0.932612,2.3191
-337.098,0.555608,0.070608,2,3,0,339.079,0.702132,1.05268,2.03994
-336.242,1,0.0430505,2,3,0,337.189,0.70148,1.0092,2.02984
-335.098,0.826137,0.0678809,4,15,0,337.46,0.774518,0.675161,1.78295
-335.738,0.882873,0.073728,2,7,0,336.557,0.818082,0.614127,1.60501
-335.738,0.0974204,0.0901338,1,3,0,341.572,0.818082,0.614127,1.60501
-340.325,0.908957,0.0212643,4,15,0,341.994,0.707171,0.618414,1.94776
-336.618,1,0.0275618,3,7,0,340.923,0.841947,0.646537,1.54944
-335.339,0.994216,0.0430072,2,3,0,336.898,0.795839,0.620551,1.52646
-335.223,0.996097,0.0659973,3,7,0,335.948,0.681417,0.885125,1.98419
-335.223,0.263636,0.101206,2,7,0,337.958,0.681417,0.885125,1.98419
-335.007,0.970999,0.0347327,4,15,0,336.097,0.790514,0.801389,1.93491
-335.406,0.994112,0.0505528,2,7,0,335.916,0.676377,0.918836,2.00139
-336.234,0.960919,0.0767911,3,7,0,337.326,0.77908,0.930887,2.40763
-336.234,0.0264481,0.108664,2,6,1,344.15,0.77908,0.930887,2.40763
-334.474,0.99426,0.0236994,5,31,0,337.631,0.741551,0.788373,1.85548
-334.477,0.970823,0.03591,3,15,0,335.705,0.676439,0.766591,1.55904
-334.532,0.959426,0.0517322,4,15,0,335.357,0.712899,0.640322,1.50311
-334.36,0.652322,0.0726096,2,5,0,335.582,0.674132,0.708934,1.4774
-335.444,0.916086,0.0556511,3,15,0,335.692,0.764578,0.673497,1.83146
-335.367,0.978135,0.0715111,2,7,0,336.258,0.806589,0.641051,1.6086
-335.367,0.0598571,0.103399,2,3,0,336.358,0.806589,0.641051,1.6086
-335.304,0.999943,0.0252728,4,15,0,335.623,0.621077,0.712546,1.32797
-334.326,1,0.0381526,3,7,0,335.385,0.687853,0.695852,1.56114
-336.58,0.82553,0.0573816,3,15,0,337.494,0.661308,0.883098,2.10322
-338.928,0.925676,0.0616556,2,3,0,339.182,0.697257,1.12482,2.04914
-335.717,1,0.0800523,3,7,0,339.153,0.743915,0.930814,1.93337
-335.192,0.666825,0.119318,2,3,0,335.371,0.738392,0.908051,2.11263
-335.579,0.88371,0.0947005,3,7,0,335.632,0.739502,0.955391,2.06366
-335.579,0.00391542,0.113035,2,3,0,337.741,0.739502,0.955391,2.06366
-335.465,0.999237,0.02612,4,15,0,335.879,0.723664,0.953673,2.05305
-335.785,0.999893,0.0387831,4,15,0,335.972,0.769562,0.895437,2.29061
-334.861,0.907584,0.0574567,3,15,0,337.438,0.788042,0.747024,1.78494
-335.179,0.889104,0.0715752,2,7,0,335.666,0.736594,0.87335,1.82177
-336.919,0.831589,0.086028,3,11,0,337.46,0.645247,0.494084,1.13033
-334.517,0.459863,0.0929437,4,15,0,337.238,0.719916,0.828193,1.86939
-335.49,0.830033,0.408373,4,15,0,336.078,0.676309,0.639867,1.57096
-335.49,0,4.31292,0,1,1,338.601,0.676309,0.639867,1.57096
-335.49,2.19081e-006,0.665099,1,3,0,339.713,0.676309,0.639867,1.57096
-336.161,0.999864,0.0622582,5,31,0,336.519,0.671053,0.640971,1.1885
-338.292,0.987412,0.0814663,4,23,0,339.611,0.658496,0.627535,1.07276
-336.518,1,0.120141,3,7,0,338.693,0.625411,0.539862,1.21312
-337.851,0.996943,0.201523,5,31,0,338.489,0.697473,0.44407,1.11339
-337.596,0.959471,0.353899,3,7,0,338.73,0.690968,0.441031,1.02372
-337.031,0.985402,0.570533,2,3,0,337.81,0.704854,0.49761,1.02401
-337.031,0.035273,1.01489,1,3,0,337.581,0.704854,0.49761,1.02401
-336.837,0.99984,0.0902265,6,63,0,337.966,0.661848,0.986662,2.21556
-334.993,0.999908,0.170354,4,15,0,337.194,0.66209,0.859306,1.70762
-335.009,0.999926,0.322786,3,7,0,335.175,0.647802,0.833461,1.76619
-335.91,0.593944,0.610958,1,1,0,336.031,0.638851,0.81384,1.85184
-335.476,1,0.324721,3,15,0,336.428,0.693647,0.904839,1.77784
-336.764,0.363814,0.61315,3,15,0,337.517,0.811819,0.706194,1.51861
-336.861,0.99976,0.16233,5,31,0,339.221,0.753732,0.95885,2.50487
-337.831,0.972142,0.306004,4,15,0,340.131,0.782338,0.510106,1.10882
-335.895,0.989278,0.526036,3,15,0,338.635,0.647051,0.53294,1.13543
-337.374,0.174446,0.944648,2,5,1,337.864,0.623594,0.510755,0.949647
-339.311,0.934332,0.148088,2,5,0,340.508,0.613754,0.438212,1.0208
-337.505,0.99841,0.226487,5,31,0,339.957,0.802329,0.990673,2.08538
-335.243,1,0.415206,2,7,0,338.564,0.761981,0.903131,2.05085
-335.583,0.753785,0.757134,3,7,0,335.835,0.817124,0.815682,2.09022
-338.203,0.542487,0.672328,2,3,0,338.843,0.854349,0.990611,2.27381
