# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:39:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ggu0flb5.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation1\exponential_priors-20240423183932.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-322.489,1,0.0625,1,1,0,381.613,0.705951,0.674789,1.63693
-322.489,0,14.3855,0,1,1,325.301,0.705951,0.674789,1.63693
-322.489,0,2.43117,0,1,1,326.821,0.705951,0.674789,1.63693
-322.489,7.87463e-028,0.239791,1,2,1,324.468,0.705951,0.674789,1.63693
-322.381,0.990861,0.0186273,4,31,0,324.363,0.797823,0.713737,1.80489
-322.413,0.992161,0.0250343,4,15,0,323.077,0.670655,0.777469,1.47641
-321.944,0.997655,0.0383596,4,15,0,322.993,0.721822,0.691319,1.61512
-322.746,0.663647,0.0647128,3,11,0,325.538,0.663348,0.926934,2.15826
-322.246,0.897926,0.0401565,2,7,0,324.995,0.642656,1.00403,2.00398
-321.67,0.997795,0.0532684,4,15,0,322.712,0.757627,0.744376,1.71556
-321.621,0.842417,0.0988455,3,7,0,322.281,0.67672,0.868653,1.94707
-322.127,0.197169,0.113611,1,3,0,322.395,0.778241,0.870486,1.86083
-321.588,0.997977,0.0172503,4,31,0,324.23,0.755751,0.963915,2.11625
-321.179,0.999897,0.0330052,4,23,0,321.692,0.732136,0.861244,1.91003
-323.883,0.69275,0.063518,2,7,0,324.204,0.57698,0.861311,1.77817
-322.584,1,0.0470364,2,3,0,323.867,0.613975,0.883188,1.61964
-324.012,0.70775,0.0903267,2,3,0,324.642,0.561207,0.853959,1.48365
-322.097,1,0.0705641,2,7,0,325.488,0.631925,0.937775,1.89629
-321.985,0.33334,0.13443,2,3,0,323.97,0.767223,0.991371,2.40686
-321.429,0.995408,0.0342191,4,19,0,323.499,0.738177,0.762752,1.72574
-321.673,0.867581,0.0642032,2,7,0,323.681,0.652362,0.818468,1.75201
-322.02,0.973189,0.0817822,3,7,0,322.538,0.768306,0.999778,2.15399
-322.02,0.00054728,0.141513,1,3,1,322.266,0.768306,0.999778,2.15399
-323.012,0.999839,0.0143674,5,31,0,323.498,0.811369,1.1097,2.67821
-322.756,0.999175,0.0270239,4,31,0,326.084,0.644763,0.69193,1.34771
-322.595,0.852825,0.0502141,3,7,0,324.004,0.648831,0.735217,1.67894
-322.681,0.995689,0.0610116,2,3,0,322.918,0.761517,0.765581,1.58236
-322.012,0.457164,0.110389,2,7,0,323.347,0.744842,0.780234,1.97746
-322.934,0.829475,0.0441363,2,7,0,326.206,0.620135,0.870921,1.90281
-324.129,0.984519,0.0501091,3,15,0,325.996,0.621411,0.797387,1.3696
-321.877,0.85099,0.0868043,3,7,0,323.37,0.654289,0.749047,1.50956
-321.877,0.0472102,0.103686,2,3,0,323.359,0.654289,0.749047,1.50956
-323.849,0.995592,0.0141677,4,31,0,326.791,0.73385,0.578019,1.29381
-322.635,0.999526,0.0251982,4,15,0,324.591,0.615608,0.752504,1.42311
-322.006,0.998534,0.0448649,3,15,0,323.395,0.80591,0.845203,2.11646
-322.224,0.972308,0.0789365,2,7,0,323.056,0.813675,0.786184,1.97186
-322.224,1.46811e-007,0.128536,1,3,1,324.641,0.813675,0.786184,1.97186
-322.764,0.996111,0.0167658,4,23,0,323.735,0.613721,0.964541,1.77852
-322.126,0.995662,0.0291425,3,15,0,324.089,0.627799,0.919561,1.76436
-322.589,0.994899,0.0501652,3,15,0,322.958,0.82814,0.936966,2.41726
-323.017,0.628778,0.0854707,2,3,0,323.995,0.749303,1.14774,2.36361
-322.711,0.987532,0.0576049,3,7,0,323.18,0.754988,1.11699,2.33895
-321.858,0.757323,0.0954794,1,3,0,323.435,0.786778,0.942912,2.29419
-321.858,0.354149,0.0888598,1,1,0,322.431,0.786778,0.942912,2.29419
-321.348,0.998503,0.0307406,3,7,0,321.947,0.732585,0.941493,2.04577
-322.01,0.916391,0.051977,3,7,0,322.482,0.788139,0.894947,2.27603
-322.399,0.851008,0.0714909,2,3,0,323.128,0.808644,0.982797,2.23857
-322.257,0.729329,0.0836358,2,3,0,322.735,0.793276,1.00697,2.25458
-321.329,0.994043,0.072993,3,7,0,322.218,0.716952,0.923099,1.94273
-322.281,0.184295,0.119591,1,3,0,323.056,0.762911,0.906132,2.34144
-323.295,0.986121,0.0288591,4,31,0,323.635,0.763742,1.15857,2.39436
-327.316,0.838024,0.0463792,3,11,0,329.54,0.694551,1.31071,3.29602
-325.435,0.995468,0.0524778,3,7,0,327.637,0.890695,1.20219,3.19802
-322.264,0.154755,0.0852882,4,15,0,329.17,0.703083,1.0167,1.97936
-321.411,0.990713,0.0199794,5,31,0,323.604,0.687383,0.943412,1.99532
-322.428,0.924946,0.0321082,2,3,0,322.596,0.668302,0.919749,2.12634
-322.144,0.997487,0.0441797,3,15,0,322.955,0.690459,0.736538,1.75615
-321.507,0.986407,0.0712922,2,3,0,321.985,0.741046,0.749695,1.72084
-321.507,0.0010678,0.111551,2,3,0,324.177,0.741046,0.749695,1.72084
-321.325,0.999075,0.0193531,4,23,0,321.81,0.680369,0.802246,1.69121
-321.306,0.980991,0.0312092,4,15,0,322.05,0.749936,0.820469,1.86473
-322.618,0.851002,0.0480845,3,11,0,324.216,0.636592,0.911455,2.00419
-322.618,0.29358,0.0554609,1,3,0,327.8,0.636592,0.911455,2.00419
-321.824,0.98513,0.0189998,3,15,0,325.37,0.726828,0.790487,1.94524
-321.747,0.984264,0.029386,3,7,0,322.627,0.701462,0.781307,1.8516
-322.262,0.99645,0.0451342,2,7,0,322.381,0.80555,0.775506,1.81349
-322.034,0.986151,0.0707996,2,3,0,322.66,0.715662,0.738712,1.80753
-322.656,1,0.108098,2,3,0,322.727,0.655761,0.68529,1.35597
-322.656,5.61308e-028,0.169141,1,1,0,325.268,0.655761,0.68529,1.35597
-324.737,0.959726,0.0321532,3,7,0,325.619,0.542605,0.795944,1.36081
-324.088,0.920923,0.0463131,3,15,0,326.57,0.850769,0.7841,2.3414
-324.8,0.986761,0.0612879,2,3,0,325.047,0.865452,0.746452,2.31538
-321.225,0.454763,0.0926579,2,7,0,328.043,0.700834,0.857053,1.79613
-322.3,0.726642,0.0466437,2,7,0,324.471,0.704755,0.780576,1.93557
-322.954,0.971597,0.0412638,2,7,0,323.1,0.758249,0.837824,1.66404
-327.582,0.568227,0.060202,2,7,0,329.915,0.889444,0.812616,1.71152
-321.617,0.99496,0.0386166,3,15,0,327.438,0.691934,0.980139,2.12261
-321.42,0.991225,0.0588396,3,15,0,321.934,0.751833,0.78758,1.78846
-322.406,0.793613,0.0886008,2,3,0,323.92,0.778698,0.67878,1.66594
-321.636,0.8324,0.0895347,1,3,0,323.946,0.662833,0.761747,1.57624
-322.171,0.702217,0.0977096,2,7,0,322.949,0.74906,0.908102,1.83981
-321.456,1,0.0823454,3,7,0,322.973,0.724625,0.976392,2.13428
-321.456,0.158946,0.124909,2,5,1,322.996,0.724625,0.976392,2.13428
-321.378,0.983168,0.0363206,3,7,0,321.698,0.737971,0.946786,2.12904
-321.281,0.976905,0.0533007,3,7,0,321.978,0.740445,0.912945,2.05511
-322.549,0.820253,0.07699,2,7,0,326.323,0.747004,0.644354,1.50744
-322.089,0.344134,0.0818799,2,7,0,324.573,0.687211,0.841075,1.6144
-321.528,0.978782,0.0348312,3,15,0,323.102,0.711748,0.754579,1.60919
-323.605,0.852643,0.0503215,3,11,0,325.076,0.776942,0.808751,2.31059
-324.242,0.943861,0.0569707,2,7,0,325.188,0.738505,1.12863,2.11505
-321.578,0.804566,0.0765932,4,15,0,323.69,0.774945,0.822065,1.98852
-321.798,0.983161,0.0789367,2,7,0,323.643,0.76982,0.739923,1.76925
-323.311,0.100062,0.113786,2,5,0,326.322,0.583332,0.731723,1.44997
-323.745,0.997248,0.0312831,4,15,0,324.39,0.585042,0.721767,1.30583
-322.63,1,0.0463246,3,7,0,324.134,0.730136,0.634944,1.45056
-322.367,0.810621,0.0687121,3,15,0,324.227,0.716273,0.998053,1.94116
-321.39,0.999705,0.071568,2,7,0,322.642,0.666279,0.830031,1.71508
-321.39,0.0223918,0.105534,2,5,0,322.949,0.666279,0.830031,1.71508
-321.421,0.974745,0.0258535,2,7,0,322.314,0.687978,0.844181,1.70855
-324.482,0.785934,0.0364554,2,3,0,324.803,0.695885,0.876869,1.53793
-324.482,2.16053e-009,1.16359,1,2,1,324.775,0.695885,0.876869,1.53793
-324.482,5.22041e-283,2.71705,1,2,1,327.11,0.695885,0.876869,1.53793
-322.025,0.917174,0.267899,3,7,0,327.811,0.631832,0.826122,1.58495
-322.684,0.990446,0.223759,4,15,0,323.294,0.781108,0.660684,1.66732
-322.529,0.981051,0.289841,4,15,0,323.331,0.616664,0.921963,1.89544
-325.211,0.906392,0.423479,3,15,0,328.958,0.713889,1.29898,3.06517
-321.352,0.999197,0.536394,3,7,0,325.567,0.758551,0.834156,1.93816
-321.352,0.000948725,0.947533,1,1,0,322.576,0.758551,0.834156,1.93816
-321.545,0.998519,0.0750741,5,47,0,323.785,0.69588,0.936305,2.09674
-321.802,0.999667,0.137138,3,15,0,322.029,0.673753,0.999621,2.05807
-321.904,0.936704,0.256268,3,15,0,324.698,0.784973,0.762246,1.88812
-322.78,0.980486,0.396375,3,7,0,322.935,0.837453,0.776789,1.92637
-322.919,0.80166,0.706918,3,7,0,324.904,0.822803,0.759331,1.75754
-322.187,0.243356,0.71946,2,7,0,324.485,0.670001,0.689447,1.5318
-323.739,0.99175,0.128784,4,23,0,324.556,0.637762,0.666979,1.24602
-323.845,0.968312,0.240003,4,15,0,326.005,0.608898,0.927595,1.58798
-322.16,0.978455,0.413816,4,15,0,325.951,0.642603,0.981291,2.00743
-322.891,0.83801,0.731532,2,5,0,324.675,0.812089,1.0768,2.46282
-322.891,0.0171809,0.83865,1,1,0,324.333,0.812089,1.0768,2.46282
-321.702,0.999137,0.0814215,5,47,0,323.529,0.709344,0.921095,1.84004
-321.457,0.999718,0.153568,4,15,0,321.815,0.736558,0.8979,1.89348
-322.973,0.977429,0.287375,4,15,0,323.749,0.594655,0.766083,1.42305
-322.919,0.910812,0.4988,3,7,0,323.861,0.64742,0.654388,1.44231
-321.551,0.854622,0.707041,3,7,0,323.361,0.718606,0.938919,2.1697
-321.404,0.24716,0.847596,3,7,0,321.96,0.729982,0.870924,2.05308
-321.323,0.986833,0.178614,2,7,0,322.077,0.738415,0.91152,1.9764
-321.322,0.971607,0.314219,3,7,0,321.749,0.738753,0.910139,1.97445
-321.196,0.7738,0.524666,2,7,0,322.153,0.70402,0.892339,1.90501
