# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:43:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\bjq6228t.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation2\exponential_priors-20240423184321.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-284.547,1,0.0625,1,3,0,336.948,0.671729,0.663237,1.57411
-284.547,0,14.3855,0,1,1,287.815,0.671729,0.663237,1.57411
-284.547,0,2.43117,0,1,1,285.236,0.671729,0.663237,1.57411
-284.547,0,0.239791,0,1,1,285.302,0.671729,0.663237,1.57411
-282.072,0.999409,0.0186273,3,7,0,285.41,0.687759,0.711298,1.58073
-279.442,0.958704,0.0256804,3,11,0,284.046,0.648409,0.886151,1.62317
-280.979,0.959321,0.0355427,3,7,0,281.468,0.73797,0.759788,1.63144
-281.945,0.758359,0.0531492,3,7,0,285.135,0.594056,0.847341,1.35488
-280.9,1,0.0443309,3,7,0,282.65,0.628784,0.770311,1.55264
-279.604,0.802047,0.0812114,3,9,0,281.503,0.719189,1.31129,2.96131
-279.969,0.676538,0.0811946,3,7,0,280.525,0.715032,1.31448,3.00828
-278.254,0.865136,0.0552756,2,7,0,281.751,0.691653,1.1835,2.2846
-279.145,0.860848,0.0689307,2,3,0,279.656,0.635671,1.23336,2.19805
-279.432,0.893296,0.0852747,3,7,0,279.643,0.608732,1.08031,2.09843
-279.432,0.198778,0.11709,2,3,0,280.568,0.608732,1.08031,2.09843
-279.194,0.999995,0.0186933,4,31,0,279.983,0.664439,1.03207,1.82218
-279.2,0.978371,0.0361274,4,15,0,282.952,0.762031,0.940159,2.07788
-278.547,0.941409,0.0649383,2,7,0,279.467,0.697321,0.964517,1.92441
-278.496,0.657678,0.103653,2,3,0,278.829,0.688634,1.03463,1.95258
-278.917,0.312348,0.0700969,2,7,0,281.494,0.762525,1.05456,2.41474
-280.298,0.97024,0.0170604,2,7,0,281.534,0.842516,1.07142,2.32821
-280.319,1,0.0297657,4,15,0,280.747,0.84204,1.04936,2.29724
-280.121,0.999077,0.056195,2,7,0,282.25,0.638323,1.39797,2.69552
-279.37,0.348766,0.104747,2,3,0,281.616,0.801238,1.22641,2.90404
-279.08,0.992128,0.0296696,4,15,0,279.932,0.766326,1.39473,2.89183
-278.361,0.986381,0.053988,3,7,0,279.373,0.754816,1.19569,2.50051
-279.215,0.10668,0.095703,3,11,0,280.893,0.661514,1.07429,2.29189
-278.517,0.999914,0.014202,4,31,0,279.717,0.674656,1.13717,2.34008
-278.959,0.997368,0.0261942,3,7,0,279.265,0.65154,1.25789,2.28582
-280.418,0.750114,0.047489,3,15,0,282.654,0.776046,0.848469,1.78655
-278.685,0.841449,0.0433132,3,15,0,283.917,0.663166,1.21954,2.23761
-278.179,0.985253,0.0507037,3,7,0,279.004,0.7227,1.09591,2.2253
-279.826,0.864061,0.0872081,2,5,0,280.493,0.632601,0.832085,1.57562
-279.435,0.841266,0.107547,2,3,0,280.189,0.618167,0.904661,1.73248
-279.718,0.333335,0.124424,2,3,0,279.944,0.69759,0.838094,1.642
-278.867,0.812462,0.0377704,3,7,0,281.843,0.651218,0.93197,1.78877
-278.893,0.971226,0.040768,4,23,0,279.443,0.710951,1.32135,2.79492
-279.075,0.990086,0.0662801,3,7,0,279.288,0.696571,1.37282,2.59086
-279.075,0.352397,0.112247,2,3,0,281.227,0.696571,1.37282,2.59086
-278.27,0.973769,0.0371106,3,7,0,279.914,0.739854,1.20228,2.47402
-279.91,0.64754,0.0600734,2,7,0,280.471,0.675012,1.19175,2.65103
-280.789,0.948897,0.0425522,3,15,0,283.174,0.707176,1.19844,2.88048
-279.196,0.870561,0.064197,3,9,0,281.863,0.642495,0.89295,1.7126
-279.196,0.323514,0.0792965,2,3,0,280.509,0.642495,0.89295,1.7126
-279.402,0.993549,0.0254642,4,15,0,280.305,0.595301,1.04592,1.83739
-280.738,0.78199,0.0425951,2,7,0,282.415,0.630343,0.898798,1.93523
-280.84,0.940563,0.0423662,2,3,0,282.055,0.677799,1.06795,1.77539
-278.538,0.844266,0.0617008,3,11,0,282.155,0.736902,1.26123,2.48124
-279.076,0.608648,0.0710127,3,11,0,280.491,0.734151,1.00719,1.93111
-279.561,0.986562,0.0466306,3,11,0,280.179,0.75337,0.977355,2.30654
-278.655,0.974018,0.0750282,3,15,0,279.621,0.75902,1.13694,2.27189
-278.18,0.895829,0.11647,1,3,0,278.291,0.704871,1.12268,2.31085
-278.18,4.29222e-009,0.149849,1,1,0,279.195,0.704871,1.12268,2.31085
-279.041,0.968345,0.0242357,3,15,0,279.598,0.659264,1.12026,2.34699
-279.16,0.995917,0.0370716,4,19,0,279.84,0.715954,0.916394,1.79111
-279.845,0.957333,0.0600533,3,7,0,280.805,0.783301,0.921136,2.15117
-278.259,0.908475,0.0885815,2,7,0,280.362,0.700612,1.1931,2.43589
-278.259,0.000267493,0.11646,1,3,1,280.422,0.700612,1.1931,2.43589
-278.317,0.99907,0.0199527,3,15,0,278.668,0.746574,1.17424,2.50341
-279.076,0.971643,0.0322684,4,15,0,280.219,0.746455,1.26324,2.87003
-278.794,0.999403,0.0488222,2,3,0,279.234,0.766673,1.31207,2.85194
-278.397,0.685054,0.0781241,2,7,0,279.971,0.739032,1.1781,2.33275
-280.44,0.87023,0.0625032,2,7,0,280.948,0.5868,1.26286,2.31435
-279.021,0.823958,0.0749825,2,3,0,280.869,0.779942,1.0607,2.18323
-282.915,0.0279885,0.0812085,2,3,0,284.071,0.818014,1.15873,2.101
-282.663,0.999474,0.0158705,4,23,0,284.458,0.618524,0.89945,2.04148
-281.172,0.964623,0.0252036,2,7,0,285.777,0.772197,0.9941,1.83144
-279.308,0.996259,0.0369706,3,7,0,281.587,0.726726,0.929347,2.08573
-278.577,0.988917,0.0577307,3,7,0,280.417,0.674155,1.22339,2.27186
-278.782,0.753005,0.0883259,3,7,0,279.082,0.733534,1.13791,2.56217
-278.782,0.354086,0.082116,2,7,0,281.195,0.733534,1.13791,2.56217
-278.908,0.998687,0.0333122,3,7,0,279.298,0.79628,1.12135,2.49319
-278.651,1,0.0517873,2,3,0,278.917,0.780942,1.13184,2.46258
-278.481,1,0.080345,1,1,0,278.659,0.768677,1.14856,2.4487
-278.481,0.000489855,0.124071,1,3,1,280.525,0.768677,1.14856,2.4487
-279.568,0.981035,0.0248814,3,15,0,280.942,0.811997,1.06574,2.53891
-280.63,0.808893,0.0370213,3,15,0,284.274,0.736474,1.0086,2.50281
-280.129,0.982802,0.0387641,3,7,0,281.728,0.781179,1.0347,2.58081
-279.144,0.862029,0.0575116,2,5,0,281.902,0.677242,1.37468,2.6557
-279.415,0.97845,0.0667697,3,7,0,279.68,0.815011,1.16907,2.76361
-279.415,0.239443,0.0975479,1,1,0,281.284,0.815011,1.16907,2.76361
-279.374,0.943211,0.032914,4,23,0,283.978,0.724453,0.970987,1.82808
-278.707,0.99986,0.0448425,3,15,0,279.512,0.682812,1.17583,2.14194
-279.038,0.644872,0.0680575,3,11,0,280.131,0.796642,1.23896,2.59475
-281.103,0.601242,0.0514846,3,7,0,284.391,0.861021,1.19946,2.51348
-278.751,1,0.0358744,3,7,0,281.292,0.662676,1.15364,2.07633
-278.717,0.942423,0.0541845,4,23,0,279.481,0.704183,1.27066,2.68121
-278.717,0.115137,0.0729778,1,1,0,280.984,0.704183,1.27066,2.68121
-280.805,0.942176,0.0201119,3,7,0,282.309,0.659803,1.34208,2.91462
-278.688,0.992203,0.0271173,4,31,0,282.376,0.68911,1.03658,2.21491
-278.322,1,0.0400919,2,3,0,278.72,0.690648,1.06442,2.19886
-278.549,0.893874,0.0599399,2,3,0,278.786,0.715608,1.09189,2.07589
-280.277,0.26322,0.0731343,3,9,0,282.356,0.724638,1.04591,2.5359
-279.485,0.994012,0.027344,3,7,0,280.674,0.736554,1.26403,2.3192
-282.175,0.993596,0.0402713,4,23,0,282.869,0.686557,0.70021,1.5418
-278.711,0.999477,0.0590627,3,15,0,282.472,0.633565,1.04878,2.01666
-279.206,0.252837,0.0872778,4,15,0,280.342,0.730265,1.43732,2.92144
-278.975,0.999449,0.0325159,3,7,0,279.33,0.772559,1.33397,2.9403
-279.904,0.898106,0.0480014,3,7,0,280.239,0.694457,1.40899,3.01509
-279.498,0.996579,0.0586976,3,15,0,280.84,0.686038,0.907038,1.67336
-279.291,0.993248,0.342808,4,15,0,280.688,0.606267,0.993753,1.88493
-279.291,0,4.87129,0,1,1,279.524,0.606267,0.993753,1.88493
-279.095,1,0.820263,1,1,0,279.256,0.609409,1.00685,1.86313
-278.58,0.33334,1.15966,2,3,0,279.1,0.638812,1.06082,1.98913
-278.258,0.993785,0.282673,5,31,0,278.783,0.726442,1.06872,2.16394
-278.608,0.994812,0.451916,3,15,0,279.126,0.707183,0.955904,1.94322
-278.608,0.000273062,0.776904,2,3,0,282.36,0.707183,0.955904,1.94322
-280.063,0.999563,0.0628925,6,63,0,280.345,0.802181,0.917441,2.01457
-279.809,0.999993,0.113295,5,31,0,280.369,0.786124,0.90955,1.97908
-278.78,1,0.209571,3,7,0,279.907,0.763901,1.00623,2.1598
-278.466,0.9994,0.392932,3,15,0,279.141,0.654225,1.03091,1.95433
-278.753,0.141131,0.739474,3,15,0,279.05,0.665659,0.974535,1.81321
-278.739,1,0.0932847,5,31,0,278.819,0.673179,0.938794,1.8822
-280.637,0.951757,0.177441,3,15,0,281.551,0.720662,0.906979,1.64089
-278.898,0.937618,0.289479,2,3,0,281.583,0.693553,0.934783,1.97219
-279.019,0.949366,0.450366,3,11,0,279.593,0.664262,1.14752,2.41163
-279.019,0.00284801,0.723218,1,1,0,279.474,0.664262,1.14752,2.41163
-278.207,0.99987,0.0641101,5,55,0,279.702,0.691868,1.10494,2.24885
-279.115,0.970443,0.121167,5,47,0,282.349,0.773994,1.37119,2.80404
-278.933,0.998096,0.207757,4,23,0,280.036,0.665325,0.912805,1.75993
-279.357,0.830363,0.383763,2,3,0,279.866,0.670935,0.932405,1.69053
-281.018,0.54387,0.427561,3,7,0,282.587,0.632537,1.00392,2.22028
-279.679,0.991228,0.205377,3,15,0,282.322,0.659496,1.23147,2.11123
-280.238,1,0.366726,4,15,0,280.694,0.612225,1.0709,1.7585
-280.438,0.323625,0.665173,2,3,0,281.882,0.604937,1.03892,1.69308
-280.663,0.98186,0.172946,2,3,0,281.173,0.598405,1.03286,1.66711
-279.518,1,0.296963,2,3,0,280.646,0.591784,1.00097,1.75533
-283.061,0.127112,0.531725,3,7,0,283.953,0.572968,1.03892,2.20308
-283.231,0.999625,0.0829201,3,7,0,283.334,0.574061,1.03638,2.21414
-284.393,0.985303,0.148474,3,7,0,284.85,0.574662,1.03567,2.28729
-280.048,0.938989,0.253164,4,23,0,288.252,0.608586,1.31171,2.40621
-280.452,0.771494,0.377308,1,3,0,281.254,0.625419,1.33382,2.24529
-279.604,1,0.355792,4,23,0,281.482,0.661814,0.92197,1.64332
-279.604,0.0862954,0.618378,3,7,0,280.994,0.661814,0.92197,1.64332
-279.304,0.995173,0.0945593,4,31,0,280.988,0.644424,0.877573,1.67978
-278.886,0.997188,0.162543,4,23,0,280.898,0.65217,1.24054,2.43706
-279.517,0.976279,0.278472,5,31,0,281.215,0.752799,0.903171,2.03276
