# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:47:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\bbu2t12z.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation3\exponential_priors-20240423184756.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-324.698,1,0.0625,2,3,0,381.38,0.805843,0.715255,1.60788
-324.698,0,14.3855,0,1,1,324.995,0.805843,0.715255,1.60788
-324.698,0,2.43117,0,1,1,325.177,0.805843,0.715255,1.60788
-324.698,6.91841e-181,0.239791,1,1,0,327.22,0.805843,0.715255,1.60788
-324.954,0.995574,0.0186273,5,43,0,326.542,0.619974,0.918823,2.02899
-326.173,0.994645,0.0253885,4,23,0,327.12,0.869241,0.892368,2.0967
-326.366,0.979574,0.0392143,1,1,0,326.638,0.874793,0.889204,2.09729
-326.366,0.444537,0.0625571,1,1,0,328.634,0.874793,0.889204,2.09729
-325.765,0.997498,0.0194916,4,31,0,327.444,0.721511,0.749799,2.10188
-325.594,0.997234,0.0352859,3,7,0,326.347,0.770698,0.962249,1.88435
-323.606,0.978122,0.0653238,3,13,0,326.664,0.714343,0.650626,1.36301
-323.606,0.000175122,0.115318,1,3,0,326.691,0.714343,0.650626,1.36301
-324.157,0.997215,0.00941525,4,15,0,324.378,0.715535,0.676302,1.33689
-324.007,0.996262,0.0180195,4,15,0,324.941,0.601684,0.714373,1.506
-323.151,0.999062,0.0344016,3,7,0,324.175,0.661744,0.684508,1.37176
-323.526,0.773047,0.0660651,2,7,0,324.174,0.72362,0.72757,1.48659
-325.401,0.959149,0.0629588,3,11,0,326.036,0.785738,0.689012,1.99775
-324.698,0.694052,0.106277,3,7,0,325.257,0.550881,0.780188,1.35239
-323.176,0.995267,0.0798569,4,15,0,327.804,0.634414,0.843273,1.70966
