# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:51:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ijti0twt.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation4\exponential_priors-20240423185155.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-361.28,1,0.0625,1,1,0,422.061,0.696531,0.683352,1.47419
-361.28,0,14.3855,0,1,1,363.611,0.696531,0.683352,1.47419
-361.28,0,2.43117,0,1,1,362.842,0.696531,0.683352,1.47419
-361.28,8.21418e-037,0.239791,1,2,1,362.72,0.696531,0.683352,1.47419
-361.301,0.999829,0.0186273,4,31,0,362.012,0.660099,0.681577,1.42747
-361.675,0.991355,0.0257126,3,7,0,361.795,0.679704,0.690909,1.42281
-362.108,0.999615,0.0393303,4,23,0,362.595,0.713408,0.41543,1.17822
-361.459,0.974045,0.066784,2,7,0,363.366,0.669781,0.436452,1.07691
-361.459,0.00474181,0.109956,1,3,0,362.855,0.669781,0.436452,1.07691
-361.838,0.998474,0.00873142,5,47,0,363.034,0.691854,0.434164,0.955924
-362.31,0.982447,0.0161963,4,27,0,364.256,0.734493,0.476678,1.04557
-361.007,0.997063,0.029031,3,15,0,363.178,0.696121,0.50894,1.14241
-360.908,0.939849,0.0549561,3,7,0,361.461,0.681108,0.537061,1.17889
-361.117,0.567631,0.0871824,3,15,0,363.176,0.748463,0.669563,1.89358
-361.107,0.998853,0.0433585,3,15,0,361.393,0.668018,0.685115,1.64527
-360.74,0.952434,0.0830907,3,11,0,363.327,0.756089,0.597046,1.51294
-361.071,0.360809,0.137297,1,3,0,361.333,0.748315,0.520818,1.49105
-361.058,0.997083,0.0370595,3,15,0,361.93,0.684697,0.605125,1.29559
-361.724,0.964606,0.0703305,2,7,0,362.258,0.604744,0.658276,1.42134
-360.553,0.198049,0.120039,2,7,0,362.232,0.728697,0.576442,1.4807
-361.061,0.988544,0.020687,4,23,0,362.071,0.648392,0.580723,1.39507
-361.165,0.999515,0.0380387,4,15,0,361.832,0.678515,0.472115,1.05462
-361.644,0.880771,0.0715633,3,11,0,364.802,0.759279,0.773804,1.86349
-361.642,1,0.0943852,3,7,0,361.771,0.805068,0.74093,2.0014
-361.642,1.53539e-012,0.174782,1,1,0,361.914,0.805068,0.74093,2.0014
-361.568,0.997211,0.0184006,3,15,0,362.396,0.752692,0.801439,2.04804
-362.051,0.995282,0.0339444,2,7,0,362.181,0.710672,0.851507,2.06238
-362.933,0.929506,0.0616519,2,3,0,363.227,0.663702,0.879893,2.06359
-362.683,0.796289,0.092312,3,11,0,365.42,0.721714,0.403757,1.2089
-362.683,0.041358,0.0950359,2,3,0,365.408,0.721714,0.403757,1.2089
-362.142,0.993673,0.0123718,5,31,0,365.493,0.787431,0.484165,1.1903
-361.333,0.906746,0.0221261,3,7,0,367.534,0.785195,0.505028,1.33436
-361.906,0.99859,0.0310119,4,31,0,362.885,0.710361,0.433115,0.975026
-361.414,1,0.0552482,2,7,0,361.956,0.683023,0.438454,1.00043
-360.697,0.799443,0.0978729,3,7,0,363.323,0.733698,0.540899,1.33298
-363.859,0.307219,0.10139,3,7,0,364.163,0.815411,0.444846,1.07341
-363.953,0.997661,0.0290657,2,3,0,364.096,0.818305,0.445865,1.07663
-363.705,0.994963,0.0507345,2,7,0,365.66,0.586848,0.397519,0.947029
-362.908,1,0.0871823,2,3,0,363.337,0.651177,0.418649,0.828007
-363.762,0.0976074,0.150483,1,3,1,366.395,0.759604,0.386513,0.88001
-363.405,0.992282,0.0262709,4,17,0,366.379,0.629175,0.333884,0.761207
-360.782,0.964957,0.0444972,4,27,0,364.186,0.717125,0.592607,1.36407
-361.017,0.949372,0.0698504,2,7,0,361.213,0.742459,0.585132,1.3731
-361.017,0.192636,0.104794,2,7,0,363.352,0.742459,0.585132,1.3731
-361.741,0.977243,0.0243502,4,31,0,367.123,0.608032,0.683437,1.43542
-361.743,0.998514,0.0391558,3,15,0,362.581,0.605732,0.672913,1.36771
-361.329,0.996649,0.0658399,3,15,0,363.612,0.657502,0.459896,1.00376
-361.373,0.712819,0.109403,2,7,0,364.045,0.640298,0.67839,1.40624
