# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:55:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\l0vopn2w.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation5\exponential_priors-20240423185514.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-308.182,1,0.0625,1,1,0,368.719,0.668162,0.7082,1.47206
-308.182,0,14.3855,0,1,1,309.504,0.668162,0.7082,1.47206
-308.182,0,2.43117,0,1,1,310.404,0.668162,0.7082,1.47206
-308.182,1.21825e-036,0.239791,1,1,0,314.362,0.668162,0.7082,1.47206
-307.895,0.98843,0.0186273,4,15,0,309.522,0.599612,0.708782,1.60136
-307.588,0.998615,0.0248535,3,15,0,309.06,0.570633,0.72076,1.51418
-307.794,0.978617,0.0388351,2,7,0,308.97,0.547042,0.745743,1.55527
-308.317,1,0.061758,2,3,0,308.579,0.660398,0.732482,1.44359
-313.659,0.180071,0.110239,2,3,0,314.665,0.797122,0.583509,1.64504
-312.978,0.999974,0.0152287,3,7,0,314.159,0.763577,0.585631,1.68908
-312.484,0.999595,0.0284047,4,15,0,313.573,0.40206,0.932529,1.54656
-312.691,1,0.0537134,2,3,0,312.982,0.397498,0.937989,1.50622
-312.691,0.114334,0.102435,2,3,0,313.586,0.397498,0.937989,1.50622
-306.214,0.999858,0.0121793,5,31,0,313.451,0.661707,0.961967,1.90227
-307.132,0.919886,0.0235648,4,23,0,311.432,0.685716,1.22723,2.41578
-306.116,0.988408,0.0354938,2,3,0,307.404,0.645638,1.12736,2.49696
-306.745,0.799717,0.0659008,3,15,0,307.664,0.555274,0.937813,1.96221
-307.914,0.999845,0.0683371,3,11,0,308.449,0.693061,1.21606,3.04443
-306.962,0.333337,0.130159,2,3,0,307.911,0.650354,1.25485,2.80482
-306.174,0.975248,0.0331402,3,15,0,308.96,0.653104,0.997751,1.93847
-307,0.836075,0.0585672,3,15,0,308.637,0.668139,1.2605,2.85356
-306.152,0.735304,0.0680199,3,7,0,309.358,0.679596,1.08907,2.23334
-306.888,0.923142,0.0586935,2,3,0,307.02,0.681411,1.11969,2.17266
-306.856,0.992927,0.0877043,2,3,0,308.085,0.727206,0.962269,2.28509
-307.352,0.317258,0.159233,1,3,0,308.346,0.744634,1.03891,2.55168
-307.214,0.96529,0.0415319,4,15,0,308.141,0.599057,1.22384,2.18616
-306.15,1,0.0695077,1,1,0,306.832,0.596293,1.15824,2.25811
-306.15,0.0281204,0.127152,1,3,0,307.168,0.596293,1.15824,2.25811
-308.237,0.993489,0.0153724,5,63,0,308.756,0.698957,1.26389,3.16977
-307.14,0.992853,0.0276962,3,7,0,308.815,0.692612,1.2995,2.85284
-307.59,0.942294,0.049329,4,15,0,308.324,0.735707,1.16311,2.87453
-306.295,0.986453,0.0758589,3,7,0,308.238,0.557622,1.02184,1.869
-306.295,0.000328887,0.130465,1,3,1,307.985,0.557622,1.02184,1.869
-306.58,0.999563,0.0159534,5,39,0,307.122,0.544655,1.06526,1.97112
-309.33,0.875993,0.028512,2,3,0,309.594,0.554661,1.19002,1.89939
-307.631,0.99026,0.036478,3,15,0,310.752,0.587194,1.10279,2.50008
-306.215,0.954996,0.0626258,3,15,0,310.589,0.591163,0.851033,1.62935
-306.302,0.623935,0.0973021,2,3,0,306.538,0.588874,0.881661,1.64082
-306.785,0.947982,0.0641497,3,9,0,308.069,0.671475,1.26245,2.55559
-306.551,0.130036,0.0972036,3,11,0,309.162,0.633257,0.840522,1.635
-306.59,0.995437,0.0184809,3,7,0,307.173,0.654074,0.813559,1.67058
-307.323,0.959534,0.0316342,4,15,0,309.123,0.575848,0.725171,1.47294
-306.682,0.952716,0.0491146,3,15,0,311.246,0.721986,1.086,2.43284
-306.123,0.768455,0.0744873,4,15,0,308.142,0.637226,0.944454,2.16728
-306.203,0.982612,0.0713979,2,3,0,306.478,0.627362,1.05337,1.973
-308.316,0.301045,0.11544,1,3,0,308.956,0.501714,1.11487,1.89685
-311.003,0.972605,0.0355664,3,7,0,311.39,0.443306,1.11525,1.82274
-306.084,0.964277,0.0560159,2,7,0,311.696,0.580278,0.85183,1.70503
-305.569,0.98943,0.0859332,3,15,0,306.244,0.640759,0.982551,2.10337
-305.569,0.00785316,0.139105,1,3,0,306.628,0.640759,0.982551,2.10337
-307.44,0.980988,0.0221247,4,31,0,307.929,0.535291,0.941868,1.5956
-308.187,0.994589,0.0351933,3,7,0,308.876,0.517888,0.939336,1.53938
-308.901,0.99507,0.05742,3,7,0,309.117,0.707757,0.72879,1.53044
-308.259,0.814415,0.0931804,3,7,0,309.427,0.763742,1.09332,2.37211
-308.324,0.302946,0.099234,2,7,0,309.927,0.768957,1.13808,2.52013
-308.051,0.991961,0.0328633,3,15,0,309.868,0.663086,0.927356,2.42703
-307.839,1,0.0526325,1,1,0,308.343,0.66312,0.923539,2.3941
-306.446,1,0.0853225,2,3,0,307.735,0.674589,1.03408,2.03595
-306.446,1.11824e-013,0.137481,1,1,0,308.631,0.674589,1.03408,2.03595
-306.569,0.998664,0.0237651,4,15,0,307.302,0.654009,0.866904,2.06031
-306.714,0.927258,0.0382422,3,15,0,309.884,0.689136,1.1637,2.34147
-310.232,0.735419,0.0522883,2,7,0,311.259,0.67608,1.2446,2.12868
-306.571,0.998584,0.0468146,2,7,0,311.567,0.710676,1.11747,2.56549
-305.855,0.992482,0.0743676,3,7,0,307.012,0.627389,1.13736,2.33205
-305.855,0.00145925,0.115956,1,3,0,307.779,0.627389,1.13736,2.33205
-306.068,0.991302,0.0213617,3,11,0,307.453,0.608586,1.16201,2.33532
-305.609,0.995755,0.0332812,4,15,0,306.515,0.653406,1.0208,2.17059
-306.676,0.95835,0.0520798,3,7,0,306.774,0.709526,0.917239,2.18966
-306.853,0.916311,0.0749192,2,7,0,310.109,0.6982,1.22137,2.78304
-306.853,0.207355,0.0982538,2,3,0,308.954,0.6982,1.22137,2.78304
-306.953,0.99878,0.0291593,2,3,0,306.963,0.706854,1.21547,2.79483
-305.972,0.995567,0.0454846,3,15,0,309.087,0.574444,0.931019,1.759
-305.534,0.998688,0.0701403,3,7,0,305.994,0.621635,1.02387,2.07149
-305.534,0.0336492,0.108354,2,7,0,306.477,0.621635,1.02387,2.07149
-307.69,0.943645,0.0230838,4,15,0,309.102,0.541396,1.14146,2.30233
-306.697,0.987914,0.0319082,2,3,0,308.192,0.55423,1.12235,2.16739
-307.329,0.986203,0.0480828,2,7,0,308.835,0.748118,1.08515,2.50402
-309.285,0.873151,0.0719011,3,7,0,310.283,0.619435,1.38042,3.18122
-307.303,0.630255,0.0853382,3,7,0,311.325,0.732022,1.16279,2.49861
-306.687,0.853175,0.0622408,2,3,0,308.012,0.657496,1.14105,2.66441
-307.374,0.895878,0.0709125,2,3,0,307.744,0.656027,1.32622,2.56235
-309.419,0.316604,0.0877932,3,7,0,311.117,0.678255,1.07735,2.96439
-309.263,1,0.0346756,1,1,0,309.578,0.675274,1.08155,2.94867
-308.33,0.993817,0.0527058,3,15,0,310.438,0.499164,0.809122,1.57779
-306.427,0.497185,0.0788312,3,7,0,309.642,0.603855,0.903841,1.66838
-306.048,0.99328,0.044795,3,15,0,308.119,0.658141,0.875777,1.96934
-306.284,0.987451,0.0667171,2,3,0,306.472,0.688458,0.887544,1.98474
-306.42,0.615043,0.097892,2,5,0,307.759,0.611468,1.21514,2.47983
-307.265,0.789943,0.0701573,3,11,0,308.152,0.61812,0.724494,1.59407
-306.38,0.901556,0.0703761,2,7,0,308.764,0.679201,0.849276,1.86436
-306.198,1,0.087236,3,7,0,306.38,0.552605,0.990324,1.88399
-305.526,0.495708,0.129976,1,3,0,306.397,0.625525,1.01653,2.11302
-306.314,0.420697,0.0747447,2,7,0,309.13,0.674795,0.88732,2.07518
-305.992,0.998277,0.0375273,4,31,0,307.111,0.642937,1.14203,2.26702
-307.752,0.627937,0.0556343,2,3,0,307.988,0.616786,1.02764,2.49862
-308.232,0.944382,0.0413273,3,7,0,309.861,0.550264,0.934219,2.09372
-305.981,1,0.0552396,2,3,0,307.815,0.587815,0.973326,2.05205
-309.114,0.616951,0.0815889,3,11,0,310.235,0.669327,0.974846,1.71271
-306.037,1,0.0595104,3,11,0,308.828,0.685681,1.00776,2.29593
-306.715,0.430409,0.0875716,2,7,0,308.574,0.666391,0.965957,1.86004
-306.715,5.08043e-020,1.45918,1,3,1,307.114,0.666391,0.965957,1.86004
-306.715,0,3.40727,0,1,1,310.707,0.666391,0.965957,1.86004
-306.562,1,0.335955,2,7,0,306.744,0.628556,0.892425,2.08829
-306.248,0.961353,0.349898,3,11,0,307.807,0.554833,0.900293,1.76689
-306.191,0.697412,0.423783,2,5,0,307.873,0.583501,0.902198,1.92079
-307.187,0.994838,0.267581,3,15,0,308.209,0.694974,0.852758,1.7596
-306.356,0.966399,0.436201,3,7,0,307.636,0.68177,0.888052,2.07824
-306.356,1.01901e-007,0.690781,1,3,0,310.141,0.68177,0.888052,2.07824
-310.362,0.986753,0.0542834,4,15,0,311.659,0.687096,0.803675,2.33103
-306.647,0.999224,0.0952887,5,47,0,311.862,0.672258,1.07231,2.07342
-306.361,0.999048,0.177671,2,3,0,306.819,0.677861,1.05482,2.10249
-306.543,0.999119,0.334843,2,7,0,307.232,0.709287,0.999629,2.37922
-306.057,0.834419,0.634023,3,7,0,306.856,0.6443,1.17847,2.45721
-306.057,0.00742652,0.716129,2,3,0,308.039,0.6443,1.17847,2.45721
-307.005,0.999197,0.0615056,6,63,0,307.822,0.540656,1.11148,2.1332
-307.189,0.999878,0.118014,4,15,0,307.319,0.532339,1.10643,2.09975
-306.106,0.985781,0.225695,3,11,0,308.451,0.667362,0.964101,1.94452
-305.636,0.947011,0.410526,2,7,0,308.019,0.625112,0.996013,2.13876
-307.467,0.442986,0.658954,2,7,0,307.837,0.61374,1.10949,1.93034
-308.339,0.963343,0.230968,2,7,0,309.743,0.625875,1.07927,1.83712
-307.292,0.852163,0.388914,3,7,0,309.833,0.577543,1.15707,2.00627
-306.035,1,0.467725,2,7,0,307.333,0.599951,1.11523,2.11421
-305.775,0.340564,0.865461,1,3,0,306.927,0.671398,0.992882,2.1717
-306.094,0.996637,0.233206,3,7,0,306.213,0.69067,0.950206,2.11734
-306.693,0.930662,0.425765,4,15,0,307.405,0.652432,0.853855,1.67724
-306.753,0.153479,0.637395,2,7,0,308.889,0.598823,0.862468,1.57931
-306.464,1,0.104859,5,35,0,307.224,0.663909,1.16142,2.27431
-306.373,0.999745,0.191767,4,31,0,306.886,0.654773,0.925137,1.80617
-307.09,0.900033,0.346946,3,15,0,308.387,0.54612,0.811887,1.66067
-307.538,0.945639,0.47192,3,15,0,310.066,0.610747,1.34026,2.50784
-307.538,0.000132006,0.723608,2,7,0,311.284,0.610747,1.34026,2.50784
-306.413,1,0.084491,4,15,0,307.578,0.61734,1.15424,2.506
-306.503,0.997882,0.151046,5,31,0,307.319,0.643466,0.826076,1.90453
-306.906,0.975426,0.265968,3,7,0,307.344,0.615787,0.833598,1.94089
-306.806,0.878604,0.437244,2,3,0,308.205,0.635696,0.933653,1.72748
-306.878,0.392699,0.55283,3,11,0,309.689,0.638094,1.2057,2.72021
-307.56,0.995166,0.196028,4,15,0,308.111,0.584302,1.27902,2.29027
-306.103,0.958063,0.335944,3,15,0,308.811,0.594797,0.831798,1.67901
-305.732,0.642276,0.519014,2,7,0,307.143,0.619193,0.896893,1.90598
-305.924,0.977912,0.356117,3,11,0,307.227,0.568788,0.991561,1.9295
-305.991,0.956038,0.574355,3,7,0,307.05,0.586975,1.08736,2.19222
-306.109,0.790249,0.870524,2,3,0,307.34,0.651252,1.18248,2.49829
-306.109,8.96157e-008,0.86739,1,3,1,311.299,0.651252,1.18248,2.49829
-306.496,0.988462,0.122287,4,15,0,307.316,0.64499,1.23252,2.4272
-305.739,0.999955,0.201073,4,23,0,307.123,0.630513,0.902658,1.83443
-307.575,0.775092,0.337577,2,7,0,308.421,0.61385,0.925194,2.24821
-307.233,0.998222,0.326308,3,11,0,309.605,0.723285,1.2235,2.82385
-307.454,0.833063,0.539676,3,7,0,309.334,0.661385,1.3109,2.50898
-306.428,1,0.597358,2,7,0,308.057,0.614921,1.16444,2.50685
-306.428,6.66596e-013,0.981126,1,1,0,307.81,0.614921,1.16444,2.50685
-305.797,0.9971,0.151582,3,15,0,306.758,0.625664,1.10549,2.32252
-306.072,0.990487,0.247843,3,7,0,306.109,0.62481,1.1132,2.41662
-305.631,0.981986,0.396436,4,15,0,306.459,0.625094,0.975186,1.93255
-306.704,0.136678,0.617936,3,7,0,308.113,0.555884,0.826094,1.5361
-307.766,0.988444,0.137457,5,31,0,309.026,0.698805,0.744925,1.67335
-307.904,0.977215,0.217622,3,7,0,308.359,0.67183,0.727116,1.77292
-307.394,0.959108,0.333906,4,15,0,309.338,0.521509,1.10047,2.01947
-307.519,0.689971,0.489185,2,3,0,308.403,0.523212,1.11062,2.09605
-307.874,0.99544,0.390332,3,7,0,308.666,0.49902,1.04622,1.84455
-307.874,0.0549129,0.616449,3,7,0,312.039,0.49902,1.04622,1.84455
-307.863,0.994353,0.120769,5,31,0,308.916,0.513789,1.09896,2.08206
-307.241,0.986406,0.190522,4,31,0,309.279,0.538654,1.00276,1.71157
-307.382,0.883474,0.293774,3,11,0,308.869,0.695528,0.955293,1.87098
-307.943,0.932462,0.360284,3,15,0,308.569,0.685391,0.931958,2.463
-306.724,0.967786,0.490022,3,7,0,307.794,0.669283,1.00311,1.92808
-308.064,0.489198,0.716494,2,7,0,309.165,0.695392,1.33898,2.62031
-308.412,0.489015,0.374941,2,7,0,313.403,0.652737,1.14644,2.91278
-305.915,0.998483,0.197526,4,23,0,308.577,0.606771,0.854267,1.77256
-305.837,0.999029,0.3077,4,23,0,305.976,0.661672,1.10262,2.37223
-305.809,0.994339,0.47752,3,11,0,306.066,0.586676,0.916208,1.7814
-305.809,0.0227776,0.730302,2,7,0,307.145,0.586676,0.916208,1.7814
-305.899,0.990915,0.147281,4,19,0,306.283,0.630704,0.938781,2.09691
-305.806,0.98707,0.224,4,15,0,307.877,0.618231,0.87103,1.82697
-305.799,0.998327,0.336484,3,7,0,305.957,0.632314,0.883627,1.81488
-305.643,0.882266,0.515022,3,7,0,306.286,0.630327,1.0766,2.24289
-306.044,0.949073,0.619511,1,3,0,306.349,0.609346,1.15794,2.2729
-305.649,0.75847,0.851627,2,3,0,306.27,0.638142,1.04163,2.24057
-305.649,2.18626e-007,0.79442,2,3,0,309.997,0.638142,1.04163,2.24057
