# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 17:58:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\gdbdja6u.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation6\exponential_priors-20240423185819.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-324.513,1,0.0625,1,1,0,375.206,0.717253,0.663261,1.42599
-324.513,0,14.3855,0,1,1,326.705,0.717253,0.663261,1.42599
-324.513,0,2.43117,0,1,1,327.612,0.717253,0.663261,1.42599
-324.513,9.6518e-025,0.239791,1,1,0,324.843,0.717253,0.663261,1.42599
-324.508,0.990831,0.0186273,4,31,0,327.124,0.78772,0.860967,2.18547
-324.59,0.99242,0.025032,4,23,0,325.626,0.716658,0.716737,1.66462
-326.012,0.991841,0.0383864,5,31,0,326.585,0.732366,1.00881,2.41741
-323.975,0.850782,0.0635973,3,15,0,327.597,0.782806,0.726219,1.65936
-326.499,0.595233,0.0710468,2,7,0,326.784,0.782242,0.702549,2.02444
-325.18,0.999762,0.0363351,5,31,0,326.815,0.688675,0.740256,1.39898
-325.522,0.991344,0.0678086,3,7,0,326.5,0.692265,0.67007,1.27395
-325.522,0.0201449,0.124805,2,3,0,327.35,0.692265,0.67007,1.27395
-324.637,0.998964,0.0108486,6,63,0,326.247,0.79074,0.656524,1.67154
-324.914,0.992658,0.0208638,4,31,0,327.68,0.872227,0.742566,2.07409
-324.449,0.940568,0.0393549,3,7,0,326.1,0.807105,0.832019,2.16262
-324.042,0.99499,0.0629962,3,15,0,325.058,0.784879,0.822195,2.00776
-324.042,0.00376197,0.118884,1,1,0,324.542,0.784879,0.822195,2.00776
-324.027,0.999624,0.0107953,4,31,0,324.401,0.774628,0.860147,1.8735
-325.128,0.969988,0.020844,5,35,0,326.295,0.850955,0.623191,1.63416
-324.458,0.999207,0.0365111,3,7,0,325.211,0.811289,0.659701,1.64161
-325.791,0.738896,0.0692468,3,11,0,326.301,0.687315,0.832203,1.95299
-324.245,1,0.0602553,3,11,0,325.788,0.770864,0.685317,1.65204
-324.245,0.0514651,0.113081,2,3,0,325.523,0.770864,0.685317,1.65204
-324.606,0.998089,0.0133375,5,63,0,328.275,0.803018,0.63567,1.53777
-325.146,0.994487,0.0249764,5,31,0,325.673,0.693967,0.681228,1.32148
-325.717,0.755741,0.0458228,3,15,0,328.296,0.860821,0.852048,1.85498
-325.694,0.988441,0.0423222,4,19,0,327.032,0.677368,0.664513,1.52515
-324.44,0.930474,0.0752641,3,7,0,325.437,0.759214,0.669354,1.45244
-325.43,0.2315,0.112807,2,5,0,327.113,0.71712,0.707762,1.74774
-323.869,0.9981,0.0243698,3,15,0,326.515,0.775271,0.803344,1.78812
-324.918,0.969912,0.0440797,4,15,0,325.454,0.845303,0.909758,2.44204
-328.179,0.510828,0.0731344,2,3,0,329.001,0.810293,0.843903,2.64763
-326.127,1,0.0349396,2,3,0,328.245,0.856766,0.869649,2.59705
-325.06,1,0.0624198,2,3,0,326.043,0.876715,0.880219,2.42686
-325.06,0.00654537,0.110469,1,3,0,326.913,0.876715,0.880219,2.42686
-325.21,0.993128,0.0142145,4,15,0,325.987,0.891058,0.910936,2.24011
-327.463,0.978014,0.0247696,3,7,0,327.712,0.86752,0.853098,2.75566
-327.233,1,0.041143,1,1,0,327.592,0.866252,0.863553,2.7497
-324.238,1,0.0717363,2,3,0,326.942,0.823821,0.894816,2.20348
-324.567,0.770575,0.124006,2,3,0,325.297,0.714376,0.823364,1.88702
