# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:02:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\9zwghyzp.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation7\exponential_priors-20240423190220.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-323.5,1,0.0625,1,1,0,378.173,0.694118,0.659931,1.51545
-323.5,0,14.3855,0,1,1,324.05,0.694118,0.659931,1.51545
-323.5,0,2.43117,0,1,1,324.051,0.694118,0.659931,1.51545
-323.5,0,0.239791,0,1,1,323.845,0.694118,0.659931,1.51545
-323.367,0.990548,0.0186273,4,15,0,324.462,0.751898,0.702712,1.49926
-323.645,0.983931,0.0250109,4,29,0,324.463,0.668668,0.80181,1.56543
-324.393,0.96227,0.0373692,4,15,0,324.69,0.786917,0.812233,1.74497
-323.978,1,0.0564427,2,3,0,324.502,0.768162,0.800278,1.70882
-323.978,0.000421541,0.100664,1,3,0,328.232,0.768162,0.800278,1.70882
-324.25,0.999976,0.00788186,5,63,0,325.286,0.74809,0.83989,1.96054
-323.923,0.99723,0.0146879,4,31,0,326.155,0.788296,0.62877,1.56297
-324.319,0.916659,0.0275889,3,7,0,327.242,0.739069,0.571044,1.44272
-325.075,0.938583,0.0405499,3,11,0,327.705,0.711764,0.776186,1.9241
-324.077,0.929879,0.0641597,2,5,0,325.855,0.799463,0.763736,1.77495
-326.476,0.0845518,0.0988957,3,11,0,327.057,0.681367,0.456337,1.14856
-324.432,0.996997,0.0110944,4,15,0,327.591,0.728185,0.480843,1.10011
-325.532,0.986513,0.0213215,3,7,0,325.717,0.732276,0.447847,1.11387
-326.292,0.999325,0.0394437,4,15,0,327.07,0.555153,0.513862,0.848298
-325.126,0.998472,0.0753289,3,7,0,327.025,0.625213,0.461113,0.883254
-326.29,0.0983291,0.14227,2,3,0,330.391,0.508405,0.633397,1.11791
-327.422,0.997018,0.0181871,3,7,0,327.725,0.480389,0.644305,1.10292
-326.275,0.992094,0.0343273,4,23,0,329.731,0.540018,0.775329,1.27188
-325.744,0.985599,0.0632458,3,7,0,327.61,0.824703,0.478803,1.1948
-325.744,0.00586746,0.113247,1,1,0,327.346,0.824703,0.478803,1.1948
-323.05,0.999924,0.0119332,5,63,0,327.303,0.665595,0.666718,1.38158
-323.62,0.98176,0.0223767,3,15,0,325.551,0.767366,0.638188,1.38231
-325.228,0.926271,0.0394456,4,23,0,327.205,0.800264,0.686344,1.8896
