# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:06:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\j79w6wfz.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation8\exponential_priors-20240423190610.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-374.15,1,0.0625,1,1,0,443.684,0.720981,0.681848,1.58048
-374.15,0,14.3855,0,1,1,376.43,0.720981,0.681848,1.58048
-374.15,0,2.43117,0,1,1,375.598,0.720981,0.681848,1.58048
-374.15,4.9225e-071,0.239791,1,3,1,374.788,0.720981,0.681848,1.58048
-373.658,0.996813,0.0186273,3,15,0,375.093,0.642716,0.668541,1.65326
-374.493,0.999646,0.0254825,4,31,0,376.469,0.622469,0.644795,1.49724
-374.618,0.995461,0.0399706,3,7,0,375.173,0.630526,0.685969,1.5196
-374.82,0.937534,0.0670173,3,7,0,377.157,0.650352,0.555079,1.28732
-376.517,0.280386,0.0983822,1,1,0,377.05,0.671897,0.597846,1.2445
-375.083,0.98989,0.0186459,4,23,0,378.49,0.711957,0.439477,1.52492
-374.535,0.999995,0.0336962,3,7,0,375.471,0.741097,0.427902,1.49033
-380.838,0.862301,0.0637881,2,7,0,381.69,1.02124,0.284587,1.64263
-376.906,1,0.078805,3,7,0,381.714,0.706718,0.355319,1.00492
-377.606,0.497086,0.150722,2,3,0,377.732,0.732627,0.344966,0.935498
-374.056,0.999,0.0599776,4,15,0,378.616,0.888238,0.949005,4.03484
-374.056,0.351122,0.114756,2,3,0,374.625,0.888238,0.949005,4.03484
-372.607,0.993377,0.0297431,5,31,0,374.837,0.793196,0.943654,2.71636
-371.856,0.658873,0.0560505,3,11,0,376.394,0.787347,0.681384,2.06203
-372.13,0.963666,0.0380459,3,7,0,372.636,0.80164,0.671022,2.01016
-372.018,0.785794,0.0650728,2,3,0,373.418,0.764617,0.657354,1.89655
-372.61,0.993862,0.0650102,3,15,0,373.321,0.84083,0.924188,3.17816
-373.429,0.497138,0.120277,1,3,0,373.832,0.880034,0.874675,3.66411
-374.169,0.976801,0.0513834,4,31,0,378.341,0.705611,0.48048,1.29759
-373.63,0.289735,0.0898419,3,15,0,377.226,0.77533,1.03944,2.74907
-372.723,0.999516,0.021495,4,31,0,374.474,0.704012,0.833787,2.50306
-373.029,0.97825,0.0400577,4,15,0,374.922,0.793726,0.501666,1.87012
-373.822,0.734956,0.069569,2,3,0,374.806,0.824819,0.455887,1.87752
-372.089,0.992718,0.06045,3,7,0,375.549,0.767101,0.600994,1.83204
-373.793,0.325835,0.107953,3,7,0,375.191,0.672924,0.857997,1.98244
-373.097,0.999211,0.0302728,3,7,0,373.959,0.664189,0.79544,2.04657
-371.697,0.772077,0.0548245,3,7,0,374.892,0.773982,0.73991,2.23247
-371.764,0.992391,0.0530545,3,15,0,372.121,0.765459,0.799683,2.39111
-372.627,0.730754,0.0929885,4,15,0,373.01,0.702219,0.668107,2.06003
-372.627,0.498038,0.0802705,1,1,0,373.847,0.702219,0.668107,2.06003
-372.122,0.995005,0.0374805,4,31,0,373.693,0.809075,0.804644,2.92253
-372.412,0.9406,0.0654285,2,3,0,372.513,0.852523,0.846593,2.96024
-374.008,0.226127,0.0982271,3,7,0,375.576,0.929669,0.658829,3.04035
-372.209,0.999576,0.0230534,4,23,0,374.296,0.808058,0.659683,2.51939
-373.108,0.935719,0.0403311,3,7,0,373.784,0.818088,0.60922,2.61184
-372.742,0.830854,0.0594409,2,3,0,374.698,0.880639,0.679113,2.46269
-377.405,0.416117,0.0667903,2,7,0,379.942,0.710859,0.727562,3.12215
-376.322,0.966597,0.0264386,3,7,0,380.534,0.998303,0.742879,3.22775
-376.004,1,0.0418321,3,7,0,376.604,0.772677,0.712567,3.38204
-372.47,1,0.0714005,3,15,0,375.812,0.816828,0.769806,2.2409
-372.295,0.799301,0.120916,1,3,0,372.732,0.786402,0.656595,2.45803
-372.295,0.00326286,0.124548,1,1,0,372.836,0.786402,0.656595,2.45803
-372.412,0.993503,0.0186436,4,15,0,373.225,0.848689,0.641227,2.16349
-375.032,0.950546,0.0310152,4,15,0,377.356,0.914567,0.576239,3.1838
-375.006,1,0.0462311,1,1,0,375.071,0.916737,0.5786,3.18517
-374.728,0.523064,0.07706,2,3,0,376.869,0.898106,0.625375,3.356
-377.621,0.950481,0.0414447,3,7,0,378.102,1.00658,0.541232,3.53426
-378.47,0.852372,0.0611265,3,7,0,380.853,0.884924,0.460314,3.26378
-379.106,0.992426,0.0713827,2,3,0,380.548,1.037,0.490199,3.51927
-380.525,0.388302,0.114972,2,3,0,380.904,0.908184,0.418001,3.55753
-378.712,0.873251,0.0459596,3,7,0,382.542,0.978339,0.407105,3.0654
-377.302,0.938574,0.0561977,3,15,0,381.737,0.862855,0.351478,1.97621
-375.551,1,0.079475,3,7,0,378.333,0.942275,0.447493,2.22934
-375.551,0.000508582,0.12851,2,3,0,376.287,0.942275,0.447493,2.22934
-376.143,0.924245,0.0220158,3,11,0,378.809,0.742674,0.482857,2.10983
-373.329,0.996657,0.0301232,3,7,0,376.703,0.882355,0.535153,2.19172
-373.915,0.994739,0.0481907,3,7,0,374.594,0.902491,0.517714,2.30906
-372.506,0.969727,0.0763322,2,7,0,374.395,0.79337,0.545349,1.96868
-372.506,0.0127903,0.11384,2,7,0,373.5,0.79337,0.545349,1.96868
-373.953,0.992548,0.0210897,4,23,0,375.746,0.685004,0.767052,1.73543
-376.696,0.985528,0.0331261,4,15,0,377.95,0.949275,0.706623,4.44906
-377.404,0.932407,0.0509826,2,3,0,377.673,0.992751,0.682785,4.42225
-375.971,0.875011,0.0696928,3,11,0,379.313,0.603151,0.941429,2.08464
-374.428,0.967555,0.0840219,3,11,0,379.265,0.861908,0.436747,1.58965
-374.428,0.0175732,0.122922,1,3,0,376.36,0.861908,0.436747,1.58965
-373.972,0.995961,0.0242888,4,31,0,375.739,0.804131,0.48718,2.09028
-372.918,0.996287,0.0377969,2,3,0,374.029,0.833554,0.517802,2.01037
-374.098,0.754203,0.0585722,2,3,0,374.569,0.897214,0.507403,1.90939
-376.614,0.707228,0.0547366,3,7,0,378.538,0.584489,0.766554,1.53897
