# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:08:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\jtt9csz1.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=300\realisation9\exponential_priors-20240423190856.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-333.906,1,0.0625,2,3,0,392.672,0.737382,0.65771,1.4973
-333.906,0,14.3855,0,1,1,334.617,0.737382,0.65771,1.4973
-333.906,0,2.43117,0,1,1,335.457,0.737382,0.65771,1.4973
-333.906,1.17498e-032,0.239791,1,2,1,334.028,0.737382,0.65771,1.4973
-332.793,0.999088,0.0186273,5,31,0,334.906,0.610924,0.830127,1.60652
-332.957,0.995044,0.0256559,3,7,0,332.999,0.608314,0.842186,1.57958
-332.17,0.97899,0.0396869,4,15,0,333.57,0.622934,0.694841,1.37505
-332.367,0.986524,0.0632087,3,7,0,332.744,0.594695,0.762446,1.47692
-335.552,0.0729127,0.108174,2,3,0,337.132,0.515034,0.883451,1.71211
-332.983,0.997736,0.0106524,5,31,0,336.611,0.564785,0.814319,1.55347
-332.666,0.991021,0.0197191,4,15,0,333.654,0.62739,0.806543,1.578
-332.071,0.99402,0.0363077,3,15,0,335.195,0.593552,0.682387,1.30632
-332.351,0.939765,0.0680296,3,7,0,332.487,0.617199,0.67353,1.41635
-332.271,0.917326,0.107792,2,3,0,332.352,0.623637,0.69492,1.44068
-332.271,2.59243e-021,0.159318,1,1,0,335.825,0.623637,0.69492,1.44068
-332.567,0.998766,0.0137123,6,127,0,333.904,0.594387,0.536324,1.01859
-332.584,0.996957,0.0264578,3,15,0,333.362,0.540793,0.530314,0.979336
-332.276,0.986216,0.0504512,3,15,0,335.411,0.604531,0.616874,1.157
-337.187,0.542721,0.0924219,2,7,0,337.98,0.751228,0.540063,1.6075
-338.313,0.830054,0.0442802,3,15,0,341.403,0.809422,0.605311,1.27245
-335.426,1,0.0506377,2,3,0,337.78,0.763721,0.602656,1.30603
-336.789,0.191521,0.0956009,2,7,0,339.695,0.822075,0.651933,1.81191
-339.127,0.992758,0.0167053,3,15,0,339.945,0.82172,0.581682,1.91906
-338.053,0.996043,0.0308891,4,31,0,341.149,0.339276,0.636172,0.937026
-334.799,0.998186,0.0570935,3,7,0,338.921,0.424485,0.686411,1.06876
-335.823,0.442521,0.105114,3,7,0,337.458,0.727553,0.637198,1.78391
-334.572,0.990401,0.0396947,3,15,0,337.53,0.669392,0.909045,1.68622
-332.115,0.996145,0.0710198,3,15,0,334.226,0.598781,0.628515,1.19621
-332.115,0.00059509,0.127871,2,3,0,333.607,0.598781,0.628515,1.19621
-334.741,0.967641,0.0145845,3,15,0,335.127,0.575543,0.57749,1.32947
-333.855,0.994683,0.024373,3,7,0,335.581,0.683276,0.629574,1.20735
-333.793,0.945654,0.0434649,3,11,0,337.524,0.624376,0.672869,1.16429
-332.52,0.963818,0.0672787,2,7,0,335.521,0.534712,0.706346,1.23228
-332.098,0.864606,0.10854,2,3,0,333.116,0.605581,0.632491,1.22797
-332.098,1.09593e-024,0.133577,1,1,0,336.352,0.605581,0.632491,1.22797
-333.037,0.995227,0.016869,4,23,0,334.231,0.500719,0.708247,1.18593
-333.45,0.968857,0.029517,1,3,0,333.664,0.498605,0.724333,1.16733
-332.74,1,0.0478148,3,15,0,334.363,0.510476,0.583501,1.06955
-333.12,0.991253,0.0832729,2,5,0,333.579,0.618143,0.528592,0.988356
-333.12,0.070756,0.140615,1,3,0,335.982,0.618143,0.528592,0.988356
-333.025,0.997704,0.0229477,4,15,0,333.693,0.608536,0.494607,1.0011
-334.12,0.94899,0.0394408,4,31,0,335.198,0.539699,0.903881,1.59889
-333.136,0.998077,0.0595499,3,7,0,334.388,0.58003,0.853844,1.62527
-333.136,0.0367121,0.100901,2,3,0,334.08,0.58003,0.853844,1.62527
-334.122,0.996371,0.0159887,6,63,0,335.065,0.523873,0.433896,0.735286
-334.684,0.997814,0.0270188,3,15,0,335.054,0.467923,0.408636,0.68986
-332.744,0.986339,0.0454728,4,15,0,335.491,0.624207,0.551219,1.06245
-332.878,0.674847,0.073898,2,7,0,333.985,0.534951,0.52919,1.0172
-332.519,0.997007,0.0566712,3,15,0,334.4,0.563871,0.759183,1.43348
-333.667,0.541961,0.0936645,2,7,0,333.995,0.555936,0.790081,1.30031
-332.54,0.997412,0.0526008,2,7,0,334.133,0.59197,0.668481,1.39661
-333.261,0.971036,0.0864553,3,7,0,334.214,0.671559,0.572832,1.32004
-333.261,1.9065e-041,0.132755,1,1,0,337.677,0.671559,0.572832,1.32004
-332.456,0.999927,0.0214879,4,23,0,334.119,0.609673,0.768032,1.45044
-333.639,0.89704,0.0353679,3,15,0,335.771,0.65208,0.805714,1.47899
-332.874,1,0.0457347,2,3,0,333.532,0.640566,0.797167,1.52263
-332.661,0.755193,0.0744407,3,11,0,333.737,0.635061,0.676082,1.26907
-334.557,0.944602,0.0693559,2,7,0,336.614,0.671219,0.840923,2.02859
-332.682,0.278817,0.0988373,3,7,0,334.963,0.637567,0.750221,1.6134
-332.751,0.971759,0.0318475,4,27,0,334.573,0.674788,0.636839,1.33049
-332.736,0.993179,0.0482016,2,3,0,332.967,0.675858,0.63454,1.36702
-333.283,0.612252,0.076088,2,7,0,334.923,0.689974,0.69137,1.62376
-332.229,0.716273,0.0519213,3,7,0,335.483,0.55586,0.674757,1.27527
-332.319,0.996925,0.0446139,3,11,0,332.723,0.638021,0.640796,1.27557
-332.916,0.973788,0.0704399,2,3,0,333.009,0.666656,0.619721,1.40449
-332.193,0.434168,0.105258,2,7,0,333.732,0.612201,0.604072,1.20858
-332.324,0.998105,0.0493919,3,15,0,332.859,0.599622,0.756886,1.4492
-332.324,0.242019,0.0775077,1,3,0,335.954,0.599622,0.756886,1.4492
-333.291,0.992623,0.0244642,5,47,0,336.324,0.572276,0.465114,0.910208
-334.27,0.98641,0.0378983,3,15,0,335.41,0.451842,0.452233,0.734921
-334.716,0.993856,0.0576708,2,3,0,334.788,0.423855,0.462206,0.719785
-335.587,0.320547,0.0887197,3,7,0,337.201,0.688375,0.491458,0.934863
-333.8,0.992196,0.0337197,3,15,0,336.456,0.537262,0.463358,0.919101
-334.157,0.961691,0.0515957,2,7,0,337.21,0.459766,0.466484,0.741261
-334.157,0.506689,0.0738316,3,15,0,340.635,0.459766,0.466484,0.741261
-334.267,0.982368,0.0416452,4,15,0,335.029,0.603281,0.41688,0.838663
-336.025,0.777439,0.0619703,3,7,0,336.912,0.565959,0.401499,0.664602
-337.028,1,0.0607413,3,7,0,337.708,0.376368,0.403939,0.567515
-337.028,0.037491,0.093075,4,15,0,341.226,0.376368,0.403939,0.567515
-337.43,0.990204,0.020768,5,31,0,339.514,0.686699,0.344905,0.745144
-336.595,0.997371,0.0312356,3,7,0,337.723,0.644202,0.353604,0.799989
-332.961,0.992454,0.0474562,4,15,0,337.323,0.551318,0.646996,1.07728
-333.018,0.79718,0.071112,2,7,0,334.116,0.610149,0.570599,1.25356
-332.326,0.528824,0.0723974,2,7,0,335.224,0.557608,0.650839,1.14472
-333.602,0.913321,0.0436635,4,15,0,334.086,0.697328,0.780645,1.56703
-332.437,0.987485,0.0557988,2,5,0,334.1,0.598105,0.769304,1.515
-333.706,0.50224,0.0820976,2,7,0,334.819,0.67962,0.779643,1.84329
-332.818,0.940332,0.0473336,4,15,0,334.879,0.624117,0.602336,1.32959
-332.782,0.798892,0.0634428,3,15,0,334.113,0.51327,0.616417,1.02292
-334.603,0.634197,0.0647647,3,11,0,336.486,0.476219,0.626403,1.19516
-333.82,0.99656,0.0483573,3,15,0,336.122,0.443204,0.610634,0.99084
-333.333,0.999977,0.0717694,3,7,0,334.404,0.46657,0.541627,0.902747
-333.232,0.214267,0.106823,3,7,0,333.528,0.481203,0.516089,0.881844
-333.699,0.995809,0.0363816,4,31,0,337.603,0.672725,0.875851,1.92742
-333.467,0.968234,0.0536952,3,7,0,334.255,0.617632,0.904717,1.74254
-332.907,0.997697,0.0750363,2,3,0,333.529,0.64866,0.826125,1.65879
-332.907,0.000166542,0.110406,1,1,0,334.945,0.64866,0.826125,1.65879
-332.528,0.991408,0.0258076,4,31,0,337.911,0.579046,0.547766,1.09661
-333.286,0.949822,0.0375769,3,15,0,334.118,0.600773,0.636129,1.41792
-333.574,0.887179,0.0505512,3,7,0,335.785,0.712142,0.66644,1.59264
-333.574,1.17506e-023,0.484253,1,1,0,337.171,0.712142,0.66644,1.59264
-333.574,1.57972e-201,1.13076,1,2,1,333.787,0.712142,0.66644,1.59264
-333.525,0.976005,0.111492,4,31,0,335.715,0.679348,0.780161,1.81733
-332.262,0.98273,0.108928,3,15,0,335.221,0.597034,0.728243,1.36137
-332.565,0.971732,0.139592,4,23,0,333.286,0.576263,0.639094,1.31388
-332.937,0.999244,0.199629,3,11,0,333.497,0.660033,0.682782,1.31478
-332.368,0.779273,0.337136,3,7,0,332.884,0.52712,0.607524,1.09781
-332.213,1,0.302406,3,7,0,332.393,0.544613,0.62779,1.15842
-332.213,1.08071e-008,0.551994,1,1,0,334.823,0.544613,0.62779,1.15842
-332.621,0.994174,0.0436725,4,31,0,333.225,0.556313,0.611876,1.05029
-336.189,0.998701,0.0801755,5,47,0,336.729,0.369692,0.538607,0.83654
-338.025,0.683098,0.150883,1,3,0,338.977,0.37604,0.508296,0.880884
-338.016,0.922975,0.105509,5,31,0,342.457,0.433011,0.431586,0.5861
-335.47,1,0.157792,1,3,0,337.803,0.42305,0.412124,0.630693
-335.47,0.0047556,0.29997,3,7,0,338.392,0.42305,0.412124,0.630693
-334.517,0.999998,0.0259779,7,127,0,336.108,0.487858,0.406807,0.704091
-333.783,0.999774,0.0498413,6,95,0,335.988,0.459181,0.688829,1.12043
-332.729,0.999987,0.0949026,5,31,0,334.089,0.529956,0.519193,0.926389
-337.272,0.41742,0.179363,4,19,0,340.778,0.577337,0.511329,0.77745
-335.774,0.999648,0.0583099,4,31,0,340.379,0.515412,0.540235,1.16743
-333.242,0.989565,0.109655,3,15,0,338.337,0.596058,0.555028,0.975928
-332.644,0.934313,0.198235,2,7,0,337.508,0.504918,0.633223,1.11202
-334.558,0.732237,0.301933,3,7,0,335.195,0.420735,0.577504,0.867767
-333.845,0.882062,0.25388,3,7,0,335.518,0.491242,0.458963,0.757358
-334.443,0.348893,0.329809,3,7,0,334.837,0.504136,0.450646,0.721001
-336.61,0.992115,0.0929981,4,23,0,337.38,0.415506,0.402584,0.577177
-337.821,1,0.165752,4,15,0,338.49,0.452095,0.303621,0.530133
-337.821,0.23912,0.299136,2,7,0,340.668,0.452095,0.303621,0.530133
-338.407,0.992311,0.0642236,3,15,0,339.076,0.439835,0.293957,0.511283
-340.18,0.965338,0.113267,3,9,0,340.768,0.435773,0.290182,0.409723
-340.18,0.274127,0.183798,1,1,0,342.582,0.435773,0.290182,0.409723
-336.858,0.999969,0.0452683,6,63,0,341.009,0.389083,0.557631,0.752501
-335.933,0.999519,0.0806032,3,7,0,337.384,0.372912,0.5233,0.805426
-334.791,0.996648,0.142004,4,15,0,336.387,0.439028,0.45903,0.698903
-333.215,0.999904,0.246017,3,15,0,334.998,0.519448,0.51574,0.859127
-333.215,0.000888414,0.426112,1,3,1,334.593,0.519448,0.51574,0.859127
-332.728,0.999895,0.0540102,5,63,0,335.241,0.667946,0.646767,1.31095
-332.741,0.995983,0.0938357,4,31,0,333.399,0.662856,0.600965,1.23232
-332.665,0.991005,0.160013,4,31,0,333.468,0.557836,0.553738,0.970462
-332.651,0.912194,0.267213,3,11,0,333.486,0.552598,0.770926,1.40452
-333.464,0.393035,0.362726,3,7,0,333.849,0.633042,0.489026,0.960469
-334.004,0.998977,0.133086,3,7,0,334.155,0.657934,0.462735,0.985974
-332.972,0.929953,0.224383,3,15,0,334.745,0.567155,0.485203,0.922909
-333.351,0.79449,0.316466,2,3,0,333.46,0.587861,0.494796,0.891569
-334.108,0.602597,0.318379,4,15,0,334.85,0.54585,0.534184,1.13627
-332.258,0.991847,0.200537,2,3,0,333.931,0.557017,0.574037,1.07249
-332.553,0.758624,0.326363,4,15,0,333.617,0.547202,0.530892,0.988158
-333.05,0.858133,0.301012,3,15,0,334.857,0.642116,0.815626,1.7498
-333.05,0.0150136,0.352495,2,3,0,335.1,0.642116,0.815626,1.7498
-332.833,0.997763,0.0557052,4,15,0,333.57,0.632707,0.789253,1.48649
-332.464,0.999623,0.0914735,4,31,0,333.598,0.651263,0.726783,1.46783
-333.33,0.99705,0.149856,3,11,0,334.048,0.64348,0.86386,1.82613
-332.371,0.950511,0.242437,3,7,0,333.617,0.612082,0.765177,1.49347
-332.371,0.212422,0.349997,2,7,0,334.819,0.612082,0.765177,1.49347
-332.721,0.997196,0.0923308,4,15,0,332.96,0.584232,0.791842,1.56003
-332.46,0.999804,0.148464,4,31,0,334.079,0.534496,0.560785,1.03492
-333.882,0.906993,0.238693,3,15,0,334.95,0.505435,0.798307,1.44679
-333.923,0.813249,0.309474,2,3,0,335.223,0.523306,0.859946,1.52427
-332.618,0.969288,0.32419,3,7,0,334.685,0.66011,0.605501,1.27256
-332.618,1.4195e-008,0.480366,1,1,0,334.024,0.66011,0.605501,1.27256
-332.261,0.997696,0.0829162,5,31,0,333.156,0.591672,0.603065,1.11834
-333.425,0.943176,0.131208,4,19,0,334.252,0.595674,0.577152,0.99536
-332.833,0.897369,0.183279,2,7,0,335.409,0.595896,0.513918,1.04911
-334.295,0.880002,0.230825,4,15,0,334.667,0.525878,0.802935,1.26886
-335.059,0.452467,0.279229,3,15,0,337.892,0.592677,0.382018,0.776424
-333.521,0.999781,0.134423,5,31,0,335.682,0.507983,0.782614,1.2996
-334.256,0.998024,0.210221,5,31,0,335.28,0.432867,0.543123,0.828636
-334.804,0.261155,0.325885,2,7,0,338.336,0.662606,0.42656,0.950326
-332.821,0.998274,0.105847,4,27,0,338.237,0.678185,0.690936,1.41595
-332.098,0.999799,0.163972,4,15,0,333.175,0.583541,0.608294,1.16718
-332.136,0.994258,0.253606,2,7,0,332.29,0.556501,0.623796,1.14485
-332.816,0.160716,0.385917,3,7,0,334.019,0.587886,0.564913,1.00555
-335.804,0.959007,0.104156,5,31,0,336.58,0.628657,1.02611,1.7924
-332.158,0.998462,0.147416,4,15,0,336.864,0.584764,0.6611,1.31123
-333.022,0.8594,0.225373,3,11,0,334.968,0.553046,0.728102,1.21992
-332.756,0.97639,0.25839,2,7,0,334.037,0.61519,0.653371,1.42854
-333.424,0.297771,0.374996,3,7,0,337.851,0.519095,0.804455,1.37571
-334.298,0.985332,0.137913,2,7,0,334.632,0.501192,0.849667,1.41135
-333.434,0.95103,0.203628,3,7,0,334.948,0.554569,0.831106,1.4189
-336.722,0.623801,0.279649,3,15,0,338.626,0.706887,1.05351,1.9909
-332.494,0.996223,0.199779,3,15,0,336.615,0.622075,0.755253,1.431
-332.435,0.992735,0.299087,3,15,0,333.279,0.549276,0.708475,1.33655
-332.435,0.00142732,0.442953,1,3,0,333.15,0.549276,0.708475,1.33655
-332.481,0.999901,0.0937102,3,11,0,332.647,0.545653,0.716003,1.33871
-332.752,0.97366,0.14097,3,15,0,333.403,0.616999,0.55666,1.19179
-333.412,0.856412,0.200753,3,11,0,335.357,0.661979,0.585198,1.12307
-335.13,0.968081,0.22718,3,15,0,336.81,0.666639,0.439865,1.05451
-334.972,0.506682,0.318295,2,3,0,336.611,0.684279,0.44508,1.0513
-334.034,0.998997,0.183786,4,23,0,336.701,0.455131,0.490528,0.77205
-334.549,0.559834,0.272524,2,3,0,334.816,0.454858,0.507849,0.763112
-333.592,0.995532,0.175013,2,7,0,334.608,0.466357,0.497187,0.837999
-332.764,0.676882,0.256949,3,15,0,335.178,0.52252,0.525561,0.961152
-333.622,0.859244,0.206476,2,7,0,334.203,0.534939,0.512331,1.03511
-333.675,0.955005,0.233883,3,11,0,334.213,0.568358,0.561807,1.2177
-332.3,0.878058,0.316357,3,15,0,332.742,0.557629,0.564542,1.04633
-332.3,0.0228077,0.369976,2,7,0,333.98,0.557629,0.564542,1.04633
-333.049,0.99677,0.0889036,4,15,0,333.156,0.623556,0.503188,1.04268
