# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:20:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\rkfe76e5.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation0\exponential_priors-20240423192026.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-384.144,1,0.0625,1,1,0,455.696,0.75631,0.723807,1.55545
-384.144,0,14.3855,0,1,1,385.48,0.75631,0.723807,1.55545
-384.144,0,2.43117,0,1,1,384.363,0.75631,0.723807,1.55545
-384.144,1.14236e-179,0.239791,1,3,1,385.121,0.75631,0.723807,1.55545
-379.767,1,0.0186273,3,7,0,384.296,0.711813,0.685953,1.5851
-376.879,0.992409,0.0257257,5,39,0,384.009,0.807682,0.740044,3.43233
-376.098,0.990828,0.0394781,3,7,0,377.142,0.748318,0.747348,3.01128
-376.078,0.841241,0.0652304,3,11,0,378.567,0.66968,0.6592,1.83073
-376.684,0.672761,0.0707358,2,3,0,378.039,0.655108,0.572625,1.97284
-377.075,0.966052,0.0462102,3,7,0,378.052,0.742232,0.558953,1.6188
-376.167,1,0.0775434,2,3,0,376.794,0.687729,0.531118,1.64903
-375.929,0.330289,0.146656,1,3,0,376.398,0.738791,0.543337,1.8051
-375.88,0.988144,0.0338382,4,23,0,377.347,0.710281,0.591515,2.24031
-376.267,0.970151,0.0625908,2,7,0,376.782,0.739748,0.686129,1.99918
-376.267,0.00525113,0.1094,2,7,0,380.865,0.739748,0.686129,1.99918
-375.504,0.998841,0.00959311,3,15,0,376.823,0.703224,0.676496,2.08681
-375.699,0.974359,0.0185599,4,31,0,378.132,0.760421,0.629968,2.52626
-375.969,0.934215,0.0331176,3,15,0,378.137,0.670825,0.759381,2.20193
-375.712,0.982738,0.0519924,3,7,0,376.212,0.781569,0.640415,2.4056
-377.511,0.707773,0.0939385,3,7,0,379.454,0.738591,0.959034,2.70736
-378.815,0.892808,0.0741465,2,3,0,380.083,0.650303,1.06454,2.98824
-378.023,0.971656,0.101639,3,15,0,379.414,0.855698,0.461607,2.23335
-378.023,1.21148e-019,0.174762,1,2,1,382.756,0.855698,0.461607,2.23335
-377.097,0.99867,0.0176831,4,23,0,381.376,0.622089,0.614996,1.58914
-375.463,0.999916,0.03309,4,15,0,377.363,0.713969,0.634466,2.02571
-377.527,0.693918,0.0615095,3,11,0,378.917,0.759488,0.826626,2.29215
-378.473,0.858142,0.0475642,1,1,0,378.583,0.772835,0.845764,2.28295
-378.216,0.993041,0.0586042,2,7,0,379.811,0.717283,0.601068,2.9097
-376.194,1,0.104778,1,1,0,377.244,0.768395,0.641206,2.81513
-376.194,0.0370339,0.189131,1,1,0,376.859,0.768395,0.641206,2.81513
-378.203,0.985207,0.0241922,4,31,0,380.139,0.834921,0.438306,2.37346
-376.914,0.999874,0.0420489,3,7,0,378.525,0.789816,0.461623,2.07149
-377.914,0.835497,0.0753429,2,3,0,377.947,0.846414,0.452734,2.02904
-376.466,0.98283,0.0861894,3,15,0,379.161,0.719189,0.586489,2.45674
-376.466,0.00929705,0.145373,1,3,1,377.246,0.719189,0.586489,2.45674
-375.559,0.999979,0.0188004,4,31,0,376.938,0.767404,0.679425,2.45777
-375.602,0.988026,0.0332784,4,27,0,376.503,0.71183,0.617016,1.92003
-375.921,0.968839,0.0565976,4,15,0,376.188,0.748719,0.563234,1.86178
-375.508,0.990513,0.090869,2,7,0,376.785,0.702449,0.614171,2.06886
-375.508,0.00182383,0.153051,1,3,1,379.642,0.702449,0.614171,2.06886
-376.054,0.989563,0.0209668,3,7,0,376.245,0.66585,0.618609,2.05195
-375.602,0.99875,0.0353307,4,23,0,377.379,0.685653,0.696076,2.12506
-376.985,0.972104,0.0604372,4,15,0,377.639,0.722902,0.468551,1.47641
-377.853,0.327136,0.0960192,4,15,0,380.203,0.610655,0.543826,1.70218
-382.421,0.92994,0.0310672,5,31,0,385.094,0.706191,0.442282,1.03014
-379.294,0.996558,0.0444359,2,3,0,383.079,0.660635,0.365573,1.18081
-375.891,0.845453,0.0742991,3,15,0,380.372,0.685877,0.561802,1.76986
-376.213,0.917871,0.0857445,2,3,0,376.336,0.681173,0.526984,1.7774
-376.33,0.575892,0.117393,2,3,0,376.787,0.739371,0.479789,1.84767
-376.786,0.965861,0.0710797,2,7,0,377.992,0.769716,0.466917,2.06535
-377.384,0.659098,0.108614,2,3,0,378.141,0.719798,0.492121,2.20531
-375.912,0.981269,0.08046,2,7,0,377.587,0.767969,0.546,1.99284
-375.986,0.251067,0.126585,2,5,0,377.51,0.70399,0.686843,1.94933
-375.438,1,0.036615,4,15,0,376.023,0.749814,0.645537,2.36547
-375.604,0.701421,0.0600716,2,3,0,377.989,0.752957,0.677547,2.61697
-376.3,0.845048,0.049544,2,7,0,378.225,0.791992,0.746802,2.52197
-376.884,0.969822,0.05672,3,11,0,377.719,0.723017,0.623264,1.71022
-375.578,0.983206,0.0858636,3,11,0,376.658,0.72254,0.720862,2.58327
-375.99,0.256813,0.13324,2,7,0,376.619,0.799057,0.618239,2.47684
-378.307,0.900392,0.0408067,4,23,0,379.049,0.608884,0.493958,1.53528
-376.92,0.855488,0.05266,3,11,0,381.953,0.804553,0.46935,2.06005
-377.389,0.937336,0.0613688,5,31,0,379.801,0.777736,0.66635,3.35336
-377.726,0.981102,0.0853726,2,3,0,378.051,0.817447,0.623898,3.39007
-377.726,0.00797902,0.130108,2,7,1,379.012,0.817447,0.623898,3.39007
-378.413,0.989913,0.0240636,5,31,0,379.58,0.594382,0.644083,1.48691
-378.318,0.900929,0.0374534,2,7,0,381.464,0.711126,0.623665,1.55125
-376.754,0.99931,0.047949,3,7,0,378.513,0.661231,0.582193,1.55664
-377.026,0.927067,0.075449,4,15,0,377.523,0.640491,0.843245,2.4748
-375.876,0.908468,0.101384,2,7,0,377.17,0.749775,0.746289,2.90659
-375.876,8.56771e-007,0.130572,1,3,0,380.937,0.749775,0.746289,2.90659
-375.529,1,0.0250757,5,47,0,376.003,0.690648,0.649936,2.04795
-376.129,0.991958,0.0392457,4,15,0,376.33,0.673712,0.640104,1.77629
-375.892,0.984836,0.060116,2,3,0,376.26,0.669069,0.599511,1.87672
-376.055,0.993741,0.0903296,3,11,0,376.551,0.756477,0.62691,2.67397
-376.055,0.2003,0.13763,2,3,0,377.515,0.756477,0.62691,2.67397
-375.603,0.990987,0.0414486,3,15,0,377.106,0.714267,0.663703,2.41887
-376.29,0.837537,0.0627665,3,15,0,378.447,0.780465,0.505684,2.09628
-377.792,0.924086,0.0694467,2,7,0,379.739,0.828981,0.451574,2.32086
-377.106,0.775061,0.0913136,3,11,0,379.458,0.66649,0.926605,2.747
-375.866,0.590411,0.0889063,2,3,0,377.922,0.713191,0.822119,2.65638
-376.738,0.841289,0.0599799,2,7,0,377.292,0.656914,0.774841,2.56868
-377.09,0.977006,0.0667114,3,15,0,378.324,0.816635,0.525564,1.93483
-375.841,0.999578,0.0968133,4,15,0,376.769,0.679177,0.613766,1.81509
-375.885,0.288805,0.146318,1,3,0,376.288,0.696979,0.665198,1.90683
-375.774,0.995045,0.0550793,2,7,0,376.543,0.719907,0.541632,1.93531
-377.551,0.670248,0.0823977,3,7,0,378.097,0.750006,0.617249,1.70435
-376.37,0.873838,0.0655629,2,3,0,378.576,0.641108,0.65562,1.80476
-376.171,0.991033,0.0773234,3,7,0,376.995,0.76934,0.504524,1.95726
-376.314,0.458345,0.11395,2,3,0,377.274,0.742512,0.560676,1.73614
-377.36,0.968983,0.0606253,3,7,0,379.08,0.611727,0.727754,1.81722
-380.793,0.781157,0.0854623,3,7,0,381.624,0.901163,0.939426,5.44646
-379.482,1,0.0842264,2,3,0,380.996,0.765778,1.03686,4.8326
-379.789,0.274281,0.125282,2,3,0,380.14,0.839751,1.15727,4.43666
-382.217,0.810611,0.0477101,2,3,0,382.79,0.912954,1.13112,4.42703
-376.57,0.950604,0.0497962,4,19,0,383.59,0.66157,0.52541,1.73995
-376.62,0.988227,0.0673684,2,3,0,376.729,0.740272,0.558555,1.67321
-376.62,0.335021,0.0974479,1,3,0,380.717,0.740272,0.558555,1.67321
-376.199,0.994386,0.0422153,4,31,0,378.248,0.654605,0.75081,2.11759
-377.468,0.855557,0.0616771,2,3,0,378.041,0.612634,0.796433,2.24319
-377.614,0.960924,0.0697116,3,7,0,378.023,0.607882,0.773549,2.22779
-377.614,1.00365e-030,1.52523,1,3,1,379.022,0.607882,0.773549,2.22779
-377.614,0,3.56151,0,1,1,377.883,0.607882,0.773549,2.22779
-378.41,0.739975,0.351162,3,7,0,381.125,0.57634,0.596539,1.4779
-377.624,0.993047,0.182916,4,15,0,378.849,0.610808,0.569327,1.45392
-375.51,0.944235,0.2307,3,15,0,379.157,0.716887,0.60807,2.16821
-378.537,0.620269,0.295546,2,7,0,380.862,0.721235,0.529244,2.65818
-378.178,0.997812,0.153257,3,15,0,379.462,0.746688,0.542735,1.49414
-377.072,1,0.262836,2,3,0,378.145,0.749819,0.516323,1.57576
-376.167,1,0.473838,3,7,0,378.072,0.770276,0.557986,1.89489
-375.532,0.336759,0.876254,2,3,0,376.201,0.70036,0.63648,2.18147
-375.502,0.992194,0.201702,3,15,0,376.256,0.735581,0.617049,2.04208
-377.268,0.648992,0.371958,2,7,0,378.05,0.721262,0.639494,2.88598
-377.173,1,0.233786,2,3,0,377.427,0.72629,0.637583,2.89042
-377.34,0.950286,0.445826,2,7,0,377.934,0.782113,0.600724,1.81578
-376.893,1,0.72627,1,1,0,377.918,0.818785,0.5579,2.05783
-376.893,5.97043e-022,1.37581,1,1,0,377.319,0.818785,0.5579,2.05783
-376.965,0.984431,0.119334,4,31,0,381.599,0.698652,0.472312,1.44667
-378.076,0.912389,0.217262,3,7,0,379.055,0.685728,0.445747,1.25989
-376.772,0.969635,0.315663,3,7,0,378.858,0.740065,0.466414,1.96822
-376.27,0.783764,0.542258,2,7,0,377.855,0.815042,0.632081,2.52101
-376.106,0.479067,0.531003,3,7,0,377.477,0.751981,0.51015,2.04186
-376.615,0.987403,0.211452,4,15,0,377.006,0.773184,0.483498,1.74637
-376.93,0.615613,0.379759,3,7,0,379.171,0.806996,0.523198,1.89607
-376.238,0.973538,0.2293,3,7,0,377.663,0.800335,0.567104,2.1487
-377.181,0.720068,0.39188,2,7,0,380.205,0.645881,0.610407,2.15829
-377.851,0.950997,0.321773,4,15,0,378.365,0.841157,0.648465,2.23309
-376.496,0.957373,0.510036,2,7,0,377.674,0.825611,0.670957,2.73783
-376.508,0.44573,0.816769,2,5,0,379.115,0.756045,0.466269,1.84934
-375.579,0.972538,0.312138,2,7,0,378.447,0.702042,0.740772,2.29439
-375.951,0.807412,0.51935,3,7,0,376.135,0.758037,0.605889,2.54895
-377.341,0.247707,0.545138,2,5,0,378.963,0.854144,0.632571,3.00591
-377.933,0.992512,0.125029,3,7,0,378.176,0.873315,0.684408,2.86663
-376.755,0.976691,0.21843,2,5,0,378.668,0.809841,0.651277,3.10309
-377.159,0.98852,0.362494,4,15,0,377.765,0.83079,0.748205,3.49136
-376.907,0.698815,0.615663,2,3,0,378.443,0.818413,0.648713,3.14222
-376.625,0.932259,0.484035,2,7,0,378.569,0.700035,0.854723,2.35079
-376.625,0.00374692,0.702263,1,1,0,377.063,0.700035,0.854723,2.35079
-376.706,0.989842,0.0915802,3,11,0,377.971,0.669331,0.818185,2.73601
-376.872,0.999469,0.155114,3,7,0,377.251,0.662938,0.857529,2.28175
-377.163,0.948414,0.267063,3,7,0,378.758,0.655799,0.834276,2.75403
-379.267,0.849934,0.400752,2,7,0,382.28,0.84313,1.03476,4.85459
-376.426,0.979494,0.466736,2,3,0,379.746,0.786964,0.852172,3.11369
-376.606,0.795008,0.749022,1,1,0,376.752,0.775787,0.789088,3.39388
-378.227,0.352866,0.756184,2,5,0,378.665,0.758241,1.09412,3.44137
-378.208,0.836261,0.25758,3,15,0,382.145,0.710358,0.767932,3.43871
-378.325,0.988239,0.28966,2,7,0,379.347,0.848863,0.78916,2.68148
-377.804,1,0.46986,2,3,0,378.356,0.777255,0.626836,3.31463
-377.804,0.104128,0.778698,2,3,0,378.693,0.777255,0.626836,3.31463
-376.941,0.997514,0.150733,4,31,0,378.761,0.76471,0.539782,1.6818
-376.06,0.999173,0.248491,3,7,0,377.097,0.756519,0.515432,2.06009
-378.353,0.772742,0.408454,3,7,0,378.738,0.639953,0.771095,2.7812
-378.495,0.975074,0.392474,4,15,0,380.334,0.742224,0.454707,1.32228
-377.331,1,0.604028,2,7,0,379.118,0.842361,0.504913,2.25804
-377.331,1.437e-007,0.979159,1,1,0,379.761,0.842361,0.504913,2.25804
-377.069,0.998101,0.158713,5,31,0,379.649,0.710819,0.437968,1.48447
-376.068,0.983824,0.256712,4,15,0,378.535,0.764377,0.515407,2.05158
-376.588,0.950716,0.39953,3,7,0,377.612,0.801252,0.551118,2.56961
-377.165,0.813107,0.573881,2,3,0,377.471,0.812802,0.593965,2.00513
-375.866,1,0.602924,3,7,0,376.296,0.700738,0.809467,2.49664
-375.866,0.2276,0.959648,1,3,0,378.155,0.700738,0.809467,2.49664
-376.423,0.945567,0.274863,4,15,0,376.823,0.752165,0.484274,2.00321
-377.418,0.985758,0.387702,3,7,0,377.875,0.727196,0.408924,1.56693
-377.418,0.0548777,0.59465,1,1,0,379.828,0.727196,0.408924,1.56693
-379.063,0.997622,0.119866,3,15,0,379.778,0.748144,0.336115,1.3436
-377.567,0.997639,0.188928,4,15,0,381.325,0.715478,0.405343,1.45212
-376.521,0.995451,0.296222,3,15,0,378.897,0.631806,0.626796,1.78713
-378.073,0.931793,0.459905,3,7,0,378.997,0.73517,0.377088,1.41471
-378.374,0.060552,0.620552,2,7,0,380.465,0.658972,0.424887,1.56291
-377.568,0.989235,0.132246,3,15,0,379.823,0.699898,0.545149,1.44743
-377.695,0.991317,0.20202,4,31,0,379.275,0.806707,0.583375,3.17247
-376.038,0.999334,0.30851,3,7,0,379.497,0.794477,0.642255,2.30798
-376.471,0.850788,0.476855,2,7,0,378.258,0.757079,0.506555,2.21024
-376.22,0.719387,0.539455,2,7,0,378.729,0.685246,0.526472,1.6361
-376.671,0.986835,0.464987,3,15,0,377.168,0.820422,0.777081,3.15855
-376.219,0.266045,0.694152,3,7,0,378.419,0.70115,0.868213,2.69922
-375.718,0.995079,0.237563,4,15,0,377.979,0.780425,0.689978,2.61019
-376.738,0.910553,0.360322,2,7,0,378.199,0.747395,0.938606,2.9904
-375.852,1,0.458877,2,3,0,376.83,0.746979,0.724721,2.84873
-375.852,0.0784773,0.697583,3,7,0,376.818,0.746979,0.724721,2.84873
-375.792,0.990145,0.167614,5,31,0,376.795,0.738781,0.577135,2.28204
-375.676,0.981605,0.250028,3,11,0,376.523,0.6864,0.719794,2.33764
-375.713,0.970388,0.365269,3,15,0,378.749,0.679979,0.610094,1.91198
-378.831,0.245794,0.520038,2,3,0,381.479,0.890051,0.504235,2.71766
-375.807,0.99831,0.178412,4,15,0,379.378,0.688627,0.569768,1.90312
-376.987,0.792144,0.26819,1,3,0,378.006,0.690812,0.547362,2.2166
-377.32,0.973222,0.269146,3,11,0,378.103,0.735797,0.722334,3.2846
-376.257,0.964244,0.383194,3,15,0,377.962,0.80625,0.582066,2.50302
-375.596,0.977943,0.534458,3,7,0,376.75,0.729515,0.58216,2.15741
-376.189,0.527663,0.762883,2,7,0,376.641,0.7009,0.513257,1.65093
-376.189,0.646781,0.460138,1,3,0,377.147,0.7009,0.513257,1.65093
-375.651,0.970434,0.349466,2,7,0,376.779,0.722309,0.572068,2.09848
-376.577,0.812299,0.490305,3,7,0,377.619,0.731514,0.854077,2.458
-376.353,0.705521,0.509387,3,7,0,377.668,0.728385,0.482087,1.84679
-375.738,0.995114,0.433134,3,7,0,376.764,0.780495,0.649724,2.34926
-375.477,0.981146,0.632809,2,3,0,375.709,0.757876,0.671944,2.37734
-377.273,0.0648561,0.897901,2,3,0,378.706,0.628905,0.756249,2.38549
-376.484,0.992568,0.23346,2,3,0,377.564,0.657863,0.822064,2.30996
-380.009,0.625542,0.338683,2,3,0,380.69,0.606869,0.79529,2.77041
-376.896,1,0.24991,3,15,0,380.73,0.815337,0.773011,2.66735
-377.738,0.989007,0.366215,4,15,0,378.422,0.641914,0.46895,1.56267
-376.356,0.813913,0.524348,2,3,0,377.938,0.696581,0.515824,1.58558
-376.356,0,5.37781,0,1,1,378.495,0.696581,0.515824,1.58558
-376.356,0.0309576,0.822144,2,6,1,378.706,0.696581,0.515824,1.58558
-378.723,0.997417,0.0831625,5,31,0,379.196,0.619532,0.434316,1.23977
-377.586,0.97847,0.108371,4,31,0,381.484,0.653063,0.752767,1.80726
-375.997,1,0.155854,3,15,0,377.881,0.684384,0.601267,2.13508
-375.979,0.998902,0.2615,3,15,0,376.55,0.793616,0.608119,2.51838
-376.173,0.992619,0.462115,2,3,0,376.25,0.809893,0.625162,2.55413
-376.173,3.87581e-006,0.826923,1,1,0,378.755,0.809893,0.625162,2.55413
-375.621,0.998283,0.0655279,5,55,0,377.276,0.718381,0.575911,2.07603
-376.372,0.993946,0.121926,4,23,0,377.718,0.66579,0.573361,1.97905
-376.642,0.974859,0.225947,3,7,0,378.049,0.670732,0.49572,1.60592
-375.587,0.999068,0.39561,3,11,0,377.114,0.705346,0.748483,2.32666
-375.587,0.0147367,0.746939,1,1,0,377.278,0.705346,0.748483,2.32666
-375.451,0.999842,0.0652479,5,31,0,375.837,0.732012,0.655731,2.39659
-378.552,0.967447,0.124592,4,27,0,379.933,0.714176,0.664682,1.62445
-378.39,1,0.214041,3,7,0,379.07,0.682785,0.633862,2.79279
-379.58,0.962947,0.403699,2,7,0,379.844,0.691129,0.880587,2.00294
-375.967,0.18229,0.674766,2,7,0,378.065,0.666795,0.672793,1.90292
-377.127,0.984272,0.107115,4,31,0,380.11,0.764414,0.868476,3.69037
-379.828,0.91269,0.191575,3,7,0,381.435,0.850408,0.917678,2.87099
-378.216,1,0.27482,2,3,0,380.01,0.843592,0.894929,3.16963
-376.835,0.984532,0.506407,3,7,0,378.445,0.761289,0.945921,3.13486
-376.835,0.0204744,0.88323,2,3,0,378.262,0.761289,0.945921,3.13486
-376.905,0.991098,0.0948589,5,55,0,378.62,0.831755,0.737052,3.25576
-376.017,0.99232,0.169466,5,31,0,377.793,0.681872,0.726904,2.49004
-376.108,0.985528,0.300879,4,15,0,376.636,0.696806,0.692651,1.9246
-376.353,0.992296,0.51909,3,7,0,377.436,0.784471,0.664598,2.98795
-376.353,0.336692,0.9043,1,3,0,377.154,0.784471,0.664598,2.98795
-375.417,0.999083,0.255298,3,15,0,377.166,0.738897,0.671539,2.23946
-378.45,0.777454,0.451613,3,7,0,379.455,0.876547,0.61881,3.42142
-378.94,0.975748,0.433482,2,3,0,379.269,0.900695,0.598076,3.19139
-376.063,0.940031,0.710298,2,3,0,379.666,0.731084,0.859366,2.83525
-378.224,0.0273341,1.04948,2,3,0,379.317,0.771758,0.719235,3.77496
-375.786,0.995277,0.137149,4,15,0,379.505,0.699914,0.719859,2.53539
-375.735,0.999898,0.235917,4,15,0,375.913,0.696229,0.739204,2.17852
-376.36,0.952972,0.407213,3,11,0,376.812,0.651706,0.574637,1.81971
-376.016,0.992644,0.617181,3,7,0,377.232,0.725513,0.822366,2.91961
-376.016,3.05668e-016,1.02908,1,1,0,378.188,0.725513,0.822366,2.91961
-375.687,0.996246,0.135588,5,31,0,377.086,0.773218,0.667541,2.33894
-376.146,0.923908,0.228962,3,11,0,378.311,0.670499,0.802631,2.3488
-376.146,0.912199,0.319883,2,3,0,376.64,0.670499,0.802631,2.3488
-376.261,0.953409,0.431883,3,7,0,376.783,0.808031,0.633339,2.34773
-376.601,0.995233,0.642831,2,3,0,376.884,0.8044,0.607274,2.86072
-377.909,0.333333,1.05424,2,3,0,379.137,0.8368,0.432125,1.98062
-377.606,0.999718,0.34158,2,3,0,378.069,0.829491,0.447405,2.121
-377.956,0.971023,0.564805,2,3,0,378.517,0.848611,0.450403,2.13753
-377.956,0.00135253,0.865494,2,3,0,383.121,0.848611,0.450403,2.13753
-375.828,0.995986,0.130012,4,23,0,378.984,0.682681,0.654123,1.88846
-376.393,0.995737,0.212232,4,31,0,377.242,0.796815,0.525885,2.28909
# Adaptation terminated
# Step size = 0.367032
# Diagonal elements of inverse mass matrix:
# 0.00780545, 0.050317, 0.0686828
-376.105,1,0.367032,3,7,0,376.636,0.803822,0.603197,2.36475
-376.368,0.978552,0.367032,2,7,0,378.071,0.709846,0.871952,2.97626
-375.483,0.990742,0.367032,3,15,0,377.238,0.704924,0.667708,2.07674
-375.963,0.998077,0.367032,4,15,0,376.001,0.795585,0.703847,2.7441
-376.001,0.925232,0.367032,2,3,0,376.65,0.766369,0.684294,2.87043
-378.913,0.654007,0.367032,2,3,0,380.267,0.718859,0.621256,3.1549
-375.379,0.91552,0.367032,2,7,0,380.719,0.738177,0.674957,2.37236
-375.807,0.946274,0.367032,2,7,0,376.26,0.688949,0.665486,2.32584
-375.783,0.860113,0.367032,3,11,0,377.356,0.723928,0.80582,2.55307
-376.482,0.967591,0.367032,3,7,0,377.187,0.808967,0.749744,3.1842
-376.915,0.969492,0.367032,3,7,0,377.278,0.821955,0.702997,3.30478
-375.7,0.98302,0.367032,3,7,0,377.751,0.712067,0.59492,2.19004
-378.53,0.87501,0.367032,4,15,0,379.118,0.708634,0.44644,1.24509
-380.803,0.630091,0.367032,2,3,0,382.076,0.71201,0.32356,1.56781
-379.035,0.956428,0.367032,4,15,0,383.99,0.715781,1.03325,2.61417
-377.222,1,0.367032,2,3,0,379.548,0.744518,0.776913,3.46197
-377.627,0.965385,0.367032,4,15,0,378.548,0.694541,0.589147,1.5084
-377.938,0.797127,0.367032,3,15,0,380.587,0.660434,0.677207,2.6577
-377.905,1,0.367032,2,3,0,378.712,0.66288,0.725566,1.71802
-376.289,1,0.367032,2,3,0,377.649,0.663013,0.656112,1.77568
-375.94,1,0.367032,3,7,0,376.516,0.725512,0.572357,1.78103
-376.411,0.971921,0.367032,4,15,0,376.455,0.799741,0.771521,2.6833
-375.931,0.999507,0.367032,4,15,0,376.816,0.688723,0.559607,1.73423
-379.592,0.960012,0.367032,3,15,0,379.724,0.627812,0.395216,1.0903
-376.289,0.926824,0.367032,3,15,0,382.131,0.640457,0.661302,1.88533
-376.318,0.993432,0.367032,3,7,0,376.618,0.643102,0.610999,1.7757
-376.674,0.995245,0.367032,4,15,0,377.271,0.829747,0.708321,2.98997
-376.528,0.992887,0.367032,3,11,0,377.93,0.650875,0.577075,1.60514
-376.571,0.958825,0.367032,3,15,0,377.774,0.818417,0.731945,2.70195
-378.433,0.803399,0.367032,3,7,0,380.167,0.822872,0.500456,2.95332
-379.669,0.934416,0.367032,3,7,0,382.536,0.789445,0.62795,1.68239
-376.705,1,0.367032,2,3,0,379.295,0.75568,0.613099,1.81779
-375.5,0.880579,0.367032,3,11,0,378.048,0.701146,0.668396,2.06844
-376.954,0.604998,0.367032,2,3,0,378.953,0.726679,0.692449,1.86783
-375.546,0.935662,0.367032,2,7,0,378.06,0.704764,0.739259,2.41671
-375.503,0.941237,0.367032,3,7,0,376.395,0.695612,0.683356,2.2398
-375.392,0.998603,0.367032,3,7,0,375.535,0.710922,0.67098,2.23691
-375.883,0.951293,0.367032,2,7,0,378.146,0.685401,0.768868,2.49567
-376.041,0.980465,0.367032,3,15,0,377.702,0.653263,0.644223,1.93599
-376.066,0.999099,0.367032,2,3,0,376.138,0.652269,0.648978,1.88867
-376.174,0.987642,0.367032,3,7,0,376.754,0.663469,0.782463,2.2353
-376.997,0.926224,0.367032,3,7,0,380.083,0.717239,0.43655,1.5356
-379.252,0.862869,0.367032,3,7,0,380.221,0.614758,0.426711,1.38109
-376.63,0.976911,0.367032,4,15,0,380.108,0.768663,0.473716,1.72763
-376.509,0.981031,0.367032,4,15,0,379.69,0.756416,0.490285,1.68872
-377.522,0.954816,0.367032,3,7,0,378.217,0.673194,0.43408,1.47382
-376.224,0.999829,0.367032,4,15,0,378.185,0.643622,0.652563,1.93323
-377.24,0.813129,0.367032,3,11,0,377.861,0.852117,0.699868,2.90259
-379.089,0.701141,0.367032,4,15,0,383.239,0.896226,0.597273,3.43218
-377.726,0.971907,0.367032,4,15,0,381.595,0.597545,0.754268,2.0778
-377.012,0.970296,0.367032,4,15,0,378.645,0.83039,0.531055,2.50655
-380.638,0.960375,0.367032,4,15,0,382.146,0.712575,1.30622,4.15034
-377.094,0.742764,0.367032,4,15,0,383.858,0.825396,0.537683,2.65269
-376.312,0.957525,0.367032,3,7,0,377.981,0.734348,0.60781,1.79187
-376.312,0.559965,0.367032,1,1,0,377.76,0.734348,0.60781,1.79187
-376.644,0.998995,0.367032,3,11,0,376.846,0.720283,0.877587,2.50015
-377.081,0.996639,0.367032,4,15,0,377.489,0.797443,0.531422,1.80462
-376.969,0.870579,0.367032,4,15,0,379.927,0.762146,0.951384,3.05978
-376.422,0.993517,0.367032,4,15,0,378.4,0.663883,0.68381,1.81135
-376.582,0.716798,0.367032,3,7,0,378.317,0.684637,0.650976,1.72787
-375.853,0.508222,0.367032,2,3,0,380.101,0.718463,0.628733,1.87813
-375.915,0.916503,0.367032,2,7,0,377.334,0.687607,0.559179,1.90487
-376.075,0.992678,0.367032,3,7,0,377.219,0.657396,0.619832,1.79322
-377.428,0.973798,0.367032,3,15,0,378.03,0.821843,0.904941,3.68824
-378.173,0.887997,0.367032,3,7,0,380.296,0.874083,0.639174,3.3548
-377.077,1,0.367032,3,7,0,378.905,0.813517,0.845612,3.62333
