# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:25:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\bkchozwd.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation2\exponential_priors-20240423192544.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-336.778,1,0.0625,1,3,0,406.14,0.645684,0.68965,1.51467
-336.778,0,14.3855,0,1,1,340.045,0.645684,0.68965,1.51467
-336.778,0,2.43117,0,1,1,337.466,0.645684,0.68965,1.51467
-336.778,6.29321e-052,0.239791,1,1,0,337.532,0.645684,0.68965,1.51467
-337.496,0.999071,0.0186273,5,31,0,337.709,0.584783,0.625442,1.46642
-336.023,0.997536,0.0256546,3,15,0,340.728,0.60791,0.70374,1.58227
-335.884,0.996936,0.0399888,3,7,0,336.498,0.614597,0.716235,1.60211
-334.969,0.972445,0.0673569,2,7,0,336.4,0.600303,0.834815,1.76226
-335.742,0.0972148,0.110352,2,5,0,336.654,0.63729,0.912807,1.82063
-334.853,0.999982,0.0117348,4,15,0,336.021,0.607552,0.871681,1.82367
-335.85,0.978194,0.0218805,4,31,0,337.114,0.724573,1.11802,2.60272
-340.25,0.939143,0.0386831,3,11,0,340.57,0.468626,1.28055,2.39351
-335.89,0.910456,0.0609656,3,7,0,341.538,0.718935,0.998303,2.86204
-334.687,0.775641,0.0881608,2,3,0,336.25,0.666107,1.04463,2.60026
-335.412,0.855792,0.0838632,2,3,0,335.666,0.717081,0.982332,2.65454
-335.412,0.198117,0.10274,2,3,0,339.189,0.717081,0.982332,2.65454
-335.258,0.981568,0.0166426,5,63,0,339.012,0.668519,0.818057,2.10454
-334.693,0.98238,0.030382,3,7,0,335.869,0.642334,0.860247,2.05437
-334.86,0.960006,0.0552305,2,3,0,334.946,0.661062,0.892534,2.00543
