# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\fg7tcx4h.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation3\exponential_priors-20240423192911.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-386.835,1,0.0625,2,3,0,465.897,0.632573,0.702951,1.55271
-386.835,0,14.3855,0,1,1,388.377,0.632573,0.702951,1.55271
-386.835,0,2.43117,0,1,1,388.354,0.632573,0.702951,1.55271
-386.835,5.05914e-043,0.239791,1,3,1,387.378,0.632573,0.702951,1.55271
-387.202,0.974525,0.0186273,4,15,0,389.439,0.557801,0.559674,1.74517
-384.94,0.960257,0.0238442,3,7,0,390.919,0.589443,0.586818,1.70435
-382.215,0.939428,0.0330922,5,31,0,388.709,0.779311,0.694266,2.58015
-381.769,0.999524,0.0464585,3,11,0,382.605,0.76018,0.626251,2.6082
-382.32,0.889167,0.0825784,4,19,0,382.55,0.869824,0.942227,5.16397
-382.32,0.0822524,0.106925,3,11,0,385.754,0.869824,0.942227,5.16397
-382.182,0.999444,0.0109804,6,127,0,383.964,0.765186,0.727275,3.98201
-384.466,0.968991,0.0207766,3,15,0,385.286,0.724887,0.711817,4.38568
-381.796,0.984088,0.036039,2,3,0,385.046,0.794837,0.786679,4.38789
-381.602,0.977025,0.065801,2,3,0,381.87,0.809307,0.798569,4.21477
-381.654,0.863412,0.117471,3,7,0,381.713,0.785558,0.790976,4.08189
-381.654,0.0017892,0.147037,1,1,0,381.899,0.785558,0.790976,4.08189
-381.746,0.999417,0.0129862,5,47,0,382.979,0.792566,0.762549,4.15423
-382.539,0.962049,0.0250813,5,39,0,384.535,0.775464,0.911857,5.41149
-381.922,0.942107,0.0429339,2,3,0,383.508,0.838331,0.900453,5.37322
-382.2,0.775502,0.0687584,2,3,0,382.962,0.866711,0.898374,5.01877
-382.241,0.991104,0.0665863,4,23,0,384.916,0.710341,0.786164,2.78098
-382.241,0.0252999,0.122168,1,3,0,383.58,0.710341,0.786164,2.78098
-382.021,0.997881,0.0130866,5,31,0,382.75,0.837337,0.686353,3.4002
-382.425,0.995956,0.024612,5,47,0,384.436,0.777611,0.758581,4.57203
-382.716,0.998951,0.0455682,3,15,0,382.959,0.884535,0.692366,4.19312
-383.303,0.748487,0.0842409,3,15,0,384.456,0.846433,0.741514,2.96811
-382.008,0.997983,0.0758283,3,15,0,383.58,0.803493,0.692776,4.09246
-382.008,0.0562405,0.137829,1,1,0,382.215,0.803493,0.692776,4.09246
-382.153,0.996046,0.0180084,2,7,0,382.373,0.795424,0.687094,4.11225
-382.342,0.992185,0.0326319,5,63,0,384.544,0.813174,1.14737,6.2657
-382.864,0.785671,0.0579344,3,11,0,384.284,0.891187,0.921428,4.99673
-381.74,0.975272,0.0581462,2,3,0,383.051,0.82073,0.873954,4.91801
-381.68,0.41233,0.0972468,4,15,0,383.578,0.77621,0.812244,4.06734
-382.376,0.999483,0.0358385,4,31,0,383.111,0.82213,0.956959,6.2384
-382.416,0.998871,0.0636222,3,7,0,382.534,0.83221,0.930903,6.27604
-383.877,0.272777,0.111727,3,7,0,384.403,0.923048,1.10686,7.15896
-382.912,1,0.0292545,3,15,0,384.426,0.888719,1.07133,6.759
-383.057,0.824054,0.0513715,2,7,0,385.763,0.78348,1.13786,6.75019
-381.721,0.997345,0.0569059,4,19,0,384.083,0.749075,0.675189,2.72118
-381.986,0.857064,0.0978784,3,11,0,385.878,0.818458,1.01727,4.75241
