# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:35:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\eoo6tkxy.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation5\exponential_priors-20240423193503.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-378.834,1,0.0625,1,1,0,457.201,0.725679,0.662971,1.47736
-378.834,0,14.3855,0,1,1,379.639,0.725679,0.662971,1.47736
-378.834,0,2.43117,0,1,1,380.476,0.725679,0.662971,1.47736
-378.834,5.70326e-202,0.239791,1,1,0,379.164,0.725679,0.662971,1.47736
-374.652,1,0.0186273,2,3,0,379.079,0.676,0.650268,1.50596
-371.002,1,0.0257257,2,3,0,374.64,0.613429,0.634077,1.58779
-371.218,0.943931,0.0404064,4,15,0,372.716,0.530966,0.636226,1.7343
-372.569,0.999306,0.0577186,4,15,0,372.898,0.619791,0.442683,1.65304
-372.569,0.044035,0.102737,1,1,0,374.361,0.619791,0.442683,1.65304
-376.367,0.998287,0.00923293,5,63,0,378.748,0.837138,0.418299,2.13457
-374.347,0.998179,0.0171178,4,15,0,376.995,0.742462,0.403098,2.17955
-370.509,0.993609,0.0322439,4,15,0,374.814,0.569648,0.624164,1.62758
-369.988,0.969783,0.0603589,3,7,0,370.881,0.642399,0.585515,1.80782
-368.886,0.85311,0.105132,3,7,0,370.477,0.682327,0.79774,2.70983
-368.864,0.46196,0.127208,3,7,0,369.153,0.645882,0.906023,3.05057
-369.86,0.958705,0.045877,3,7,0,370.451,0.592861,1.00745,3.14212
-369.279,1,0.0776014,2,3,0,369.802,0.694057,0.964145,3.05385
-369.279,4.34287e-011,0.148172,1,1,0,372.044,0.694057,0.964145,3.05385
-370.602,0.988898,0.013554,3,7,0,370.799,0.739006,0.977014,3.09111
-371.178,0.992598,0.0252174,3,15,0,373.346,0.775547,0.92635,3.33895
-370.807,0.999822,0.047037,3,15,0,372.2,0.590969,0.886059,2.03396
-371.822,0.942895,0.088811,2,7,0,372.749,0.501221,0.748892,1.8993
-371.822,0.127932,0.140519,1,3,0,372.401,0.501221,0.748892,1.8993
-377.058,0.948833,0.0206605,3,7,0,378.243,0.428684,0.770976,1.93035
-370.704,1,0.0334448,3,7,0,379.133,0.686547,0.678764,1.92136
-369.487,0.999566,0.0621783,4,31,0,370.677,0.635333,1.00396,3.47679
-368.94,0.51708,0.114279,3,7,0,371.818,0.634195,0.82656,2.34644
-368.827,0.995648,0.0536225,2,7,0,369.372,0.660026,0.754088,2.4421
-369.576,0.876849,0.0966428,3,7,0,370.907,0.722087,0.891055,3.4878
-369.576,0.0537058,0.124237,2,7,0,370.514,0.722087,0.891055,3.4878
-370.847,0.988312,0.0166923,5,31,0,371.271,0.659363,0.861853,3.81054
-370.967,0.98887,0.0293486,3,15,0,372.621,0.772303,0.801458,3.59579
-369.761,1,0.0512012,2,3,0,370.997,0.688887,0.813483,3.41893
-371.197,0.964475,0.0911883,2,3,0,371.54,0.55699,1.12194,2.72988
-371.197,0.0204896,0.146435,1,1,0,372.116,0.55699,1.12194,2.72988
-374.488,0.975714,0.0195022,3,7,0,374.925,0.497321,1.21341,2.95152
-371.283,1,0.0323939,4,15,0,378.01,0.72155,1.30522,4.16547
-369.345,0.983745,0.0568393,4,19,0,374.352,0.579551,0.811873,2.35972
-371.525,0.893645,0.0948155,3,11,0,373.016,0.668263,1.38971,4.85815
-371.525,0.0505206,0.124717,2,3,0,373.209,0.668263,1.38971,4.85815
-368.912,0.991861,0.0193549,5,63,0,372.611,0.68625,0.809854,2.77856
-370.307,0.965233,0.0328229,3,7,0,370.736,0.672062,0.703394,3.05845
-370.169,0.96847,0.0516751,3,11,0,371.608,0.547846,0.731754,1.95538
-369.968,1,0.0814562,3,15,0,372.422,0.680807,0.966112,3.95778
-369.968,0.095389,0.137815,1,3,0,370.815,0.680807,0.966112,3.95778
-368.924,0.994112,0.0254697,5,31,0,370.846,0.674636,0.936859,2.97536
-368.837,0.998655,0.0425005,3,7,0,368.991,0.64935,0.866824,2.97135
-369.552,0.74602,0.0711778,2,7,0,370.719,0.655833,0.857939,2.33354
-369.882,0.997587,0.0647189,3,7,0,370.478,0.656848,0.60491,2.27035
-370.304,0.984867,0.107017,3,7,0,371.276,0.625462,0.551214,1.79801
-369.546,0.346043,0.170553,1,3,0,370.308,0.628083,0.647236,1.89039
-371.202,0.934613,0.060523,2,7,0,371.592,0.682145,0.498995,1.98553
-370.275,0.933409,0.0855846,3,7,0,371.766,0.625467,0.562412,1.94195
-370.275,0.00393399,0.120129,2,3,0,373.615,0.625467,0.562412,1.94195
-370.184,0.995432,0.0198599,5,31,0,372.947,0.544552,0.828409,2.10915
-369.178,0.989355,0.0322628,3,7,0,370.805,0.591585,0.843624,2.29345
-368.961,0.964525,0.0513722,2,7,0,370.993,0.6781,0.744167,2.57076
-369.394,0.993789,0.076892,4,15,0,370.002,0.697351,0.943715,3.62299
-369.402,0.595908,0.122263,3,11,0,370.111,0.636974,1.0844,3.38394
-369.661,0.932028,0.0797065,2,7,0,370.779,0.597143,1.0278,3.0928
-368.958,0.446658,0.109879,2,7,0,372.118,0.65594,0.709371,2.33424
-368.967,0.983228,0.0518642,2,7,0,370.271,0.6284,0.724497,2.17267
-370.556,0.483986,0.0798469,3,11,0,372.75,0.756959,0.889328,3.12321
-369.829,0.975925,0.0412978,3,15,0,372.683,0.669006,0.91199,3.6908
-370.346,0.876478,0.0623374,1,1,0,370.398,0.648492,0.909951,3.7197
-371.544,0.982022,0.0756184,2,7,0,373.438,0.748844,1.21546,5.23842
-369.144,0.665504,0.114684,3,7,0,373.573,0.669302,0.885239,2.59628
-369.326,0.931845,0.0883207,2,7,0,369.874,0.609328,0.928629,3.01438
-369.041,0.433673,0.119782,2,3,0,369.571,0.65873,0.920232,3.27427
-369.146,0.912976,0.0567871,2,3,0,369.864,0.681978,0.968474,3.01277
-369.184,0.992862,0.0739496,3,11,0,369.683,0.668182,0.743685,2.25686
-369.184,0.0409832,0.113378,2,7,0,371.464,0.668182,0.743685,2.25686
-370.115,0.98218,0.02413,3,15,0,370.75,0.675387,0.778005,2.14072
-371.242,0.975141,0.0362317,4,27,0,372.973,0.648026,0.517043,2.07104
-369.713,0.998369,0.0533917,4,15,0,372.105,0.56798,0.723181,1.97493
-369.897,0.926414,0.0821553,2,7,0,371.459,0.568737,0.858012,2.12343
-369.897,0.0433429,0.108766,2,7,0,372.959,0.568737,0.858012,2.12343
-368.703,0.99636,0.0241796,4,15,0,370.341,0.633664,0.81892,2.51907
