# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:43:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\2lfd9ivl.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation8\exponential_priors-20240423194324.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-384.14,1,0.0625,1,1,0,462.982,0.733593,0.657106,1.54062
-384.14,0,14.3855,0,1,1,386.393,0.733593,0.657106,1.54062
-384.14,0,2.43117,0,1,1,388.747,0.733593,0.657106,1.54062
-384.14,5.94259e-220,0.239791,1,1,0,385.286,0.733593,0.657106,1.54062
-380.46,1,0.0186273,3,7,0,384.576,0.672825,0.622554,1.53455
-379.696,0.996665,0.0257257,5,47,0,381.948,0.708545,0.75233,3.10642
-383.244,0.898266,0.0399959,3,15,0,384.523,0.873697,0.560653,3.42926
-381.323,0.99423,0.0495538,4,15,0,384.044,0.53556,0.570822,1.61497
-380.657,1,0.0866807,2,3,0,381.47,0.724573,0.574925,1.57179
-380.657,0.00576769,0.15931,1,3,1,381,0.724573,0.574925,1.57179
-380.61,0.999766,0.0128523,5,47,0,381.937,0.740525,0.562476,1.6124
-380.318,1,0.0243388,4,23,0,381.503,0.61282,0.612152,2.23186
-380.443,0.997137,0.0465265,3,7,0,380.605,0.775237,0.606015,1.92392
-380.959,0.608086,0.0883968,2,3,0,382.665,0.538276,0.637067,1.75917
-379.467,0.986066,0.0498691,2,3,0,381.365,0.640939,0.639953,1.59934
-378.558,1,0.0917742,2,7,0,379.224,0.698523,0.517332,1.76399
-378.558,0.000185765,0.175425,1,3,0,380.249,0.698523,0.517332,1.76399
-378.657,0.993403,0.0157113,5,63,0,379.859,0.73739,0.619781,2.14985
-379.844,0.995698,0.0296827,4,15,0,380.326,0.743731,0.475089,2.20566
-381.442,0.767403,0.0560119,2,3,0,382.536,0.837809,0.497479,2.20212
-382.835,0.779721,0.0530378,3,7,0,386.123,0.627233,0.632974,2.80988
-379.255,0.982897,0.0521878,2,7,0,383.536,0.727791,0.775381,2.35952
-379.348,0.817994,0.0932643,3,15,0,383.203,0.669521,0.578882,2.31015
-379.348,0.420401,0.10226,1,1,0,380.942,0.669521,0.578882,2.31015
-378.773,1,0.0356137,3,11,0,379.453,0.729162,0.659433,2.10931
-380.235,0.926705,0.066175,2,7,0,381.327,0.71588,0.558282,2.66577
-379.266,1,0.0988897,2,3,0,379.888,0.749232,0.595138,2.59123
-379.266,0.214165,0.18036,1,3,0,380.315,0.749232,0.595138,2.59123
-378.684,0.995425,0.0365006,4,15,0,379.776,0.724253,0.735096,2.61766
-379.741,0.914358,0.0656369,3,7,0,380.174,0.717188,0.625179,2.81
-379.547,0.977914,0.0936159,2,3,0,379.775,0.73663,0.628408,2.81569
-379.547,0.238765,0.15775,1,3,0,381.776,0.73663,0.628408,2.81569
-381.407,0.987508,0.0359875,3,7,0,381.646,0.814206,0.521338,2.9269
-381.39,1,0.0621666,2,3,0,381.706,0.778889,0.510312,2.92358
-379.719,0.861412,0.110025,3,7,0,382.332,0.642853,0.91155,2.77909
-379.719,3.44138e-009,0.134024,1,1,0,381.958,0.642853,0.91155,2.77909
-378.618,0.99613,0.017201,5,47,0,381.526,0.619745,0.695269,2.06164
-380.242,0.966767,0.030028,3,15,0,382.537,0.799533,0.569485,2.13273
-381.16,0.993706,0.0481893,3,15,0,382.498,0.656598,0.422883,1.82493
-380.772,0.909921,0.0822241,3,15,0,383.801,0.683391,0.807317,1.97519
-381.478,0.869989,0.112574,3,7,0,381.9,0.828286,0.752146,2.83315
-379.558,0.673932,0.138752,2,3,0,380.321,0.653926,0.839898,2.85675
-378.522,0.817511,0.10457,3,7,0,379.892,0.711905,0.679033,2.50958
-379.335,0.755554,0.112875,2,7,0,379.87,0.642754,0.730752,1.83836
-378.888,0.999844,0.104506,3,7,0,379.706,0.726652,0.741481,2.34934
-378.888,0.00468653,0.17575,1,3,1,380.977,0.726652,0.741481,2.34934
-378.223,0.998046,0.0263353,4,31,0,379.244,0.693749,0.614932,2.13838
-378.349,0.990424,0.0441867,4,15,0,379.029,0.68895,0.548137,1.83256
-378.853,0.769394,0.0722727,3,9,0,379.944,0.694096,0.796514,2.35658
-378.79,0.998665,0.0694882,3,15,0,379.277,0.745177,0.571919,2.10538
-378.293,0.994748,0.114735,3,7,0,378.634,0.692492,0.606933,1.90968
-378.293,0.00457341,0.186444,1,3,0,386.534,0.692492,0.606933,1.90968
-378.389,0.998089,0.0300795,3,7,0,378.423,0.644615,0.585797,1.88825
-378.344,0.990443,0.04936,2,7,0,378.733,0.701213,0.560407,1.94811
-379.185,0.807903,0.0790728,3,11,0,380.33,0.715141,0.765037,2.24304
-380.188,0.999191,0.0830083,3,11,0,381.762,0.699939,0.454712,1.33528
-380.936,0.296925,0.134361,1,3,0,381.096,0.591232,0.412562,1.28073
-378.984,0.986128,0.0444049,4,15,0,381.78,0.643133,0.494248,1.66162
-379.046,0.991141,0.069638,2,7,0,379.963,0.747612,0.529872,1.9132
-378.339,0.580531,0.10982,3,7,0,379.213,0.678714,0.577066,2.02878
-379.543,0.987575,0.0694111,3,15,0,380.205,0.739821,0.440688,1.76707
-379.543,0.0328528,0.107993,1,1,0,381.437,0.739821,0.440688,1.76707
-380.226,0.999921,0.0207092,5,31,0,380.927,0.639817,0.969402,2.87163
-380.482,0.93264,0.0331493,2,7,0,383.015,0.639805,0.838186,3.00479
-379.453,0.988049,0.0456242,2,3,0,380.854,0.693063,0.908961,2.82176
-378.672,0.962533,0.0704717,3,11,0,380.65,0.726094,0.531171,1.95452
-382.903,0.517769,0.102557,3,7,0,383.656,0.669149,1.20751,3.16902
-379.753,1,0.0577279,3,7,0,384.47,0.764343,0.537517,2.51115
-378.934,0.631955,0.090638,3,7,0,380.802,0.746591,0.646625,2.59201
-379.91,0.824554,0.0653006,2,3,0,380.696,0.721731,0.613175,2.83023
-379.454,0.99362,0.0706245,2,7,0,380.809,0.682434,0.868034,2.41091
-380.65,0.287816,0.108477,3,7,0,382.256,0.807923,0.613239,3.02335
-379.419,0.991954,0.0384878,3,15,0,381.498,0.693622,0.782045,2.99804
-379.421,0.951354,0.0588217,3,15,0,380.439,0.597961,0.734355,2.21201
-379.343,0.836815,0.0823528,3,7,0,380.641,0.765045,0.550556,1.99884
-379.488,0.933505,0.0909723,2,7,0,381.306,0.661744,0.682001,2.62875
-378.967,0.231393,0.12212,3,11,0,379.7,0.757759,0.594093,2.24138
-378.805,0.989304,0.0396493,3,15,0,379.677,0.648038,0.560037,1.97193
-378.195,0.99927,0.0595909,3,15,0,378.865,0.691576,0.599992,2.0179
-378.368,0.956902,0.0909862,3,7,0,378.776,0.695456,0.686496,2.41917
-378.368,0.686637,0.127162,1,1,0,378.433,0.695456,0.686496,2.41917
-379.277,0.865481,0.103783,2,3,0,379.333,0.721931,0.617294,2.65947
-380.498,0.405569,0.120669,1,1,0,380.988,0.694904,0.592363,2.76048
-378.931,0.999371,0.0568946,4,15,0,380.687,0.696071,0.545269,2.18431
-378.543,0.993322,0.0859921,4,15,0,379.613,0.703024,0.600893,1.85558
-379.014,0.196021,0.127948,1,3,0,379.907,0.73886,0.620655,1.99987
-378.661,0.999615,0.0406434,3,15,0,379.496,0.671122,0.517664,1.84336
-379.169,0.968294,0.0611849,4,19,0,379.787,0.679874,0.833847,2.86449
-378.262,0.787673,0.0864173,3,7,0,379.89,0.651835,0.653857,2.09276
-378.59,0.993117,0.0862318,3,7,0,378.734,0.675534,0.523892,1.8672
-378.59,0.0610374,0.127055,2,3,0,380.134,0.675534,0.523892,1.8672
-379.219,0.996436,0.0320728,5,31,0,381.154,0.692413,0.875916,2.8365
-380.57,0.945427,0.0475884,2,7,0,381.237,0.654967,0.937405,3.22189
-378.234,0.993035,0.0639515,3,15,0,381.406,0.66195,0.693016,2.19499
-378.275,0.958822,0.0936708,3,11,0,378.528,0.652517,0.608088,1.96986
-378.15,0.570826,0.128327,2,5,0,378.536,0.683814,0.654701,2.13713
-378.15,0.435176,0.0855721,2,3,0,380.514,0.683814,0.654701,2.13713
-379.369,0.966538,0.0446005,4,15,0,380.014,0.671854,0.892378,2.84044
-380.584,0.747757,0.0619047,2,3,0,380.962,0.623316,0.846641,2.89221
-381.008,0.972514,0.0574679,2,3,0,381.815,0.692595,0.950554,2.43751
-380.428,0.799941,1.28514,2,3,0,381.016,0.724148,0.953633,2.80875
-380.428,0,12.85,0,1,1,380.527,0.724148,0.953633,2.80875
-380.282,0.339082,1.94974,2,3,0,380.421,0.721576,0.894314,3.50131
-378.835,1,0.446345,4,15,0,380.911,0.674222,0.830461,2.49689
-378.666,0.967877,0.620079,3,7,0,379.277,0.711281,0.580874,2.28231
-378.39,0.986838,0.896502,2,3,0,378.578,0.715423,0.594586,2.16265
-378.39,0.0533402,1.47843,2,7,0,380.67,0.715423,0.594586,2.16265
-378.629,0.987157,0.139599,3,15,0,380.852,0.714769,0.568761,2.21553
-380.432,0.98844,0.240639,4,15,0,381.406,0.8081,0.501209,2.20703
-380.76,0.852857,0.428004,2,5,0,383.849,0.781292,0.46496,2.443
-379.653,0.986462,0.503488,3,15,0,381.512,0.70788,0.598761,1.66754
-378.922,0.562925,0.910698,4,15,0,380.524,0.600255,0.706916,1.96767
-379.148,0.907949,0.435104,2,3,0,379.992,0.594886,0.712997,1.83421
-379.148,0.833359,0.619554,1,1,0,379.487,0.594886,0.712997,1.83421
-378.94,0.993244,0.699009,2,3,0,379.337,0.606692,0.671146,2.03451
-380.432,0.134636,1.29565,2,7,0,380.789,0.57461,0.863319,2.13654
-379.927,0.995281,0.169931,4,15,0,381.148,0.567923,0.764757,1.99267
-379.344,0.983423,0.318563,2,7,0,380.491,0.58973,0.675492,2.00234
-380.25,0.957566,0.571556,3,7,0,382.076,0.580859,0.765089,2.2992
-380.089,0.169974,0.94106,2,7,0,381.449,0.567596,0.679978,1.9791
-378.556,0.998779,0.146955,5,63,0,381.083,0.655801,0.719523,2.38889
-379.337,0.999183,0.274565,5,31,0,380.142,0.57781,0.61547,1.65649
-378.686,0.999462,0.508572,3,7,0,379.471,0.608584,0.657995,1.87824
-378.511,0.639869,0.933403,3,7,0,379.402,0.721823,0.591545,2.23239
-378.458,1,0.601704,3,7,0,378.56,0.726588,0.626313,2.24578
-380.669,0.551349,1.09372,2,3,0,380.993,0.790589,0.634936,2.08422
-380.108,1,0.55223,3,7,0,381.297,0.804848,0.592509,2.48215
-380.051,0.899153,0.994698,3,7,0,380.843,0.554722,0.652989,1.59384
-380.051,0.584902,1.3397,1,3,0,381.28,0.554722,0.652989,1.59384
-380.051,0.0241379,0.753824,2,3,0,382.752,0.554722,0.652989,1.59384
-378.728,0.998237,0.092204,5,63,0,381.315,0.627976,0.645343,2.09489
-378.708,0.99999,0.164549,5,47,0,379.71,0.735516,0.695009,2.55847
-380.428,0.980016,0.292253,4,15,0,380.94,0.779589,0.460144,2.28251
-379.535,0.991798,0.487502,3,7,0,380.863,0.722077,0.596437,1.73672
-378.474,0.820708,0.832071,3,7,0,379.724,0.65771,0.735859,2.09942
-378.54,0.922863,0.897955,2,7,0,379.806,0.659912,0.559417,1.95041
-378.447,0.865266,1.26339,1,3,0,378.586,0.656439,0.552199,1.66673
-378.447,4.73575e-036,1.52314,1,1,0,381.709,0.656439,0.552199,1.66673
-378.483,0.991046,0.198368,5,31,0,379.099,0.652882,0.673489,2.25874
-378.98,0.998255,0.333221,3,15,0,380.705,0.749041,0.712706,2.48809
-378.719,0.889206,0.565554,2,3,0,379.989,0.732673,0.690721,2.59814
-379.64,0.958438,0.724156,4,15,0,381.491,0.619467,0.466476,1.3114
-382.455,0.197053,1.09778,1,3,0,384.019,0.606138,0.381771,0.944986
-381.839,0.986134,0.251364,5,31,0,385.059,0.748913,0.961411,4.22518
-382.576,0.953439,0.408465,4,31,0,386.491,0.683291,0.29667,1.00154
-381.582,0.966318,0.608587,4,15,0,384.156,0.560449,0.849992,2.46108
-381.582,0.500165,0.930173,1,1,0,382.748,0.560449,0.849992,2.46108
-379.134,0.958692,0.460493,3,15,0,382.855,0.643036,0.746249,1.91761
-378.54,1,0.688278,2,7,0,379.664,0.621143,0.679177,1.89731
-378.54,0.0419135,1.12841,2,7,0,379.407,0.621143,0.679177,1.89731
-378.5,0.979642,0.192096,4,23,0,380.437,0.665358,0.526788,1.77147
-378.765,0.972231,0.300781,3,15,0,379.917,0.656184,0.617918,1.6818
-378.428,0.998309,0.460144,4,15,0,379.892,0.692444,0.656166,2.38551
-379.817,0.99288,0.743489,2,7,0,380.141,0.792343,0.634694,2.43598
-379.817,0.606835,1.17906,1,3,0,380.911,0.792343,0.634694,2.43598
-379.635,0.929638,0.770282,3,7,0,380.703,0.773832,0.74497,2.92353
-382.102,0.409672,1.05183,2,3,0,383.058,0.811399,0.649101,3.79526
-379.484,0.997884,0.443215,4,15,0,382.909,0.779373,0.571985,2.21613
-381.494,0.945478,0.704751,3,7,0,383.152,0.828304,0.466411,2.49163
-380.208,0.983813,0.991538,2,3,0,382.461,0.800074,0.605875,2.25224
-380.786,0.192562,1.51224,3,7,0,382.105,0.729461,0.612463,3.09065
-380.385,0.963895,0.402451,3,7,0,382.128,0.69909,0.651024,1.67494
-379.267,1,0.587732,2,3,0,380.228,0.692096,0.623913,1.71682
-379.05,1,0.924275,2,7,0,379.765,0.677007,0.474474,1.75782
-379.05,1.7901e-006,1.4459,1,1,0,379.408,0.677007,0.474474,1.75782
-378.966,0.998868,0.262144,3,7,0,379.162,0.681724,0.543918,1.57412
-378.939,0.977574,0.409869,3,15,0,379.976,0.710636,0.491202,1.64573
-378.378,0.988922,0.609385,2,7,0,380.308,0.661475,0.724524,2.32909
-378.42,0.28134,0.923913,2,7,0,379.809,0.697976,0.729342,2.47554
-378.545,0.999508,0.314879,4,15,0,378.884,0.713399,0.733781,2.54049
-378.923,0.971717,0.487557,4,15,0,380.961,0.678618,0.476364,1.53853
-379.221,0.978278,0.709147,3,15,0,380.207,0.751666,0.495133,1.95388
-378.524,0.993717,1.04135,3,7,0,380.045,0.656463,0.53583,1.63113
-378.524,0.0169174,1.57213,1,3,1,379.229,0.656463,0.53583,1.63113
-378.426,0.99303,0.319623,5,31,0,378.836,0.64967,0.731913,2.27019
-379.629,0.87271,0.482681,3,11,0,380.177,0.71557,0.495742,2.20565
-379.368,0.998562,0.568713,3,15,0,380.035,0.659926,0.486075,1.84153
-379.578,1,0.862253,2,3,0,379.834,0.685248,0.545324,1.49951
-378.944,0.601718,1.30558,2,5,0,379.768,0.756947,0.607754,2.26655
-379.108,0.839758,0.88857,2,3,0,379.588,0.74417,0.588176,2.50196
-379.311,0.219708,0.974235,2,7,0,381.803,0.735607,0.470995,1.95348
-382.545,0.886818,0.313022,2,7,0,383.688,0.73105,0.387222,2.24649
-380.655,0.990207,0.378021,3,11,0,384.316,0.722703,0.415457,1.30819
-379.398,0.982425,0.557978,3,11,0,381.652,0.677174,0.441172,1.64534
-379.752,0.987064,0.808181,3,15,0,380.025,0.607895,0.838496,2.08417
-380.968,0.504134,1.17702,1,3,0,382.991,0.637695,0.543821,2.26857
-379.831,1,0.671931,2,3,0,380.658,0.653878,0.777929,1.92169
-379.147,0.67904,1.00053,3,7,0,380.079,0.61645,0.60618,2.00742
-379.424,0.98477,0.802939,3,7,0,379.918,0.617445,0.476567,1.49655
-379.424,0.160875,1.15619,1,1,0,379.522,0.617445,0.476567,1.49655
-379.455,0.990549,0.347566,4,15,0,380.4,0.587894,0.544155,1.44085
-379.269,0.964574,0.506154,2,5,0,379.795,0.600021,0.532737,1.60538
-378.756,0.92549,0.699607,3,15,0,381.324,0.660873,0.696012,2.45605
-378.764,0.980281,0.89618,3,7,0,379.057,0.655292,0.556588,1.98941
-378.741,0.142921,1.26869,2,7,0,379.841,0.614637,0.671541,2.03654
-379.88,0.993098,0.378318,3,15,0,381.034,0.637059,0.938004,2.6927
-380.426,0.912341,0.548747,4,15,0,381.661,0.772539,0.414919,1.91954
-380.165,0.987895,0.683817,3,15,0,382.2,0.672162,0.38544,1.32371
-381.102,0.202757,0.976883,2,7,0,384.254,0.652083,0.438193,1.87609
-379.983,0.989859,0.331839,4,15,0,386.813,0.648563,0.588968,2.35034
-379.983,0.00339233,0.951445,2,5,0,381.584,0.648563,0.588968,2.35034
-379.983,0,2.23543,0,1,1,380.476,0.648563,0.588968,2.35034
-378.674,0.998996,0.220815,3,15,0,381.622,0.659668,0.545072,1.93325
-382.189,0.854255,0.229605,3,7,0,384.421,0.777931,0.618012,1.75294
-380.853,0.998076,0.204876,3,7,0,382.901,0.628053,0.587134,2.34875
-380.408,0.951575,0.312937,2,7,0,382.846,0.672979,0.550742,2.43704
-378.789,0.999205,0.453946,1,3,0,380.251,0.671073,0.606143,2.27419
-379.786,0.53359,0.802368,2,3,0,380.365,0.631338,0.741333,1.78527
-379.025,0.963582,0.339152,1,3,0,380.966,0.597726,0.725128,1.98924
-379.582,0.941875,0.559421,2,3,0,379.862,0.58548,0.779256,2.12641
-378.9,0.445732,0.872723,2,7,0,381.09,0.684923,0.824781,2.73042
-378.784,0.903787,0.285804,3,15,0,380.859,0.712021,0.558032,2.23317
-379.229,0.902509,0.400495,3,7,0,380.473,0.740805,0.486079,2.00844
-380.302,0.71052,0.560089,1,3,0,380.832,0.68936,0.47827,2.16125
-379.877,0.928403,0.43037,2,3,0,381.986,0.735496,0.502328,2.36367
-379.196,0.863027,0.653283,3,7,0,380.017,0.589468,0.572943,1.62114
-381.028,0.474162,0.807945,2,3,0,381.489,0.530785,0.556688,1.34785
-380.893,0.835248,0.30417,2,3,0,383.07,0.564576,0.581203,1.30223
-379.977,1,0.347623,2,3,0,380.778,0.56762,0.569962,1.40298
-379.977,0.0460731,0.651257,2,3,0,380.82,0.56762,0.569962,1.40298
-380.092,0.996749,0.0703283,6,63,0,382.069,0.725616,0.45571,1.43311
-379.534,0.999869,0.13109,5,31,0,380.591,0.628272,0.453154,1.45973
-379.484,0.941697,0.244208,4,23,0,386.884,0.690716,0.758642,2.0326
-378.235,0.929967,0.380329,2,7,0,380.42,0.660009,0.65199,2.12938
-378.681,0.951784,0.56853,3,7,0,379.256,0.687963,0.509776,1.87121
-378.681,1.23005e-015,0.89855,1,1,0,380.446,0.687963,0.509776,1.87121
-380.16,0.998977,0.095075,5,31,0,380.338,0.557098,0.592427,1.65464
-381.123,0.980156,0.17289,5,31,0,383.67,0.78491,0.882214,2.87669
-382.491,0.832048,0.295377,4,15,0,385.617,0.568891,0.551346,1.98101
-384.375,0.773159,0.332256,1,1,0,384.687,0.556459,0.523999,1.98141
-379.137,0.917498,0.317459,2,7,0,386.018,0.604122,0.595758,1.86657
-378.273,0.872433,0.449245,2,3,0,379.479,0.642683,0.619099,1.85384
-378.835,0.787063,0.559861,2,7,0,379.34,0.644944,0.622719,2.186
-378.779,0.912891,0.55341,2,7,0,380.228,0.60278,0.653824,1.82997
-378.779,0.0841173,0.763682,2,3,0,379.274,0.60278,0.653824,1.82997
-380,0.9947,0.118614,4,15,0,380.272,0.567205,0.67034,1.58404
-378.605,1,0.20403,4,15,0,380.484,0.723969,0.7162,2.38799
-378.713,0.985337,0.352774,3,7,0,379.553,0.611927,0.706689,1.96471
-378.745,0.987484,0.582426,3,7,0,379.366,0.740824,0.582466,2.26751
-378.369,1,0.959423,1,1,0,378.737,0.706987,0.599376,2.19319
-378.369,0,1.61896,0,1,1,380.119,0.706987,0.599376,2.19319
-379.051,0.979908,0.220054,4,15,0,379.546,0.73354,0.738916,2.33494
-384.288,0.680934,0.354236,3,7,0,385.302,0.88377,0.582182,3.99864
-379.223,0.982341,0.270213,3,7,0,386.188,0.728073,0.824382,2.65567
-379.808,0.962833,0.433859,2,3,0,379.96,0.670988,0.803311,3.01966
-380.197,1,0.659718,2,3,0,380.696,0.706064,0.98447,3.12027
-380.197,0.162488,1.09112,2,3,0,380.732,0.706064,0.98447,3.12027
-379.76,0.976712,0.238989,1,3,0,380.786,0.701838,0.920064,3.14922
-379.193,0.999274,0.373827,3,7,0,379.894,0.681156,0.875521,2.79399
-378.318,0.936717,0.613104,3,7,0,380.717,0.659928,0.627345,1.82594
# Adaptation terminated
# Step size = 0.43036
# Diagonal elements of inverse mass matrix:
# 0.0100237, 0.0472708, 0.0551915
-378.67,0.942665,0.43036,3,15,0,380.279,0.739909,0.661413,2.36869
-379.137,0.995611,0.43036,3,7,0,379.545,0.722222,0.801303,2.94277
-379.177,0.997911,0.43036,3,15,0,379.619,0.629593,0.492393,1.41286
-378.554,1,0.43036,3,7,0,379.213,0.669213,0.514185,1.66574
-379.384,0.867803,0.43036,3,15,0,380.343,0.756881,0.486245,1.99573
-379.179,0.843092,0.43036,3,7,0,380.54,0.604572,0.599516,1.53413
-378.284,0.868425,0.43036,2,5,0,379.916,0.65772,0.577336,1.77555
-378.245,0.877378,0.43036,3,7,0,380.218,0.647577,0.611479,1.89551
-378.341,0.996547,0.43036,3,7,0,378.385,0.656874,0.584372,1.73858
-379.027,0.938154,0.43036,3,11,0,382.307,0.749838,0.692995,2.71666
-379.77,0.786615,0.43036,2,3,0,380.386,0.754992,0.770351,2.42813
-378.696,1,0.43036,3,7,0,379.688,0.691429,0.720684,2.62992
-379.363,0.877857,0.43036,3,7,0,381.129,0.712735,0.678159,2.84733
-378.688,0.99654,0.43036,3,7,0,379.908,0.656549,0.657476,2.31716
-384.386,0.891772,0.43036,3,15,0,385.004,0.694158,0.24589,1.11546
-379.77,0.945028,0.43036,3,15,0,387.213,0.664383,0.927816,2.96124
-378.189,0.99129,0.43036,3,7,0,380.348,0.677897,0.681002,2.22196
