# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:45:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\rbwinlwg.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation9\exponential_priors-20240423194537.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-382.814,1,0.0625,2,3,0,456.663,0.714565,0.678232,1.45416
-382.814,0,14.3855,0,1,1,383.524,0.714565,0.678232,1.45416
-382.814,0,2.43117,0,1,1,384.365,0.714565,0.678232,1.45416
-382.814,3.25605e-190,0.239791,1,2,1,382.935,0.714565,0.678232,1.45416
-377.561,1,0.0186273,3,7,0,383.694,0.631329,0.63857,1.4577
-380.096,0.983545,0.0257257,5,31,0,380.977,0.837493,0.805244,3.32117
-379.449,0.902342,0.0384211,3,15,0,384.665,0.694774,0.662069,3.21762
-377.468,0.999598,0.0481783,4,15,0,380.116,0.593133,0.739528,1.63408
-376.508,0.506327,0.0856851,2,7,0,379.983,0.61629,0.699733,2.20922
-376.734,0.99293,0.0331245,4,23,0,378.096,0.608559,0.67961,1.592
-376.157,0.933847,0.0604882,3,7,0,377.413,0.599187,0.635731,1.86752
-375.752,0.581401,0.0928535,2,7,0,377.48,0.639552,0.555928,1.62354
-375.83,0.993932,0.0473089,3,15,0,376.337,0.678736,0.55552,1.76193
-375.943,0.999628,0.0889781,3,15,0,376.041,0.626783,0.725269,2.07113
-375.943,0.0199497,0.170165,1,3,1,376.272,0.626783,0.725269,2.07113
-376.244,0.997246,0.0155733,5,39,0,376.587,0.63285,0.519453,1.70066
-376.026,0.999435,0.0298818,4,23,0,376.52,0.606291,0.679382,1.94874
-376.337,0.996456,0.0573616,3,11,0,376.825,0.725627,0.672198,2.25271
-376.944,0.587245,0.108285,2,3,0,377.33,0.755525,0.647579,2.24494
-375.959,0.987891,0.0592352,5,31,0,377.68,0.597138,0.651714,1.77703
-376.121,0.727634,0.108187,4,15,0,377.515,0.623799,0.646721,1.63454
-376.892,0.716973,0.0907176,1,3,0,377.209,0.66351,0.644095,1.61693
-378.601,0.507496,0.0740031,1,1,0,378.921,0.689581,0.662485,1.58247
-376.887,1,0.0329724,3,7,0,378.986,0.674423,0.664551,1.70336
-376.924,0.959077,0.0616089,2,3,0,377.681,0.624508,0.555066,1.95001
-375.829,0.920261,0.10137,2,7,0,376.964,0.643618,0.623478,1.99571
-375.877,0.377221,0.148204,1,3,0,375.976,0.669368,0.68584,1.96571
-376.067,0.99583,0.0468469,4,15,0,376.512,0.673397,0.55394,1.94843
-376.016,0.998867,0.0845704,4,15,0,376.226,0.6942,0.541175,1.84361
-376.016,1.90672e-022,0.152451,1,1,0,382.403,0.6942,0.541175,1.84361
-375.949,0.999993,0.0176514,3,7,0,376.021,0.688687,0.545108,1.82953
-378.414,0.969344,0.0320205,4,23,0,378.909,0.702411,0.517003,2.45065
-378.55,0.952723,0.0529625,3,13,0,380.987,0.77203,0.424048,2.01854
-376.167,1,0.0831092,2,3,0,378.626,0.683822,0.508314,1.76426
-376.167,0.324672,0.146747,1,1,0,376.383,0.683822,0.508314,1.76426
