# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:09:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\dfpqxr7j.json
# init = 0
# random
#   seed = 308621210
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation0\normal_priors-20240422150909.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-40.4225,0.336383,0.125,2,3,0,46.5657,0.673916,0.64512,1.35284
-40.4225,0,4.30444,0,1,1,41.6525,0.673916,0.64512,1.35284
-40.4225,0,0.508756,0,1,1,40.9078,0.673916,0.64512,1.35284
-30.7684,0.976361,0.0409125,4,15,0,42.8738,0.978951,1.02695,2.52046
-32.3695,0.96763,0.0455214,3,7,0,32.5785,0.967368,0.977947,2.68234
-32.7452,0.990834,0.0593474,3,7,0,32.9056,1.12464,1.22025,2.0081
-33.7069,1,0.0927022,3,7,0,36.462,1.04415,2.34189,3.63478
-33.7069,9.28105e-007,0.159857,2,3,0,37.5933,1.04415,2.34189,3.63478
-32.6305,1,0.012431,4,15,0,33.8028,1.01375,2.27066,3.69818
-30.2902,0.992092,0.0226333,4,15,0,34.3811,1.28756,1.58225,3.30112
-29.6969,0.993971,0.0411992,3,15,0,31.8352,1.2138,1.6386,3.44617
-30.0849,0.935117,0.0765041,3,15,0,31.7164,1.06777,1.03369,2.55984
-29.011,0.996457,0.118809,2,3,0,29.8592,1.00608,1.29609,2.74776
-29.011,7.73858e-010,0.224316,1,1,0,29.7269,1.00608,1.29609,2.74776
-29.6087,0.995823,0.0189058,4,31,0,30.0856,1.18356,1.4677,2.86945
-29.1475,0.997814,0.0360802,3,7,0,29.9911,1.13982,1.46252,2.91554
-29.2392,0.998066,0.0689489,3,7,0,29.5693,1.00676,1.44488,2.63874
-29.4982,0.894209,0.13099,3,7,0,29.6259,1.20651,1.3233,2.75562
-29.9136,0.147948,0.180233,2,7,0,30.9632,0.996717,1.56337,3.53737
-30.8371,0.989943,0.0262147,4,31,0,31.524,1.30794,1.30245,2.66872
-29.7407,0.97513,0.0484963,2,3,0,31.6711,1.2718,1.21791,2.84694
-30.1179,0.971586,0.0850983,3,7,0,30.898,1.11138,1.00081,2.48618
-30.1179,0.141038,0.146511,2,3,0,33.3621,1.11138,1.00081,2.48618
-29.071,0.998193,0.0223701,4,31,0,31.0376,1.17468,1.40581,3.01262
-29.0185,0.999938,0.0417192,3,15,0,29.2862,1.01123,1.51636,3.14906
-28.9588,0.932683,0.0774014,3,7,0,29.8689,1.12268,1.29162,2.93854
-29.1942,0.90364,0.117484,1,3,0,29.5725,1.01002,1.26443,2.81504
-29.1942,5.10153e-008,0.163227,2,3,0,33.0692,1.01002,1.26443,2.81504
-29.3692,0.997248,0.0182089,3,15,0,29.687,1.00308,1.24927,2.84003
-29.0515,0.997058,0.0331018,3,15,0,30.0633,0.992412,1.42177,2.6832
