# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:09:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\1dj9vi42.json
# init = 0
# random
#   seed = 4014884693
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation1\normal_priors-20240422150938.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-19.8739,0.446861,0.125,2,7,0,26.9061,1.03635,0.767933,2.05626
-19.8739,0,5.26201,0,1,1,21.1102,1.03635,0.767933,2.05626
-19.8739,0,0.660083,0,1,1,20.3835,1.03635,0.767933,2.05626
-18.2344,0.974233,0.054917,3,11,0,23.3301,1.00212,0.803267,1.15682
-19.3403,0.795843,0.0620383,1,1,0,19.6248,1.01768,0.80223,1.11622
-17.4283,1,0.0491204,4,15,0,20.9898,0.776029,1.42101,1.96807
-16.1395,0.748248,0.0785096,3,7,0,18.8663,0.764768,1.19118,1.81519
-16.3101,0.918542,0.0616663,2,3,0,17.0463,0.731439,1.14737,1.7633
-15.3842,0.998769,0.0852131,3,15,0,16.6617,1.032,1.16237,2.05672
-15.3842,0.450493,0.155992,1,3,0,17.344,1.032,1.16237,2.05672
-15.2572,0.982768,0.0513563,4,15,0,15.8865,1.06469,0.94868,1.73786
-15.2925,0.991853,0.0920265,3,7,0,15.384,0.887073,1.07151,1.79343
-15.9902,0.366849,0.170779,1,3,0,17.0869,1.22713,0.967203,2.0038
-15.6283,0.992211,0.0447154,3,7,0,16.503,1.11678,0.911596,1.87306
-16.0573,0.841579,0.0838764,2,7,0,18.0355,0.986205,0.728185,1.35313
-15.4052,0.572762,0.0983291,4,15,0,18.5231,0.910843,0.872055,1.53471
-16.7146,0.963889,0.0504582,3,15,0,17.4128,0.85324,0.847326,1.21806
-17.1091,0.857439,0.0865594,3,7,0,17.8721,0.937076,0.703837,1.45613
-16.5245,0.990876,0.106884,2,7,0,19.1098,1.19026,1.03942,1.77524
-16.5245,0.0305608,0.196757,1,3,0,18.1137,1.19026,1.03942,1.77524
-16.4634,0.999764,0.0204962,4,31,0,18.0894,0.807807,0.833309,1.50837
-16.8429,0.996467,0.038962,3,7,0,16.89,0.795917,0.819744,1.50962
-15.3852,0.982919,0.0726335,2,5,0,17.2551,0.968789,0.852492,1.48471
-16.4014,0.42915,0.128895,2,7,0,17.5943,1.25989,1.08918,2.34278
-15.9811,0.993827,0.0459451,4,31,0,18.8368,1.11235,0.767666,1.47319
-16.1663,0.790976,0.0836973,2,3,0,17.4601,1.19165,0.790898,1.6207
-16.7115,0.821211,0.0849799,2,7,0,21.4945,0.766176,1.07162,1.4465
-15.4587,1,0.0939237,2,7,0,17.0074,1.08169,0.979863,1.95324
-15.4587,0.00536294,0.170531,2,3,0,17.5608,1.08169,0.979863,1.95324
