# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:10:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\zoygjbcw.json
# init = 0
# random
#   seed = 4154317557
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation2\normal_priors-20240422151034.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-12.4462,1,0.0625,1,1,0,22.2122,1.00394,0.934711,1.13637
-12.4462,0,14.3855,0,1,1,14.5048,1.00394,0.934711,1.13637
-12.4462,0,2.43117,0,1,1,16.886,1.00394,0.934711,1.13637
-12.4462,6.48272e-071,0.239791,1,3,1,12.6377,1.00394,0.934711,1.13637
-2.88253,1,0.0186273,3,7,0,13.3212,1.06142,0.807215,1.42797
-0.877244,0.999541,0.0257257,4,15,0,3.25337,1.09484,0.864286,1.67079
-2.97023,0.89445,0.0403496,2,3,0,3.21876,1.13943,0.912504,1.51141
1.69225,0.991341,0.049409,4,15,0,4.81521,1.10653,2.13384,3.53968
-0.385815,0.662586,0.0856437,2,3,0,1.1208,1.09428,1.86739,4.41515
1.35887,0.988902,0.0542301,2,3,0,0.76771,1.07125,1.96869,4.09189
-1.96945,0.785648,0.0978424,2,3,0,2.756,1.16659,2.65205,4.47502
2.3452,0.959721,0.0939981,3,7,0,5.83539,1.18203,1.95333,3.45772
2.3452,0.000434825,0.15764,2,5,0,-0.894013,1.18203,1.95333,3.45772
3.06087,0.999943,0.0130895,5,63,0,-2.13427,1.05725,1.56595,3.2825
3.18011,0.992547,0.0253224,4,23,0,-1.41805,1.19865,1.33745,2.7985
3.2902,0.993541,0.0477499,3,7,0,-2.96477,1.16684,1.42785,2.6932
1.92267,0.945595,0.0898832,2,3,0,-1.63075,1.23899,1.10899,2.58159
2.60177,0.374445,0.145191,2,3,0,-0.148172,0.919007,1.27673,2.36318
2.9205,0.967614,0.0413163,3,15,0,0.494312,1.00128,1.88289,3.15471
3.515,1,0.071463,3,7,0,-2.66636,1.0781,1.38655,2.76695
3.515,0.0507555,0.135109,2,3,0,-2.20334,1.0781,1.38655,2.76695
2.99394,0.99979,0.0152858,5,31,0,-2.52041,1.17418,1.80971,3.49224
2.75738,0.94897,0.0290034,3,7,0,-0.71025,1.13089,1.51699,3.39365
3.02231,1,0.046999,3,7,0,-2.67595,1.21154,1.66621,3.08819
3.45348,0.999802,0.0875521,3,7,0,-2.69241,0.999796,1.64668,3.08447
3.21815,0.587863,0.161347,2,3,0,-3.07242,1.05909,1.74145,2.95386
-0.223981,0.598691,0.0916334,3,7,0,0.851071,0.830515,1.19897,2.55123
-1.33505,0.98796,0.0541752,3,7,0,1.6922,0.862551,1.41813,1.89909
1.62643,1,0.0955623,3,7,0,1.10308,1.2965,1.24529,2.41022
1.62643,0.0676263,0.172629,1,3,0,2.81127,1.2965,1.24529,2.41022
2.84411,0.999652,0.0240293,5,31,0,-0.329307,0.918962,1.42986,2.38819
2.95198,0.958181,0.0434393,3,15,0,-0.301404,1.08389,1.41728,3.10074
2.3681,0.889051,0.0695472,3,7,0,-0.9046,0.858153,1.46515,2.35722
2.87825,0.896199,0.0918577,2,3,0,-1.57586,0.940263,1.64301,2.63393
2.9429,0.925692,0.123085,3,7,0,-0.641671,0.934144,1.81025,3.08058
2.9429,0.0399327,0.177384,2,3,0,-0.658047,0.934144,1.81025,3.08058
2.48057,0.995579,0.0252098,3,7,0,-2.33398,0.940536,1.94147,3.15736
3.35506,0.993731,0.0438159,3,11,0,-2.01613,1.0329,1.56123,3.12814
0.916227,0.754956,0.07514,2,7,0,2.5379,1.23219,1.00941,2.0812
-0.0710968,0.97393,0.0695273,3,7,0,0.713485,1.34631,0.945345,2.45673
0.214394,0.687425,0.112064,2,3,0,1.89709,1.05962,1.30783,1.98941
2.37803,1,0.0873356,1,1,0,-0.829732,1.04074,1.28627,2.19157
2.67807,0.401456,0.148871,3,7,0,-1.9257,1.12862,1.21203,2.69135
2.71033,0.999406,0.0572493,4,15,0,-2.33043,0.945848,1.8546,3.33437
3.70076,0.702655,0.0969635,2,7,0,-1.52242,1.0822,1.53717,2.92767
3.6691,0.979277,0.0790227,2,3,0,-3.58016,1.05433,1.58804,2.89673
3.6691,0.618869,0.126204,2,7,0,-2.56262,1.05433,1.58804,2.89673
1.37359,0.860024,0.0841376,3,7,0,-0.945202,1.1493,1.03737,2.04656
2.05236,0.91969,0.100338,3,7,0,-0.0291797,0.814033,1.53876,2.43552
