# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:11:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\an65ummx.json
# init = 0
# random
#   seed = 796872812
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation3\normal_priors-20240422151107.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-70.7933,1,0.125,2,3,0,78.6447,1.7549,1.05789,1.87968
-70.7933,0,14.3855,0,1,1,71.5176,1.7549,1.05789,1.87968
-70.7933,0,2.43117,0,1,1,70.9038,1.7549,1.05789,1.87968
-70.7933,8.95974e-048,0.239791,1,3,1,71.4391,1.7549,1.05789,1.87968
-55.3855,0.998808,0.0186273,3,7,0,72.2995,1.40924,0.7412,2.20141
-55.6711,0.999733,0.0256345,3,15,0,55.9772,1.23575,0.718483,1.98793
-59.4272,0.940386,0.0402263,3,7,0,60.7006,1.18645,0.848648,1.53082
-57.4244,0.942949,0.0568265,3,15,0,62.2297,1.11032,0.63601,1.42145
-56.9226,0.561013,0.0847187,2,3,0,61.3247,1.15395,0.581659,1.62067
-56.1684,0.998744,0.0389223,4,15,0,57.9272,1.18293,0.708098,1.79181
-55.9433,0.991595,0.0724104,3,7,0,56.5279,1.32408,0.627006,1.78726
-56.6353,0.895209,0.13337,2,3,0,56.8293,1.2784,0.635318,1.58757
-56.6353,0.0333208,0.182355,1,3,0,58.2047,1.2784,0.635318,1.58757
-55.8005,0.99999,0.0167754,6,63,0,57.3759,1.57102,0.586608,2.77962
-56.075,0.99232,0.0324136,5,31,0,56.6038,1.50343,0.589192,2.96058
-55.8788,0.96207,0.0609834,3,7,0,56.8164,1.54705,0.721725,2.32552
-55.7836,0.821871,0.104022,2,7,0,57.3986,1.47514,0.560755,2.53213
-55.7513,0.938861,0.11503,3,11,0,56.208,1.17997,0.944229,2.67619
-55.1559,0.439828,0.181389,2,5,0,56.4596,1.34834,0.752686,2.28266
-55.9011,0.989982,0.0634401,4,15,0,56.1875,1.35029,0.578495,1.82621
-55.0743,0.976657,0.116526,3,15,0,57.2011,1.3258,0.802681,2.43405
-55.0743,0.00182386,0.203898,1,3,1,55.9247,1.3258,0.802681,2.43405
-55.755,0.993305,0.0203008,4,15,0,55.9483,1.50503,0.834548,2.48195
-56.0302,0.999344,0.0375349,3,15,0,56.2432,1.37379,0.715162,3.07935
-61.6297,0.958141,0.0699238,3,15,0,63.8099,0.970272,0.918678,1.38658
-61.39,0.741188,0.11462,2,3,0,62.9659,0.833971,0.93076,1.40996
-56.0899,0.871685,0.100797,3,11,0,63.4382,1.18671,0.938134,2.89895
-55.4179,0.966089,0.128188,3,7,0,56.0152,1.37505,1.03695,3.2111
-55.4179,0.0747128,0.211212,1,1,0,55.8907,1.37505,1.03695,3.2111
-57.8498,0.955889,0.0294376,4,31,0,59.153,1.6722,0.944375,2.7674
-55.24,1,0.0473588,2,3,0,57.8677,1.4341,0.941575,2.88132
-55.2737,0.977583,0.0852151,2,7,0,56.3898,1.28275,0.861179,2.32918
-55.2791,0.889431,0.14296,2,3,0,55.502,1.31692,0.86065,2.33436
-55.2791,1.85378e-008,0.187912,1,1,0,58.8339,1.31692,0.86065,2.33436
-55.7999,0.99334,0.0232788,4,31,0,57.8098,1.34755,0.599778,1.86266
-57.936,0.960964,0.040613,4,31,0,59.0685,1.79608,0.800398,3.69144
-56.7118,0.61633,0.0645401,1,3,0,63.2626,1.39535,0.786393,3.59635
-58.4367,0.960575,0.0417245,4,23,0,61.3471,1.87932,0.439187,2.73651
-57.149,0.998404,0.0657369,3,7,0,58.8931,1.35675,0.464095,2.1593
-57.489,0.964966,0.113249,3,11,0,59.7823,1.40147,0.851845,3.99341
-56.1998,0.333333,0.177789,2,3,0,59.4533,1.2119,0.861661,2.90652
-56.5541,0.997606,0.0567536,4,15,0,56.8976,1.42131,0.870189,2.14997
-55.3862,0.94122,0.0964708,3,15,0,57.6282,1.37336,0.636454,2.26725
-56.3246,0.923842,0.14151,2,3,0,56.4399,1.26845,0.580447,1.64621
-56.3246,0.170941,0.19778,2,7,1,57.6962,1.26845,0.580447,1.64621
