# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:11:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\zw_ri7xg.json
# init = 0
# random
#   seed = 2419664284
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation4\normal_priors-20240422151132.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-65.0368,1,0.125,2,5,0,75.6697,0.794842,0.728789,1.92654
-65.0368,0,14.3855,0,1,1,65.6025,0.794842,0.728789,1.92654
-65.0368,0,2.43117,0,1,1,65.4376,0.794842,0.728789,1.92654
-65.0368,1.36554e-016,0.239791,1,3,1,65.1515,0.794842,0.728789,1.92654
-65.4938,0.994977,0.0186273,1,3,0,65.7038,0.786856,0.723209,1.94816
-61.8669,1,0.0253434,3,7,0,65.7331,0.85917,0.782924,1.53388
-64.218,0.888676,0.0397897,3,7,0,65.7931,0.988321,0.893083,1.45703
-63.2777,1,0.0478445,2,3,0,64.4546,0.993639,0.857133,1.51344
-63.2189,0.928288,0.0851933,2,7,0,65.7563,0.845225,0.914311,1.41393
-65.8654,0.698673,0.124835,3,7,0,66.8977,1.28784,0.598998,2.14713
-62.6212,0.687514,0.0900612,3,7,0,68.4682,0.999736,0.764421,1.86634
-64.6948,0.818924,0.0634672,2,3,0,65.6284,1.16755,0.751638,1.51782
-62.4186,1,0.0683982,2,3,0,64.521,0.989551,0.683358,1.54931
-63.572,0.944052,0.1309,2,7,0,63.9507,1.05286,0.530365,1.375
-63.572,0.0128545,0.210062,1,3,0,65.8182,1.05286,0.530365,1.375
-64.1138,0.999089,0.0187817,5,31,0,64.8254,1.13837,0.566655,1.67392
-63.0004,0.999735,0.036196,4,15,0,64.7831,1.01545,0.579711,1.38969
-63.0898,0.996982,0.0694476,3,7,0,63.2966,0.963446,0.551976,1.33572
-62.9944,0.962899,0.131115,4,15,0,66.1879,0.696563,1.09998,1.70529
-62.9944,0.020141,0.22153,1,3,0,65.1522,0.696563,1.09998,1.70529
-62.7618,0.999684,0.0223491,5,63,0,64.5306,0.677335,0.678594,1.21727
-62.7006,0.999939,0.0424436,4,23,0,63.1209,0.978943,0.961334,2.15406
-64.2983,0.805927,0.0798754,3,7,0,65.3811,0.840327,1.18989,2.58039
-62.3436,0.890804,0.084673,3,15,0,66.7498,0.888657,0.632242,1.29937
-64.4315,0.845233,0.114572,3,7,0,64.957,0.547647,1.05811,1.68991
-65.7433,0.777525,0.135451,2,3,0,66.7712,0.495321,1.03285,1.28795
-65.9974,0.30441,0.131843,3,7,0,67.9341,0.478185,0.914297,1.12203
-65.4991,0.999891,0.0340011,5,31,0,67.3767,0.494374,0.635147,1.06315
-64.7221,1,0.062247,2,3,0,65.6682,0.519826,0.657266,1.0785
-63.236,0.462236,0.112851,2,3,0,66.1414,0.662544,0.680602,1.05872
-66.5399,0.950302,0.0464525,4,15,0,67.3252,0.668522,0.400056,0.815876
