# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:11:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\_3iymgsj.json
# init = 0
# random
#   seed = 1279310219
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation5\normal_priors-20240422151153.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-65.4111,1,0.125,2,3,0,73.2782,0.678192,0.56346,1.4405
-65.4111,0,14.3855,0,1,1,66.7815,0.678192,0.56346,1.4405
-65.4111,0,2.43117,0,1,1,66.1787,0.678192,0.56346,1.4405
-65.4111,8.5132e-011,0.239791,1,3,1,67.7242,0.678192,0.56346,1.4405
-60.8545,0.99861,0.0186273,4,31,0,67.2745,0.641487,0.723191,1.313
-59.7698,0.999416,0.0256194,5,31,0,63.1348,1.03475,0.558865,1.21272
-61.6576,0.931572,0.040163,3,7,0,62.2315,1.2002,0.618778,1.22343
-60.3989,1,0.0552002,3,7,0,62.0431,0.914764,0.53227,1.31885
-59.5067,0.969054,0.0984269,3,15,0,62.7312,1.25488,0.641214,2.46622
-61.0234,0.521117,0.164157,3,7,0,62.0799,0.979164,0.69728,1.1573
-62.2813,0.985201,0.0675732,3,11,0,64.1605,0.644093,0.561675,1.0504
-61.3771,1,0.121982,1,1,0,61.8489,0.674928,0.609028,0.98425
-61.3771,0.0340401,0.232055,2,4,1,65.9131,0.674928,0.609028,0.98425
-62.26,0.955849,0.0213729,4,23,0,67.1948,0.817451,0.559049,1.49064
-60.2562,0.998312,0.0359392,3,7,0,63.0606,0.909046,0.599095,1.5938
-60.8282,0.933959,0.0688386,1,1,0,60.9359,0.886395,0.587552,1.58667
-61.4036,0.947781,0.107602,3,11,0,62.5857,0.713542,0.838584,1.92836
-61.4036,0.0365793,0.174743,2,5,0,61.6317,0.713542,0.838584,1.92836
-59.9992,0.999991,0.0178357,4,15,0,61.7934,0.736822,0.893937,1.9309
-60.4472,0.994904,0.0342332,4,15,0,62.1725,1.40355,0.963851,2.26555
-59.5864,1,0.064133,3,7,0,61.1141,1.31041,0.983056,2.1681
-57.9689,1,0.12084,2,3,0,59.2347,1.2163,0.855191,2.67624
-57.9689,0.00845993,0.22545,1,3,1,58.8023,1.2163,0.855191,2.67624
-59.7037,0.994679,0.0233292,5,31,0,61.5186,0.979813,1.71372,3.00665
-58.257,0.969455,0.0430542,3,7,0,60.7673,1.04114,1.51663,3.09951
-59.9284,0.868926,0.0731961,2,3,0,60.5358,0.796227,1.5288,3.03211
-60.3027,0.985214,0.0927873,1,1,0,60.4489,0.778098,1.56965,3.04877
-60.3027,1.90951e-016,0.162434,1,1,0,64.1261,0.778098,1.56965,3.04877
-59.2858,0.999829,0.0181211,5,63,0,62.1097,1.37121,0.873386,3.31978
-58.9586,0.996824,0.0331794,5,31,0,62.4633,0.851923,1.52622,2.76241
-59.054,0.999184,0.0596513,4,23,0,60.9668,1.16404,0.606436,1.54371
-57.8916,0.762056,0.106892,2,7,0,61.1456,0.957368,0.871757,1.69852
-57.4611,0.925776,0.100161,3,11,0,58.6825,1.06935,1.23208,2.58971
-57.4611,0.209528,0.1455,2,5,0,59.9578,1.06935,1.23208,2.58971
-59.4508,0.969461,0.0314734,4,23,0,62.4711,1.44727,0.926796,3.15201
-59.7372,0.998822,0.0514446,4,31,0,60.9381,0.730495,0.724319,1.38186
-59.2195,0.8067,0.0900717,3,7,0,62.0023,0.926977,0.62155,1.47255
-58.0392,0.973679,0.0950662,3,7,0,59.7175,0.939704,0.777167,1.61805
-58.0392,0.0115833,0.153926,2,7,1,64.5078,0.939704,0.777167,1.61805
-58.2472,0.992281,0.0212965,5,47,0,59.506,1.25518,1.06894,2.48215
-58.4389,0.992552,0.036278,4,23,0,59.8941,0.791845,0.960397,1.91013
-58.843,0.998151,0.0613416,4,15,0,60.0561,0.740198,1.16065,1.98978
-59.4411,0.837933,0.104352,2,7,0,61.1347,1.30556,0.738073,1.82381
-58.5509,0.964443,0.11848,3,7,0,60.1868,1.01682,0.688415,1.46857
-58.5509,0.0199291,0.183195,2,3,0,59.7111,1.01682,0.688415,1.46857
-59.3044,0.986997,0.0281075,5,39,0,62.3385,1.31543,1.13451,3.87089
-58.8683,0.979135,0.0460688,4,15,0,60.7306,1.23414,1.45468,3.2329
-58.7018,0.916618,0.0735737,3,7,0,59.8263,1.20294,1.48192,3.28031
-58.2237,0.977687,0.100534,3,11,0,60.3054,0.803124,1.04334,1.85505
-59.2355,0.206081,0.158101,2,7,0,60.5077,0.850504,0.822114,2.00288
-59.0679,0.999186,0.0400877,4,31,0,61.7089,1.04948,1.483,2.64685
