# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:13:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\si8kqz41.json
# init = 0
# random
#   seed = 3359125489
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation6\normal_priors-20240422151300.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
13.8141,0.340884,0.125,2,3,0,-1.75617,1.16921,0.766038,1.82817
13.8141,0,4.3398,0,1,1,-12.0157,1.16921,0.766038,1.82817
13.8141,0,0.514181,0,1,1,-12.3824,1.16921,0.766038,1.82817
14.8063,0.997119,0.0414061,3,7,0,-12.9703,1.29309,0.815431,1.88774
15.9909,0.989614,0.0489279,3,7,0,-14.3322,1.24404,0.891214,1.96083
18.7409,1,0.0683237,3,11,0,-15.6628,0.923196,1.38874,2.13187
18.1603,0.931181,0.110179,3,7,0,-17.0779,1.29693,1.51043,2.87394
18.1603,0.00478825,0.1538,2,3,0,-15.055,1.29693,1.51043,2.87394
19.2548,0.999597,0.0121368,5,47,0,-17.0179,1.0939,1.53816,2.70181
15.9086,0.94394,0.0220668,4,23,0,-12.1127,0.782133,1.26883,2.38205
16.4829,0.947568,0.0344934,2,3,0,-14.28,0.776717,1.2769,2.31115
15.6231,0.999069,0.0553304,3,15,0,-15.2136,1.28197,1.44338,3.51781
15.6246,0.872928,0.1052,3,7,0,-14.3506,0.799893,1.76244,2.22694
17.8378,0.333374,0.134915,2,3,0,-16.371,0.886186,1.43174,2.65632
18.8006,0.985386,0.0322438,3,11,0,-16.3309,1.06622,1.4948,2.35863
18.8841,0.809869,0.0593765,1,3,0,-17.1628,1.00346,1.37116,2.56571
19.1909,0.926144,0.0634198,2,7,0,-17.4978,1.08643,1.51956,2.54391
