# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:13:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\zw6i7uwz.json
# init = 0
# random
#   seed = 1582331695
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation7\normal_priors-20240422151349.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-84.3844,0.915888,0.125,2,7,0,92.7696,1.80096,0.296659,3.15402
-84.3844,0,12.3455,0,1,1,86.8726,1.80096,0.296659,3.15402
-84.3844,0,1.99395,0,1,1,86.3507,1.80096,0.296659,3.15402
-84.3844,0.428571,0.191644,2,7,0,86.7415,1.80096,0.296659,3.15402
-82.1607,1,0.049839,3,7,0,85.3121,1.39371,0.261224,3.58642
-80.4076,0.973259,0.0718423,3,7,0,82.6271,1.46524,0.290673,2.97784
-77.8728,1,0.10689,3,7,0,80.5234,1.3004,0.370941,1.73528
-77.8728,0.0193432,0.184758,3,14,1,83.5386,1.3004,0.370941,1.73528
-78.2891,0.997337,0.0152893,4,31,0,78.687,1.3739,0.398517,1.67392
-77.4546,0.991564,0.0276318,4,15,0,79.6787,1.16496,0.413492,1.8116
-80.0178,0.977975,0.0502279,4,31,0,81.5649,0.762893,1.15864,2.78798
-77.8418,0.88405,0.0886542,3,7,0,82.3016,0.963116,1.00384,1.95559
-78.6603,0.999373,0.117173,3,7,0,78.9981,1.42938,0.554745,3.39845
-76.4837,0.286208,0.223273,2,3,0,79.4572,1.07718,0.748818,2.714
-76.5608,0.998359,0.0459357,2,3,0,76.5798,1.06596,0.747569,2.70799
-76.2084,0.999163,0.087863,2,7,0,77.0799,1.06872,0.830432,2.69341
-76.2084,0.0233199,0.167567,1,1,0,77.2828,1.06872,0.830432,2.69341
-77.8201,0.999234,0.0161117,5,31,0,78.5672,0.9358,1.25504,2.86811
