# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:14:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\x79cpyt5.json
# init = 0
# random
#   seed = 1117257761
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation8\normal_priors-20240422151413.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-45.5745,0.000439722,0.125,2,7,1,47.1661,1,1,1
-45.5745,0,2.33693,0,1,1,47.2277,1,1,1
-45.5745,4.38914e-116,0.230475,1,3,1,45.7774,1,1,1
-38.6101,0.924559,0.016714,2,3,0,51.6552,0.980729,0.970403,1.06647
-31.1791,1,0.0150343,5,63,0,39.9602,1.90406,1.23305,3.27828
-29.9453,0.997961,0.020571,4,15,0,32.6969,1.85728,1.22119,3.51133
-27.4713,0.999584,0.0319158,4,15,0,31.8061,1.24485,0.895387,3.13065
-24.2356,0.997931,0.0540013,3,15,0,28.3156,1.30019,0.937701,1.79067
-21.7661,0.99049,0.0956449,3,7,0,23.9238,1.17131,1.23106,2.36788
-23.8763,0.165686,0.170665,1,3,0,27.1459,0.774507,1.12455,1.6851
-22.3624,0.998193,0.0228323,4,15,0,24.354,0.879314,1.18408,2.19125
-21.8333,0.97557,0.042996,3,11,0,23.6189,1.19865,1.2198,2.39736
-21.7965,0.820631,0.0759754,2,5,0,23.1588,0.97408,1.24616,2.41053
-22.5602,0.834884,0.0828197,3,7,0,23.2356,1.1168,0.987792,2.31331
-22.0989,1,0.0947987,1,1,0,22.4591,1.12648,1.00989,2.22653
-22.0989,0.0572093,0.181419,1,3,0,23.4707,1.12648,1.00989,2.22653
-22.1831,0.999718,0.0189741,4,15,0,22.3666,1.2337,1.03613,2.18502
-24.5923,0.987819,0.0365771,4,15,0,24.9559,1.12997,0.784027,1.4597
-21.569,0.996799,0.0675001,3,11,0,25.511,1.13276,1.30383,2.59271
-23.1399,0.305474,0.126957,3,7,0,24.0203,0.821213,1.17106,1.81316
-22.3443,0.987521,0.0301249,4,15,0,24.0457,0.99375,1.02087,1.83495
-21.5651,0.960609,0.0550525,3,11,0,23.5666,1.01412,1.26131,2.40633
-22.2872,0.816704,0.0921193,2,7,0,23.4174,0.902923,1.09786,1.96507
-22.4346,0.369747,0.100637,2,7,0,25.6218,1.22105,0.972087,2.29964
-22.4751,0.985288,0.0302924,4,31,0,23.9949,1.23734,1.28853,2.39282
-22.2433,0.944699,0.054045,2,7,0,25.1661,0.94068,1.17857,2.34614
-22.1602,0.682078,0.0851335,2,7,0,24.8677,1.04751,1.3512,2.84372
-22.92,0.995647,0.0636554,3,7,0,23.2479,1.36034,1.27358,2.65445
-23.0312,0.982381,0.114558,2,3,0,23.5686,1.20775,1.08059,2.7909
-23.2734,0.16679,0.196816,1,3,1,24.6229,1.19454,1.09551,1.92436
-24.7812,0.999225,0.0359051,3,15,0,26.4583,1.28162,0.717939,2.01689
-23.0545,0.984628,0.0646178,4,15,0,25.4185,0.81167,1.2107,2.20115
-23.5397,0.398485,0.110733,2,3,0,24.9038,0.95574,1.2266,1.838
-22.8489,1,0.0392851,4,31,0,23.9176,1.12748,0.92646,2.20638
-25.6283,0.733721,0.0697849,2,3,0,26.6485,1.1274,0.853096,2.49193
-22.795,0.979105,0.0609836,2,3,0,26.4265,1.30895,1.12519,2.25461
-24.7648,0.791079,0.101284,2,7,0,27.8018,1.13668,1.51107,3.71878
-24.2433,0.94926,0.102571,2,3,0,25.1812,1.25479,1.66549,2.81867
-23.2847,0.333342,0.155889,2,3,0,25.1225,1.25643,1.56891,2.82377
-21.8047,0.983908,0.0489734,3,15,0,24.0599,1.15383,1.14391,2.51084
-22.1642,0.960625,0.0811669,3,7,0,22.2322,0.983223,1.3041,2.13145
-25.624,0.124596,0.125914,3,7,0,27.0083,1.09377,0.880178,2.51003
-25.428,1,0.0241483,3,7,0,25.822,1.11133,0.881267,2.52102
-22.2713,0.995021,0.0413819,4,19,0,27.2927,1.27402,1.35209,2.9041
-23.2655,0.933831,0.0694993,3,15,0,25.4923,0.824131,1.02298,1.8215
-22.272,0.999991,0.0997827,4,15,0,23.5021,1.23274,0.995854,2.27689
-22.272,0.0821751,0.167285,2,3,0,23.4202,1.23274,0.995854,2.27689
-21.8995,0.999551,0.0306089,5,31,0,22.5099,0.999975,1.47758,2.54902
-23.4315,0.885148,0.051297,3,15,0,24.7614,1.36502,1.01207,2.12571
-22.039,0.995933,0.0650614,4,15,0,23.8197,0.916849,1.17861,2.04238
-25.1319,0.290357,0.106783,2,5,0,25.6925,0.983254,1.39897,1.94036
-24.7148,1,0.0333643,4,23,0,25.8659,0.998162,0.891153,2.20958
