# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = normal_priors_model
# start_datetime = 2024-04-22 14:15:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\kzotob0m.json
# init = 0
# random
#   seed = 1370886170
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\realisation9\normal_priors-20240422151525.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=normal_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-39.7048,1,0.0625,2,3,0,52.3252,0.857496,0.975023,1.16908
-39.7048,0,14.3855,0,1,1,41.4202,0.857496,0.975023,1.16908
-39.7048,0,2.43117,0,1,1,41.3184,0.857496,0.975023,1.16908
-39.7048,3.36093e-024,0.239791,1,2,1,43.3835,0.857496,0.975023,1.16908
-37.5029,0.999871,0.0186273,4,15,0,41.1575,0.800925,0.612743,1.45165
-32.2731,0.998671,0.0257159,5,31,0,39.0185,1.15736,0.870748,1.95275
-31.7407,0.994779,0.0402265,5,31,0,32.8524,0.752595,1.67629,2.49196
-30.8058,0.561563,0.0673104,3,7,0,35.7697,0.779586,1.26889,2.28942
-35.6179,0.996875,0.0303168,4,31,0,36.3056,0.648806,0.70539,1.17941
-35.4235,0.995804,0.054892,4,15,0,37.0196,0.611335,0.760225,1.15586
-35.3274,1,0.101224,1,1,0,35.4994,0.622916,0.75612,1.15941
-33.9101,0.230118,0.191384,2,5,1,37.3807,1.00655,0.696938,1.40294
-31.7339,0.999848,0.0321858,3,15,0,34.0905,0.93932,0.886959,1.70124
-32.4609,0.901714,0.0617731,2,3,0,32.8769,0.900097,0.830454,1.75017
-31.9426,0.929317,0.08723,3,7,0,33.9222,0.957967,1.17541,1.83455
-32.1743,0.908953,0.134172,3,7,0,33.6077,1.27393,1.19749,3.14065
-32.1743,0.240419,0.193297,1,1,0,33.8519,1.27393,1.19749,3.14065
-32.6699,0.987093,0.0360312,3,7,0,33.4081,1.266,1.17328,3.29034
-32.6,0.965932,0.0663544,4,15,0,35.6453,0.787304,0.907995,1.45048
-32.6,0.313879,0.113758,3,7,0,34.08,0.787304,0.907995,1.45048
-31.2086,0.999553,0.027703,4,31,0,33.6144,0.972082,0.946964,1.9457
-30.7893,0.996895,0.0524965,3,7,0,31.6078,0.946952,1.02509,2.08363
-32.7174,0.6641,0.0977409,2,3,0,33.2205,0.973107,1.20792,1.81313
-34.386,0.993802,0.0684908,3,11,0,35.3821,1.0154,0.69971,1.79444
-31.7188,0.859424,0.124927,2,7,0,38.5429,1.04971,1.62987,2.63794
-31.9719,0.909354,0.153691,2,7,0,32.2858,0.873865,1.09508,2.47488
-31.9719,2.28604e-032,0.21709,1,1,0,32.7257,0.873865,1.09508,2.47488
-33.9352,0.983353,0.023709,3,15,0,35.6407,0.754958,1.12424,2.50986
-32.034,0.991613,0.0415774,3,11,0,36.3011,1.21055,1.12687,2.2042
-30.4421,1,0.0739023,2,3,0,31.9847,1.06803,1.1486,2.37595
-31.6335,0.343329,0.133134,2,7,0,32.2542,1.02111,1.32043,2.11951
-32.3105,0.981248,0.0399143,3,7,0,32.8945,1.05479,1.37723,2.16312
-32.2088,1,0.0680475,2,7,0,32.3851,0.850591,1.19483,2.68836
-30.1168,1,0.120912,1,3,0,31.5587,1.02597,1.29827,2.62629
-30.1168,1.13179e-008,0.212854,1,1,0,31.7702,1.02597,1.29827,2.62629
-30.3728,0.998992,0.0267814,4,31,0,30.7801,1.09542,1.36176,2.83404
-31.1115,0.886311,0.0471522,3,15,0,33.7687,1.07499,1.2626,2.21692
-31.0921,0.999043,0.0614637,3,7,0,31.6273,0.753402,1.22376,2.19348
-31.8163,0.95648,0.106575,2,7,0,36.4884,0.751102,1.00254,1.64251
-31.8163,0.156326,0.164389,3,7,0,32.2489,0.751102,1.00254,1.64251
-35.9565,0.865546,0.0332725,3,7,0,36.5597,0.87279,1.1286,1.45713
-34.5933,0.996996,0.0409234,3,15,0,38.4667,0.868912,1.19065,3.09028
-33.3293,0.918967,0.0696236,2,3,0,36.7324,0.843871,1.75767,2.38078
-33.0301,0.946763,0.0968859,2,3,0,34.6111,0.87819,1.80555,2.52166
-30.8548,0.392712,0.143645,2,3,0,32.71,1.16269,1.28023,2.90684
-31.6346,0.984172,0.0548117,4,15,0,32.8797,0.785033,1.68081,2.98815
-31.0382,0.966615,0.0888087,3,7,0,32.108,1.18036,1.3896,2.78195
-31.2927,0.519237,0.136999,3,7,0,32.0518,1.02642,1.81254,3.25095
-30.224,1,0.0721377,4,15,0,31.512,1.02331,1.28335,2.38841
-30.2154,0.989128,0.119881,2,5,0,30.6901,0.916598,1.18944,2.28819
-30.2154,0.00610906,0.192837,2,3,0,31.9708,0.916598,1.18944,2.28819
-30.4422,0.997813,0.030848,3,11,0,30.7168,0.950934,1.09871,2.19042
-31.115,0.954729,0.0507529,3,7,0,31.9409,0.88704,1.15786,1.86039
-30.9964,0.690092,0.075089,3,11,0,34.5051,0.911799,1.39411,2.17988
-30.0593,1,0.0601897,2,7,0,31.2354,0.917919,1.36051,2.56001
-30.0992,0.823381,0.0981152,2,3,0,30.5945,0.910071,1.36998,2.58676
-31.2927,0.93508,0.106486,2,3,0,31.4911,0.73437,1.48078,2.24752
-31.4122,0.132339,0.148481,2,3,0,33.6622,0.966148,1.49259,2.32051
-30.6862,0.994486,0.0341453,3,15,0,34.7841,1.15268,1.28029,2.75329
-30.1287,0.99918,0.0544836,3,15,0,30.8781,0.908692,1.23775,2.33324
-30.5712,0.921461,0.0873408,3,7,0,31.5362,0.831031,1.24479,2.35349
-30.847,0.793631,0.117334,3,7,0,31.5812,0.786732,1.16234,2.0847
-30.3461,0.984703,0.118753,3,7,0,31.4246,0.901127,1.29998,2.18655
-30.2767,0.229468,0.182055,2,6,1,30.8358,0.990368,1.28226,2.69437
-30.7949,0.997291,0.0542509,3,15,0,31.8329,0.924227,1.11393,1.91381
-31.168,0.747726,0.0853947,3,15,0,33.174,0.850237,1.3783,2.81778
-31.5915,0.978034,0.078428,2,3,0,32.3511,0.826538,1.78105,2.74138
-31.3062,0.973965,0.11763,2,7,0,32.8915,0.927319,1.11147,1.81969
-31.9886,0.67405,0.174117,2,3,0,32.7558,1.14066,0.895875,2.12327
-31.8409,0.540691,0.13657,3,7,0,33.6199,0.68807,1.18553,1.78259
-31.539,0.968083,0.081248,2,3,0,32.2377,0.74296,1.05347,1.83328
-31.8061,0.599711,0.118249,3,7,0,32.9946,1.18791,0.985205,2.13292
-30.6821,0.936763,0.0799687,4,15,0,32.4113,1.01046,1.06834,2.30448
-31.3729,0.688718,0.108675,2,3,0,32.2809,1.16698,1.02799,2.41029
-31.088,0.99857,0.0885682,3,7,0,31.5298,1.13785,1.05703,2.42095
-30.8377,0.833704,0.135986,3,7,0,32.9047,0.864362,1.39853,2.8028
-30.8377,0.0269279,0.148804,2,7,0,31.7041,0.864362,1.39853,2.8028
-30.046,0.985643,0.0319526,3,15,0,32.543,0.970526,1.41056,2.59901
-30.0791,0.998707,0.0477228,3,15,0,30.2707,0.946777,1.43545,2.58122
-30.8929,0.803513,0.072863,3,15,0,32.2429,0.905295,1.22745,1.98144
-30.6493,0.928562,0.0751541,2,7,0,33.7002,1.01355,1.05712,2.09032
-32.1942,0.80594,0.0992306,3,7,0,32.7094,0.803875,1.03714,1.57481
-34.2972,0.195437,0.102637,3,15,0,37.7172,1.0688,0.749892,2.10215
-33.653,1,0.0320861,2,3,0,34.3504,1.06616,0.767077,2.03715
-34.6268,0.964786,0.0486861,2,3,0,34.8325,1.06471,0.734894,2.09189
-34.871,0.914441,0.0687186,4,15,0,37.9074,1.1397,1.31056,4.02665
-35.0712,0.968143,0.0877149,3,15,0,36.6181,0.574949,0.935065,1.25275
-32.6678,0.827254,0.123855,3,7,0,35.9765,1.14377,0.830965,2.09952
-32.4417,0.897876,0.133112,2,7,0,35.1596,1.32917,1.14947,2.85682
-33.332,0.0452753,0.163552,1,3,0,36.0049,1.2402,1.22186,2.17967
-32.9169,0.992501,0.0397838,3,11,0,34.8121,0.741185,1.35695,2.76507
-30.7353,0.996923,0.0586447,3,7,0,32.7878,0.800068,1.49848,2.62867
-31.3212,0.998426,0.0868648,3,7,0,31.5831,1.15292,1.49958,3.43702
-30.7984,0.373287,0.128576,3,7,0,32.4283,0.910807,1.38834,2.90009
-30.1011,0.982808,0.0591254,2,3,0,31.099,0.958687,1.4307,2.75649
-32.4828,0.618688,0.0848559,2,7,0,34.3033,1.09714,1.84942,3.06127
-30.7371,1,0.0619273,2,7,0,33.6303,0.871471,1.34392,2.713
-31.6819,0.665741,0.0914228,2,3,0,32.8812,0.993419,1.6025,2.49605
-31.3158,0.983719,0.0728879,2,7,0,33.6303,1.12623,1.18826,2.95633
-33.3575,0.68591,0.104029,2,7,0,34.7477,1.29129,1.11482,2.17244
-30.199,1,0.6891,1,3,0,33.0728,1.0053,1.22365,2.52639
-30.199,0,9.91305,0,1,1,31.8643,1.0053,1.22365,2.52639
-30.199,9.91884e-166,1.67532,1,1,0,30.8272,1.0053,1.22365,2.52639
-33.6585,0.965804,0.16524,4,15,0,34.6627,0.591823,1.43715,1.89088
-32.4675,1,0.202694,3,7,0,33.6946,0.616406,1.3326,1.95946
-30.11,0.996199,0.315637,3,7,0,32.5944,0.914913,1.36086,2.38032
-30.5128,0.992894,0.52961,2,3,0,30.5812,0.799849,1.31799,2.31253
-30.5128,0.00546081,0.925186,1,1,0,30.8147,0.799849,1.31799,2.31253
-31.2025,0.988464,0.0747101,4,15,0,32.561,0.817536,1.17943,2.36249
-30.6483,0.996507,0.13254,4,23,0,32.0858,0.902825,1.21172,2.01137
-30.3464,0.999614,0.24538,3,15,0,31.6172,0.978031,1.34225,2.81494
-30.605,0.922235,0.462715,2,3,0,31.1179,0.952521,1.441,3.00232
-30.605,9.74568e-013,0.685521,1,1,0,34.2123,0.952521,1.441,3.00232
-30.6457,0.999817,0.0563832,2,3,0,30.6495,0.950011,1.4389,3.00843
-30.0571,0.999263,0.107942,3,7,0,30.8308,0.949214,1.43374,2.67495
-30.2108,0.990951,0.205449,3,15,0,31.1299,0.931266,1.48404,2.81354
-31.7706,0.962216,0.378824,3,11,0,32.5052,0.688655,1.53813,2.34113
-31.7706,0.0799458,0.635221,3,7,0,33.2819,0.688655,1.53813,2.34113
-30.3034,0.998529,0.0729938,6,63,0,32.6519,1.01042,1.50328,2.71634
-30.5939,0.99964,0.137507,4,15,0,30.8107,1.1134,1.23174,2.74476
-30.5023,0.998208,0.257512,3,7,0,30.9284,1.11159,1.22514,2.52061
-30.1208,0.532435,0.475585,2,3,0,32.4545,1.03717,1.33688,2.6128
-30.4781,0.971152,0.222022,3,15,0,34.3236,0.862848,1.57251,2.69498
-30.7125,0.975481,0.375956,3,7,0,30.8844,1.15012,1.22547,2.60932
-30.7125,0.0462809,0.639056,1,1,0,32.1155,1.15012,1.22547,2.60932
-31.0514,0.998735,0.0757029,3,7,0,31.0585,1.18517,1.24926,2.57089
-31.4981,0.997723,0.138137,5,31,0,32.9381,0.884855,1.09257,1.74366
-31.2649,0.984634,0.248837,4,15,0,32.6711,1.17296,1.57527,3.11847
-32.4932,0.917015,0.427973,3,15,0,34.4423,1.33613,1.35846,3.14418
-33.7406,0.963924,0.605189,3,7,0,35.0164,0.788958,2.1429,3.42029
-33.7406,0.000775545,0.967515,1,1,0,34.9626,0.788958,2.1429,3.42029
-34.4306,0.992688,0.112199,5,63,0,37.545,0.77406,0.829537,1.22086
-33.887,1,0.195009,4,15,0,35.1541,0.916501,0.703042,1.50036
-32.7886,0.998136,0.342524,2,3,0,33.9004,0.929705,0.781687,1.51836
-34.5011,0.974265,0.593237,2,3,0,34.6359,0.853113,0.692206,1.21119
-34.5011,5.03107e-011,0.956509,1,3,1,36.8977,0.853113,0.692206,1.21119
-35.3187,0.998466,0.120525,5,47,0,36.1768,1.06169,2.40178,4.37272
-32.1921,0.986258,0.207895,4,15,0,37.4733,0.796903,1.70455,3.2097
-30.9691,1,0.344592,2,3,0,32.1137,0.834087,1.68867,2.83203
-30.1987,0.999581,0.586944,3,7,0,31.1054,1.01348,1.21615,2.3278
-30.0483,0.719772,0.990635,1,3,0,30.4217,0.960947,1.41658,2.68866
-30.5526,0.167426,0.821637,2,7,0,31.0784,0.827014,1.36599,2.54168
-31.0979,0.973918,0.17246,4,15,0,32.0396,1.18513,1.22844,2.89194
-32.0795,0.978377,0.272403,3,7,0,32.5367,1.28105,1.12195,2.84975
-31.0288,1,0.432111,2,3,0,32.2192,1.17745,1.15669,2.4914
-30.3832,0.50958,0.717791,3,7,0,30.6993,0.913078,1.41077,2.342
-30.3046,0.996957,0.360881,2,7,0,31.0696,0.982618,1.15097,2.35242
-30.3046,0.000628254,0.591549,1,1,0,33.4999,0.982618,1.15097,2.35242
-31.8143,0.998951,0.089105,5,31,0,32.106,0.737938,1.70857,2.76872
-31.6164,0.956042,0.147128,4,15,0,33.8921,1.0622,1.3215,3.26807
-32.5925,0.983621,0.218068,3,7,0,33.996,1.31911,1.5168,3.38185
-30.743,0.988177,0.342941,3,7,0,32.8387,1.11148,1.44027,3.16192
-30.8609,0.587659,0.541791,3,7,0,32.1345,0.86913,1.55593,2.43835
-32.0317,0.941051,0.337156,3,11,0,32.8449,0.85501,1.72122,3.38225
-31.653,0.967441,0.475189,4,15,0,32.8971,1.06865,1.77004,3.01638
-31.213,0.501526,0.70816,3,7,0,31.7704,1.16702,1.31182,3.15291
-31.8582,0.959745,0.365046,2,3,0,32.4385,1.24759,1.55022,3.26326
-34.6222,0.260372,0.532808,2,3,0,36.1489,1.01785,1.26241,3.65206
-30.106,0.997612,0.161588,3,7,0,35.3196,0.999204,1.41549,2.61713
-32.4704,0.911677,0.256636,3,15,0,34.0159,0.866255,1.88432,3.57265
-32.9787,1,0.335106,3,7,0,34.6614,1.24371,1.84149,3.67041
-33.4472,0.492232,0.529699,2,3,0,35.4009,1.00273,1.82205,4.14
-30.3672,0.9991,0.274275,3,15,0,34.2206,0.855925,1.18689,2.15842
-30.4477,0.857143,0.43083,3,11,0,31.7415,0.885334,1.50386,2.47438
-31.189,0.773169,0.495273,2,7,0,32.0366,0.914558,1.64039,3.27381
-31.6789,0.889864,0.474524,3,7,0,32.8683,0.791147,1.35278,2.70667
-32.0293,0.719385,0.583712,3,15,0,33.9365,0.667525,1.41235,2.35941
-31.9237,1,0.49854,2,3,0,32.3367,0.681193,1.44682,2.09809
-31.9237,0.010868,0.771981,2,3,0,34.6527,0.681193,1.44682,2.09809
-32.9868,0.988274,0.148612,4,15,0,33.4796,0.618421,1.17575,2.00213
-32.411,0.976784,0.224919,2,7,0,34.4065,0.688513,1.0893,1.9861
-31.447,1,0.330874,2,7,0,33.6579,0.761776,1.09958,2.04639
-31.447,0.095595,0.508586,2,3,0,34.2904,0.761776,1.09958,2.04639
-31.3153,0.993999,0.120903,4,15,0,32.3198,0.749403,1.21028,1.85734
-31.2394,0.96256,0.18368,5,31,0,32.4979,1.118,1.24561,3.05824
-30.6627,0.997975,0.260595,3,15,0,33.2655,1.04062,1.1153,2.11783
-30.3133,0.858369,0.395802,4,15,0,33.0103,0.902595,1.50753,2.81311
-30.7162,0.994961,0.451681,4,15,0,31.0364,0.778669,1.2483,2.18674
-31.3295,0.299339,0.677111,2,7,0,33.5234,0.775822,1.59433,2.8144
-30.2813,0.994629,0.251955,3,15,0,33.6798,0.881133,1.21408,2.13248
-31.387,0.896204,0.37699,4,15,0,32.9003,1.16712,1.17203,2.92902
-30.8892,0.907164,0.46245,3,7,0,32.0481,0.881035,1.22343,2.55663
-30.6349,0.441663,0.578487,3,7,0,31.9728,0.799901,1.20632,2.14816
-32.842,0.793416,0.290061,3,7,0,33.4368,0.958078,1.15171,1.72619
-35.4253,0.683579,0.290653,2,3,0,37.2452,0.883493,0.83838,2.2533
-33.4403,0.975513,0.235308,3,7,0,36.242,1.00505,1.34696,1.95459
-33.1476,0.989025,0.335481,3,15,0,34.8076,1.148,1.01475,2.97353
-31.8232,1,0.489268,1,1,0,32.8843,1.18571,1.09851,2.87754
-31.8232,0.128981,0.726174,1,1,0,32.8208,1.18571,1.09851,2.87754
-31.2314,1,0.204186,2,3,0,31.8816,1.16259,1.12016,2.71826
-31.6005,0.992951,0.303135,2,3,0,31.6532,1.18077,1.08165,2.74301
-30.8793,0.97883,0.442507,4,15,0,33.8927,0.99034,1.03297,2.24318
-30.5708,1,0.626911,1,1,0,30.7466,1.02327,1.073,2.17567
-31.6257,0.615331,0.921241,2,7,0,31.7088,1.18549,0.991761,2.28341
-32.2243,0.991061,0.658569,3,7,0,32.2607,0.790762,1.87355,3.16505
-32.2243,0.0973886,0.948426,2,3,0,33.8154,0.790762,1.87355,3.16505
-32.4163,0.95231,0.260943,4,15,0,33.3225,1.18671,0.911871,1.92969
-31.2595,0.960291,0.350177,3,9,0,34.7444,0.911664,1.55171,3.22216
-35.6986,0.937364,0.475659,2,3,0,36.1786,1.53568,1.39879,3.48757
-33.5922,1,0.618024,1,1,0,35.1338,1.37893,1.37182,3.68885
-33.5922,0.100743,0.89789,2,3,0,34.1181,1.37893,1.37182,3.68885
-33.5922,4.36123e-301,2.51809,1,2,1,36.0255,1.37893,1.37182,3.68885
-33.0768,0.999908,0.262133,4,15,0,35.5229,0.778883,2.03395,3.20486
-30.4018,1,0.281538,4,15,0,33.2113,1.02705,1.56238,3.01411
-32.2809,0.809057,0.388245,4,15,0,32.7083,0.809545,0.924346,1.87095
-32.1658,0.993388,0.347934,2,5,0,33.1234,0.830889,0.891436,1.53662
-31.753,0.185895,0.57619,3,7,0,33.9153,0.977383,0.959222,1.69474
-32.2385,0.999425,0.0814014,4,15,0,32.721,0.974112,0.834302,1.62264
-32.8342,0.999035,0.145579,4,15,0,33.1348,0.977784,0.775065,1.54137
-33.0753,0.980811,0.267553,3,7,0,33.3729,0.973373,0.785734,1.45276
-37.8441,0.0838568,0.471641,1,1,0,38.1951,1.07234,0.905961,1.29604
