# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = uniform_priors_model
# start_datetime = 2024-04-25 13:34:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\2onfzajk.json
# init = 0
# random
#   seed = 308621210
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\uniform_priors\realisation0\uniform_priors-20240425143448.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-34.0011,1,0.0625,3,7,0,56.7055,1.03846,0.68918,1.77432
-34.0011,0,14.3855,0,1,1,38.1361,1.03846,0.68918,1.77432
-34.0011,0,2.43117,0,1,1,34.2857,1.03846,0.68918,1.77432
-34.0011,9.41739e-011,0.239791,1,3,1,34.2117,1.03846,0.68918,1.77432
-33.7544,0.999105,0.0186273,5,31,0,35.3733,1.2567,0.670036,1.93633
-28.5637,0.998677,0.0256572,5,31,0,34.3202,0.940137,1.62538,3.18219
-28.5067,0.964312,0.0401329,3,11,0,29.6594,1.10196,1.64512,3.13246
-28.1802,0.995479,0.0610757,2,7,0,29.0749,1.1996,1.54035,3.43237
-28.4638,0.987937,0.107472,2,7,0,28.8912,1.02177,1.36007,2.9629
-28.3055,0.270527,0.190336,2,7,1,28.527,1.04637,1.53511,2.99872
-28.1821,0.990986,0.0354794,4,23,0,29.0304,1.03912,1.71794,3.36192
-28.0414,0.992638,0.0652756,2,7,0,28.5639,1.15599,1.64881,3.52719
-30.6116,0.553021,0.121561,3,7,0,31.8888,1.01157,2.35456,5.58543
-30.8858,0.997976,0.0571435,3,7,0,31.5864,1.13253,2.7328,4.84718
-30.5042,0.936018,0.108986,3,7,0,33.6279,1.50341,1.68828,4.396
-30.8065,0.166695,0.170913,2,6,1,33.9032,1.4942,2.17461,5.54371
-29.9375,0.995355,0.025046,4,15,0,31.8041,1.42824,2.07011,5.05831
-32.1135,0.883554,0.0475452,2,7,0,33.2269,1.05504,1.73768,5.408
-32.6385,0.980881,0.0638402,3,7,0,33.0198,1.16634,2.24249,3.46682
-33.7128,0.868009,0.114514,3,7,0,34.9086,0.826269,2.49201,3.47407
-32.4751,0.299381,0.145504,2,7,0,34.4645,0.692167,1.9668,3.24729
-32.1835,1,0.0343118,2,3,0,32.5321,0.706761,1.98346,3.22995
-29.1757,0.995957,0.0646998,3,7,0,33.1686,0.929932,1.44506,2.57469
-29.1757,0.734342,0.119368,2,5,0,29.9255,0.929932,1.44506,2.57469
-29.1182,0.997216,0.102596,2,3,0,29.4122,0.920273,1.32525,2.69797
-31.0786,0.485073,0.187426,2,5,0,32.4909,1.53366,2.05783,5.61436
-29.0053,1,0.0794529,2,3,0,31.2373,1.1602,1.96371,5.1331
-29.0053,0.0961327,0.14518,3,7,0,31.1302,1.1602,1.96371,5.1331
-30.8175,0.999007,0.0211885,4,15,0,31.0562,1.17303,2.89563,5.66076
-31.474,0.997815,0.0386569,3,7,0,32.0876,1.02109,2.87638,6.06177
-30.6988,0.961427,0.0695993,2,3,0,32.0374,1.12446,2.88383,5.77454
-29.5187,0.833482,0.112419,3,7,0,32.0525,1.41387,1.89423,4.88152
-29.4012,0.727392,0.127636,3,7,0,30.3368,1.09332,2.01615,5.15378
-28.7163,1,0.108914,2,3,0,29.1763,1.14118,2.07854,4.99405
-31.7979,0.339362,0.191893,2,3,0,32.3875,1.18921,2.40314,7.21826
-31.3778,0.983048,0.0589784,3,7,0,32.4117,1.17778,2.45165,7.00405
-29.3849,0.974575,0.0989927,3,11,0,31.9315,1.00398,1.41502,3.55276
-29.2578,0.991921,0.161226,2,3,0,29.5155,0.961473,1.62366,3.79228
-29.2578,2.42407e-048,0.272461,1,1,0,29.6344,0.961473,1.62366,3.79228
-29.5451,0.986477,0.0364413,3,7,0,30.3743,1.00359,1.57129,3.9911
-29.5903,0.997437,0.0609256,3,7,0,29.645,1.20941,1.93414,3.56453
-28.8469,0.954011,0.103888,3,7,0,30.4013,1.26152,1.32988,3.61641
-28.8469,0.0314434,0.157706,2,3,0,30.3406,1.26152,1.32988,3.61641
-28.4332,0.996903,0.0242653,5,47,0,30.7066,1.15805,2.10561,4.48663
-28.0928,0.999554,0.0410985,4,15,0,28.5463,1.10282,1.77508,4.05494
-28.8624,0.787901,0.0695256,2,3,0,30.6831,1.246,1.65543,3.39618
-28.7495,0.937232,0.0699088,3,7,0,29.7148,1.1667,1.48103,4.01763
-28.8061,0.979099,0.100651,3,9,0,29.3142,1.29889,1.84816,4.07112
-28.3074,0.735481,0.159333,1,3,0,28.8111,1.16978,2.02263,4.5515
-30.3385,0.509318,0.140596,3,7,0,32.1384,1.03112,2.32537,5.56576
-31.7713,0.995748,0.0729114,4,15,0,32.1754,1.20966,3.06826,5.7656
-29.9785,0.434038,0.119115,3,7,0,34.8339,1.39348,1.23089,3.18931
-32.1653,0.859333,0.0523385,2,3,0,32.9698,1.51894,1.24518,3.0101
-29.201,1,0.0621013,2,3,0,32.1768,1.26309,1.24558,3.51946
-29.8134,0.95146,0.101542,3,7,0,30.4196,0.859345,1.30461,2.64105
-30.1663,0.9562,0.147681,2,7,0,31.1197,1.38256,1.1365,3.32758
-30.1663,0.00050118,0.216061,1,3,1,33.4754,1.38256,1.1365,3.32758
-28.6472,0.993281,0.0365033,2,7,0,31.0943,1.17515,1.28445,3.27013
-28.6159,0.998198,0.0582405,4,15,0,29.0246,0.939325,1.53836,3.09702
-28.9529,0.995431,0.0934007,2,3,0,29.1247,0.912041,1.7076,3.05338
-28.8266,0.508033,0.148013,2,5,0,29.8918,1.06227,1.54457,2.83458
-30.0228,0.980451,0.0798237,2,7,0,30.5692,1.31854,1.16366,3.61881
