# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = uniform_priors_model
# start_datetime = 2024-04-25 13:36:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\5zc0z41t.json
# init = 0
# random
#   seed = 4014884693
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\uniform_priors\realisation1\uniform_priors-20240425143622.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-19.2666,1,0.0625,2,3,0,29.4192,0.938504,0.912563,1.17869
-19.2666,0,14.3855,0,1,1,19.7273,0.938504,0.912563,1.17869
-19.2666,0,2.43117,0,1,1,22.9113,0.938504,0.912563,1.17869
-19.2666,6.26524e-034,0.239791,1,3,1,19.5641,0.938504,0.912563,1.17869
-16.0618,1,0.0186273,4,31,0,20.1841,0.873699,0.926433,1.34125
-16.733,0.992055,0.0257257,3,7,0,17.0147,0.84875,0.959008,1.3129
-17.8816,0.890598,0.0394354,3,15,0,20.8843,0.939662,0.719163,1.60439
-19.657,0.871321,0.0476958,2,7,0,23.6885,0.738933,0.749952,1.52656
-16.5365,0.982714,0.0566776,2,3,0,20.0691,0.78984,0.818873,1.4798
-17.4294,0.819016,0.098431,3,7,0,18.3102,1.12841,0.781644,1.25353
-16.8297,0.997129,0.103863,3,7,0,18.7647,1.32356,0.942453,1.89755
-15.9166,0.33342,0.194596,1,3,0,16.954,1.11663,1.07984,2.27486
-16.9457,0.963044,0.0453058,4,23,0,17.8066,0.78951,1.04072,1.37504
-15.0835,0.767166,0.0773606,2,7,0,19.5262,0.985153,0.965426,1.6855
-16.8379,0.97149,0.0717218,3,15,0,17.4167,1.19329,0.656884,1.34712
-18.1726,0.345102,0.125873,2,3,0,20.5389,1.09841,0.608592,1.48144
-17.9198,0.999323,0.0320051,4,15,0,20.4017,1.3942,0.728346,1.60075
-17.5846,0.998878,0.0613851,4,31,0,18.7844,0.810547,1.48856,2.06303
-16.7378,0.615738,0.116673,2,3,0,17.7832,0.822381,1.37632,1.97568
-15.8282,0.983129,0.0694895,2,3,0,16.8741,0.852214,1.24967,1.96727
-16.334,0.968218,0.124962,3,7,0,16.6853,1.2273,1.06,2.37361
-16.334,0.00594693,0.213147,1,1,0,17.4824,1.2273,1.06,2.37361
-16.0685,0.999733,0.0214718,5,63,0,16.8404,0.706585,0.961947,1.46431
-15.6779,0.997492,0.0404292,3,15,0,17.3253,0.925018,0.789243,1.28505
-15.3277,0.994814,0.0748674,4,15,0,15.7954,1.0053,0.828083,1.48901
-18.5924,0.0752245,0.136201,3,7,0,20.0225,1.29342,0.728056,1.28384
-17.7681,0.993917,0.0181309,4,15,0,20.4652,1.17512,0.78937,1.28242
-16.5146,0.99744,0.0329796,5,31,0,20.3473,0.877492,1.3719,2.34257
-16.9486,0.987011,0.0599816,3,7,0,17.096,0.8412,1.42236,2.37437
-17.3191,0.931535,0.104945,1,1,0,17.4119,0.822148,1.4449,2.42272
-17.1417,0.231655,0.156277,2,7,0,17.9946,0.99521,1.55104,2.41043
-16.7333,0.999899,0.0345491,4,15,0,18.1845,1.23129,1.04355,2.47088
-19.9873,0.788445,0.0620088,2,3,0,20.2782,1.14109,0.901392,2.60836
-17.1801,0.892771,0.0626545,2,7,0,25.356,0.8755,0.995823,2.02389
-17.1801,0.71733,0.0834505,1,3,0,20.6362,0.8755,0.995823,2.02389
-18.7964,0.997987,0.0697502,3,15,0,20.2166,1.41313,1.3855,2.63876
-23.6356,0.714732,0.121565,2,3,0,24.8902,0.757963,1.69555,3.38889
-16.9196,0.899329,0.10089,3,7,0,23.7982,0.87927,1.44705,2.47875
-17.328,0.375324,0.134896,3,7,0,18.7016,1.10649,1.11485,2.63546
-17.5068,0.995955,0.0472168,4,15,0,18.1954,0.848421,1.24137,2.37159
-17.8406,0.974477,0.0806994,4,15,0,18.9476,1.24335,1.26473,2.07716
-15.8124,0.978565,0.129626,3,7,0,16.4402,0.985019,1.25588,2.30003
-15.8124,2.67654e-012,0.208856,1,1,0,16.5829,0.985019,1.25588,2.30003
-16.7252,0.999229,0.0296694,5,31,0,16.9523,1.03711,0.624745,1.23356
-15.4625,0.999359,0.0504667,4,23,0,17.3641,0.807202,0.932362,1.4445
-15.2902,0.688385,0.0852088,2,7,0,16.9186,0.935011,0.950854,1.5166
-15.3258,0.957191,0.0672301,3,15,0,16.1859,1.0944,1.03871,1.9446
-16.686,0.953519,0.101583,3,15,0,18.6678,0.983726,0.625983,1.16151
-16.3099,0.647299,0.151265,2,3,0,17.0692,0.865258,0.687528,1.16791
-15.7582,0.994378,0.108314,3,15,0,17.3387,0.847612,1.22513,1.93907
-15.7582,0.183987,0.176519,1,3,0,16.1355,0.847612,1.22513,1.93907
-15.5608,0.970022,0.0428511,4,31,0,16.8453,0.798993,1.06843,1.68772
-18.7351,0.560424,0.065946,3,11,0,23.0045,1.21228,0.506102,1.18054
-20.0255,0.912038,0.0391561,3,7,0,22.1281,1.19069,0.477071,1.268
-18.0247,0.982151,0.0524685,4,15,0,21.4178,0.589218,1.13421,1.68523
-16.3399,0.997474,0.0821865,3,15,0,18.8856,0.706601,0.817197,1.23731
-16.3399,0.115897,0.132522,2,3,0,17.7924,0.706601,0.817197,1.23731
-15.2782,0.998036,0.0291272,4,15,0,16.7508,0.951814,0.954622,1.53653
-17.077,0.915241,0.0470344,4,23,0,17.6117,1.05333,1.01264,2.32402
-15.7707,0.991619,0.0627896,3,11,0,17.3889,1.10824,1.04189,1.76116
-15.9233,0.9454,0.0989016,2,3,0,16.3554,1.07086,1.04956,1.68879
-15.3487,0.766383,0.139947,3,7,0,15.6193,1.00739,1.1281,1.88053
-17.1969,0.331632,0.133308,3,7,0,17.7438,1.35672,1.21827,2.62059
-16.758,0.981695,0.0493577,2,3,0,17.5397,1.29875,1.23041,2.59475
-15.5294,0.99522,0.0753619,2,7,0,17.7819,1.0393,1.21665,2.1807
-15.4206,0.935988,0.117878,3,7,0,16.1699,0.8529,0.962307,1.46976
-15.4206,0.000871839,0.161617,1,1,0,16.9959,0.8529,0.962307,1.46976
-15.8361,0.999818,0.0302373,4,15,0,16.038,0.76535,0.85078,1.3034
-15.3001,0.999588,0.0476255,4,15,0,16.1364,1.0317,0.850791,1.53949
-16.3915,0.808254,0.0745968,2,7,0,19.3139,0.712414,0.950685,1.54836
-15.7419,0.833044,0.0779187,2,3,0,17.1338,0.756724,0.93139,1.47045
-15.3895,0.89261,0.0856459,4,15,0,19.1488,0.956121,1.06841,1.68768
-16.4647,0.692068,0.106372,3,7,0,18.3504,1.2311,1.03052,2.36464
-15.5886,0.953356,0.0872175,3,7,0,16.9708,0.941468,1.03816,1.95431
-15.9797,0.590269,0.122361,3,9,0,16.5697,0.881761,0.91318,1.73036
-15.6506,1,0.0816223,2,3,0,16.0234,1.04506,0.943537,1.54375
-16.3576,0.426394,0.125451,3,7,0,18.0651,1.04092,1.02164,2.20555
-16.5813,0.983879,0.0603529,3,11,0,17.1537,1.12489,1.05061,1.67504
-15.506,0.991952,0.089538,3,11,0,16.883,0.954108,0.786751,1.35393
-15.9152,0.317362,0.134458,4,15,0,16.6727,1.08452,0.800384,1.38954
-15.9944,0.986677,0.0526121,4,15,0,16.6719,0.712756,0.986655,1.46636
-16.5529,0.987369,0.0780637,3,15,0,18.3363,1.3079,1.02374,2.21775
-15.9437,0.982708,0.115536,2,3,0,16.7645,1.17982,0.992821,2.13831
-16.8793,0.532345,0.168795,2,3,0,18.2418,1.31494,0.791221,1.72332
-16.0698,0.946717,0.102097,2,3,0,17.3007,1.09734,0.789086,1.69193
-15.4997,0.78087,0.13866,3,7,0,16.1498,0.920892,1.19641,2.02787
-15.4997,0.28939,0.136292,2,3,0,15.9352,0.920892,1.19641,2.02787
-15.4577,0.981251,0.0520627,3,7,0,15.812,0.923339,1.19536,1.95189
-15.7307,0.882864,0.0754353,3,11,0,16.8906,0.825517,0.953471,1.39678
-16.0803,0.992579,0.0903017,3,7,0,16.4694,0.856074,0.729161,1.2798
-16.2698,0.632512,0.132889,2,3,0,16.5122,0.878058,0.687175,1.18885
-16.2848,1,0.0987124,3,7,0,16.5672,1.01273,0.689435,1.199
-17.1697,0.320656,0.146727,2,3,0,17.4431,1.07946,0.661497,1.12502
-15.9574,1,0.0609043,2,7,0,17.4645,0.990047,0.710698,1.26057
-16.5378,0.957006,0.0903925,3,7,0,17.4181,0.660681,1.04348,1.53248
-16.5378,0.146939,0.123438,2,7,0,18.3799,0.660681,1.04348,1.53248
-16.3394,1,0.0376018,3,7,0,16.5821,0.681961,1.06249,1.53919
-15.6641,0.954496,0.0556277,4,15,0,17.0377,0.968256,1.10601,1.70666
-16.2689,0.959975,0.0754549,2,7,0,16.5614,0.803811,1.00355,1.79249
-15.8011,0.650735,0.103109,2,5,0,17.8555,1.07542,1.12777,1.85291
-15.8011,1.06143e-005,1.28144,1,3,1,17.0878,1.07542,1.12777,1.85291
-15.8011,0,2.9923,1,2,1,15.9709,1.07542,1.12777,1.85291
-17.4266,0.903775,0.29504,3,11,0,19.011,1.08358,1.26162,1.86976
-15.8312,0.944755,0.237786,3,7,0,19.7155,1.1836,0.902535,1.89371
-16.4316,0.998206,0.269619,5,31,0,16.7285,0.68764,0.871964,1.24131
-16.4387,1,0.411573,3,7,0,16.514,0.6785,0.883616,1.2607
-16.5048,0.736401,0.692005,2,3,0,17.1015,0.752464,0.957735,1.30196
-16.3933,1,0.540892,3,11,0,17.9281,1.18934,1.27073,2.26697
-16.3933,0.00193412,0.983586,2,3,0,17.3761,1.18934,1.27073,2.26697
-15.1658,0.998483,0.0781463,5,63,0,18.0485,1.0189,1.05998,1.87918
-16.6499,0.954817,0.145352,5,43,0,20.0228,1.16049,1.35912,2.33027
-16.0983,0.996662,0.238236,4,23,0,17.9291,0.760111,0.805351,1.21743
-15.7371,0.937024,0.447903,3,7,0,16.7816,1.1644,0.869411,1.66012
-17.6734,0.379173,0.698551,2,5,0,18.7155,1.03489,1.0272,1.45511
-17.5994,1,0.191105,4,31,0,19.6865,0.76229,0.676635,1.22789
-16.4351,0.993379,0.364679,3,15,0,19.3871,1.0826,1.25828,2.62522
-17.1647,0.618331,0.677686,3,7,0,18.0028,0.845316,1.3188,2.3881
-18.3142,0.846768,0.397659,3,15,0,21.19,0.752215,0.755275,1.46144
-16.0957,1,0.470721,3,7,0,18.1275,1.05849,0.728176,1.49817
-16.0957,0.279034,0.881838,2,3,0,16.562,1.05849,0.728176,1.49817
-16.145,0.990793,0.190717,5,31,0,16.8615,1.1505,1.12468,1.91036
-16.2386,0.988054,0.347249,3,7,0,17.0908,1.22702,0.889581,1.98587
-18.1541,0.907406,0.621306,3,7,0,18.9066,0.526692,0.906207,1.18864
-18.1541,0.0517802,0.871103,1,3,0,19.7453,0.526692,0.906207,1.18864
-18.3508,0.998345,0.103185,4,15,0,18.5134,0.513347,0.879904,1.19537
-18.6758,0.980336,0.189503,2,7,0,19.7652,0.498058,0.905374,1.15134
-18.3222,0.954888,0.327399,3,7,0,19.3121,0.51526,0.957752,1.32056
-17.2377,0.90053,0.52184,3,7,0,19.5585,0.6262,1.0538,1.59795
-15.5554,0.918085,0.709372,2,3,0,17.3729,0.91037,1.08662,1.64971
-15.5554,0.11944,1.00705,1,3,0,17.0208,0.91037,1.08662,1.64971
