# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = uniform_priors_model
# start_datetime = 2024-04-25 13:42:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\cucu0r9n.json
# init = 0
# random
#   seed = 2419664284
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\uniform_priors\realisation4\uniform_priors-20240425144213.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-64.8472,1,0.125,2,7,0,75.3169,0.794842,0.728789,1.91155
-64.8472,0,14.3855,0,1,1,67.1959,0.794842,0.728789,1.91155
-64.8472,0,2.43117,0,1,1,65.248,0.794842,0.728789,1.91155
-64.8472,2.00236e-015,0.239791,1,3,1,64.9619,0.794842,0.728789,1.91155
-65.2977,0.995023,0.0186273,1,3,0,65.5141,0.786793,0.72316,1.93304
-61.7176,1,0.0253468,3,7,0,65.5394,0.855215,0.779716,1.52104
-63.8936,0.888965,0.0397953,2,7,0,65.6421,0.740324,0.685637,1.59878
-63.531,0.989872,0.0478944,3,7,0,65.5795,0.668703,1.04043,1.4487
-63.9556,0.988625,0.0826111,3,15,0,68.6791,0.539814,0.949777,1.28587
-63.9556,0.245466,0.146439,2,7,0,65.9692,0.539814,0.949777,1.28587
-62.3254,0.9997,0.0252078,5,31,0,64.4163,0.667839,0.713533,1.15693
-62.0333,0.999913,0.0476905,4,15,0,62.4513,0.902461,0.648611,1.28687
-63.1391,0.812553,0.090957,3,15,0,64.5054,0.780973,0.497974,1.0215
-63.0745,0.998294,0.0965944,3,15,0,64.4533,0.825552,1.19236,2.20471
-62.5479,0.349257,0.183881,2,7,0,64.0244,0.782372,1.06547,1.72895
-63.9559,0.978985,0.046661,3,15,0,66.0459,1.1643,0.888192,2.33197
-63.6046,0.9819,0.0839996,2,3,0,64.217,1.12992,0.902874,2.26536
-64.3303,0.313639,0.151674,3,7,0,66.0645,1.15112,1.07852,2.59121
