# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = uniform_priors_model
# start_datetime = 2024-04-25 13:43:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\umx7revm.json
# init = 0
# random
#   seed = 1279310219
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\uniform_priors\realisation5\uniform_priors-20240425144316.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-64.9572,1,0.125,2,3,0,72.8111,0.678192,0.56346,1.42929
-64.9572,0,14.3855,0,1,1,66.3276,0.678192,0.56346,1.42929
-64.9572,0,2.43117,0,1,1,65.7249,0.678192,0.56346,1.42929
-64.9572,5.90387e-011,0.239791,1,3,1,67.2704,0.678192,0.56346,1.42929
-60.5105,0.998576,0.0186273,4,31,0,66.821,0.639305,0.720973,1.29848
-57.2229,0.999701,0.0256168,5,63,0,62.7953,1.17889,0.995131,2.53074
-57.4943,0.983168,0.0401938,3,7,0,57.9499,1.20061,1.01359,2.43952
-57.3567,0.999715,0.0648676,4,31,0,57.8829,1.22693,0.981066,3.00969
-58.5906,0.978205,0.115741,3,7,0,58.9219,0.749846,0.984163,1.76304
-58.4982,0.228922,0.198849,2,3,0,61.9314,1.08976,0.657894,1.85213
-58.6757,0.967214,0.0324988,4,15,0,61.3588,0.999985,0.626996,1.55062
-58.3512,0.963539,0.0554721,3,7,0,59.4915,1.15657,0.710466,1.69479
-58.2228,0.916642,0.0943045,4,15,0,59.281,0.895225,1.18249,2.83144
-57.5347,0.913783,0.138774,2,3,0,57.9651,0.914174,1.29464,2.67292
-57.5347,0.00964064,0.202576,1,1,0,58.7767,0.914174,1.29464,2.67292
-57.0298,0.999969,0.0179369,5,31,0,57.8528,1.04456,1.06618,2.50698
-57.1024,0.997678,0.0346728,5,55,0,57.5879,1.25486,1.20645,3.55384
-59.5823,0.975634,0.0661294,3,15,0,61.7246,1.48042,1.96109,8.46778
-59.6491,0.997679,0.117073,3,15,0,62.2457,0.737428,0.660216,1.16635
-59.5774,0.383682,0.219805,2,3,0,59.8054,0.770524,0.637103,1.14614
-57.0674,0.879003,0.065556,4,27,0,61.6207,1.17019,1.17967,3.46073
-57.7811,0.807947,0.0863583,2,5,0,59.1882,0.975124,1.57048,3.10005
-57.7811,0.612574,0.0920164,2,3,0,59.8167,0.975124,1.57048,3.10005
-57.7731,0.961929,0.0555395,2,7,0,59.5159,1.08207,1.53569,3.08488
-58.8168,0.926223,0.0925793,2,3,0,58.9934,0.879756,1.31378,3.21476
-57.3632,0.952664,0.138198,2,7,0,58.4879,0.947936,1.27281,2.80186
-57.3632,6.46919e-006,0.220887,1,1,0,58.2383,0.947936,1.27281,2.80186
-57.6634,0.999095,0.0241205,4,15,0,57.9794,0.943642,1.33893,2.54311
-57.5826,0.943167,0.0441885,4,31,0,60.2771,0.984768,1.49629,3.55088
-57.7846,0.988486,0.0686727,3,15,0,58.5849,1.08768,1.80191,3.90501
-57.7846,0.25271,0.119946,1,3,0,60.7767,1.08768,1.80191,3.90501
-57.8075,0.999927,0.0281392,4,31,0,58.6549,1.2724,1.80629,5.66803
-57.7257,0.990055,0.0505931,3,15,0,58.0789,1.32824,1.72805,5.15008
-57.8129,0.986917,0.087751,3,7,0,57.9991,1.15784,1.83448,5.22458
-58.4663,0.942076,0.149597,3,15,0,59.2165,1.17977,0.775035,2.6874
-58.4663,0.0559293,0.224733,1,1,0,58.4926,1.17977,0.775035,2.6874
-58.4242,0.995538,0.0332382,4,31,0,59.6582,1.42404,1.0298,3.19603
-58.5283,0.98306,0.0576396,4,31,0,59.9126,1.44299,1.46605,4.26743
-58.9627,0.999581,0.0959714,4,15,0,59.6947,1.06898,0.573247,1.48043
-59.3173,0.393354,0.165356,3,7,0,59.6911,1.14837,0.550067,1.66198
-57.13,0.998237,0.0609582,4,31,0,60.3227,1.13536,1.0004,2.72882
-57.6149,0.984196,0.104152,3,15,0,59.6487,1.04643,0.806187,1.86876
-59.9771,0.0497363,0.170459,2,3,0,60.562,1.21856,0.824197,1.65293
-58.08,0.996512,0.0274265,3,7,0,60.5882,1.08,0.709538,1.87929
-58.21,0.987626,0.0463674,3,15,0,59.119,1.23065,0.819724,2.01392
-57.831,0.986814,0.0761243,4,23,0,59.0311,0.938286,1.41414,3.30328
-57.2734,0.813058,0.123847,3,15,0,58.6093,1.01262,1.33374,2.74751
-58.4521,0.861323,0.131743,2,3,0,58.581,0.842106,1.49658,2.83011
-59.2884,0.560088,0.157115,2,7,0,60.4632,1.56609,1.37295,5.34202
-59.6286,0.946863,0.0914489,3,11,0,60.7071,0.938882,1.65262,2.68681
-61.3437,0.863604,0.133395,3,15,0,61.9552,1.38535,0.968612,6.57371
-57.7969,1,0.159295,2,3,0,60.6245,1.37357,1.48719,5.24079
-58.3738,0.129013,0.26061,1,3,0,59.8863,1.06446,1.79235,3.48538
-57.4113,0.966765,0.0565894,4,27,0,61.6868,1.00831,1.54638,3.35014
-57.1471,0.998256,0.0857814,4,23,0,58.7373,0.98251,1.14886,2.47318
-59.2575,0.781072,0.138966,1,3,0,60.7196,0.756314,1.38105,2.2454
-57.2604,0.755568,0.136727,3,15,0,61.6315,1.22684,1.08398,3.41089
-57.2604,0.032218,0.127018,1,1,0,60.4028,1.22684,1.08398,3.41089
-57.1865,0.999857,0.0233637,5,63,0,57.6075,1.15156,1.58184,3.7956
-57.3647,0.993824,0.037815,3,7,0,57.4532,1.0814,1.48809,4.04089
-56.9799,0.982539,0.0600361,3,15,0,58.0744,1.21238,1.27028,3.40509
-56.9762,0.925381,0.0924566,2,5,0,57.4668,1.11254,1.40637,3.62473
-56.9699,0.990416,0.125001,3,11,0,57.4002,1.04882,1.20329,2.89445
-58.2206,0.121437,0.193971,2,3,0,58.7858,0.894401,1.32737,3.09173
-58.6853,0.998824,0.0457449,3,15,0,60.1957,1.4631,1.57553,4.73246
-57.3338,0.999981,0.0723129,2,7,0,58.9352,1.19599,1.41278,4.44576
-57.5175,0.950007,0.113992,3,7,0,57.8798,1.21098,1.7019,4.11841
-57.7916,0.96901,0.160746,3,7,0,58.0914,1.20715,1.45388,4.99218
-57.7916,0.148631,0.235056,2,3,0,60.2236,1.20715,1.45388,4.99218
-57.7614,0.984675,0.0609698,3,15,0,58.6774,1.25423,1.63975,5.49527
-57.577,0.893006,0.0922073,3,9,0,59.3383,1.11002,1.18179,3.64115
-60.0102,0.856599,0.114715,3,13,0,60.9,0.765905,0.982765,2.2523
-58.6613,1,0.13204,2,7,0,60.8617,0.888964,0.792269,1.39659
-58.6613,0.00276482,0.203856,1,3,1,59.7441,0.888964,0.792269,1.39659
-57.6592,0.964038,0.0406349,3,15,0,60.6575,1.14624,0.808599,2.25935
-57.4732,0.983376,0.0583829,4,23,0,61.0894,1.21592,0.90083,2.48958
