# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = uniform_priors_model
# start_datetime = 2024-04-25 13:52:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\o_w2i595.json
# init = 0
# random
#   seed = 1370886170
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\uniform_priors\realisation9\uniform_priors-20240425145255.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-39.43,1,0.0625,2,3,0,51.8755,0.857496,0.975023,1.1668
-39.43,0,14.3855,0,1,1,41.1454,0.857496,0.975023,1.1668
-39.43,0,2.43117,0,1,1,41.0436,0.857496,0.975023,1.1668
-39.43,7.43505e-024,0.239791,1,2,1,43.1087,0.857496,0.975023,1.1668
-37.269,0.999867,0.0186273,4,15,0,40.883,0.797768,0.608876,1.43161
-37.0459,0.999187,0.0257156,4,15,0,38.8569,1.29099,0.748285,1.39868
-34.9578,1,0.0402896,2,3,0,37.0672,1.18483,0.738109,1.42618
-30.8784,0.892233,0.0685223,4,15,0,36.9843,0.827296,1.63343,3.17473
-30.2319,0.821929,0.0872621,2,7,0,32.6925,0.976257,1.68948,3.60044
-34.9689,0.981645,0.0913992,4,15,0,35.7205,0.875079,0.6162,1.20646
-34.9689,0.000121872,0.161278,1,1,0,36.0788,0.875079,0.6162,1.20646
-30.1749,0.999898,0.0129519,6,63,0,36.4201,0.865304,1.52124,2.51485
-29.8199,0.999585,0.0247983,4,31,0,30.9182,1.04963,1.37123,2.83949
-30.9919,0.951761,0.0476102,4,19,0,32.1938,1.05243,2.09961,4.6686
-32.4785,0.934927,0.0786968,2,3,0,33.0055,0.953272,2.59466,4.43665
-32.2868,0.269422,0.123249,2,3,0,35.0941,1.05413,1.9601,5.12074
-32.7564,0.991434,0.0248315,3,7,0,33.3485,1.00273,1.97306,5.0719
-32.5685,0.988283,0.04658,2,3,0,33.4327,0.979927,2.06789,5.02751
-32.0451,0.976218,0.0859195,2,7,0,33.9586,1.30962,1.88342,3.76448
-30.0143,0.715449,0.151612,2,7,0,31.2427,1.05111,1.59905,2.93286
-30.9163,0.942017,0.121958,3,7,0,31.327,0.785976,1.25313,2.36768
-30.4174,0.666669,0.192556,2,3,0,31.2132,0.903153,1.25661,2.61055
-30.2362,0.687118,0.134682,2,7,0,31.3132,0.927581,1.39037,2.92653
