# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-25 22:22:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpyx6bm6rm\r1cs_m7r.json
# init = 0
# random
#   seed = 123
# output
#   file = C:\Users\ethan\AppData\Local\Temp\tmpyx6bm6rm\exponential_priorsclv7i2p4\exponential_priors-20240425232215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
426.352,1,0.03125,2,7,0,-401.91,0.888042,0.867454,1.04117
426.352,0,14.3855,0,1,1,-422.378,0.888042,0.867454,1.04117
426.352,0,2.43117,0,1,1,-425.731,0.888042,0.867454,1.04117
426.352,0,0.239791,0,1,1,-425.504,0.888042,0.867454,1.04117
428.943,0.964768,0.0186273,3,7,0,-425.218,0.768996,0.790687,1.07362
427.515,0.968054,0.0231605,3,7,0,-426.995,0.785577,0.789677,1.09823
429.465,0.989376,0.0328943,3,7,0,-427.601,0.797828,0.825707,0.967049
429.019,0.769334,0.0539432,2,3,0,-428.057,0.863342,0.799452,1.01254
434.576,0.667563,0.0465786,4,15,0,-428.231,0.63332,0.725947,0.902555
435.522,0.734674,0.029873,4,31,0,-428.927,0.302823,0.617321,0.622215
437.147,0.969173,0.0241023,3,15,0,-433.82,0.340207,0.529338,0.611258
436.182,0.835621,0.0414095,4,19,0,-435.509,0.486638,0.534271,0.662239
437.716,0.788087,0.0470967,3,13,0,-435.616,0.495635,0.613452,0.70721
437.084,0.71374,0.0464574,4,15,0,-436.443,0.536402,0.579101,0.699339
437.772,0.91588,0.0365641,4,15,0,-435.883,0.406922,0.639545,0.718844
436.418,0.500313,0.0542439,3,15,0,-434.63,0.376167,0.544056,0.650949
437.748,1,0.0223654,2,3,0,-436.39,0.374142,0.555257,0.63742
437.991,0.867386,0.0430994,3,11,0,-437.317,0.445426,0.535096,0.614637
438.112,0.942614,0.0551455,3,15,0,-437.979,0.422536,0.564417,0.642224
438.112,0.00030037,0.0882725,1,3,1,-437.242,0.422536,0.564417,0.642224
437.888,0.99986,0.00845763,6,63,0,-437.825,0.35336,0.588797,0.641594
437.642,0.991213,0.0162015,6,63,0,-437.192,0.484642,0.582078,0.649148
436.836,0.663065,0.0299628,3,7,0,-434.896,0.484993,0.612492,0.663626
437.59,0.996319,0.0211447,4,31,0,-435.752,0.383035,0.466802,0.520078
437.97,0.957297,0.0392405,3,15,0,-434.962,0.433373,0.547363,0.632338
437.946,0.323382,0.0644858,1,3,0,-437.329,0.413773,0.534853,0.615708
437.828,0.999941,0.017449,5,39,0,-437.516,0.360504,0.569019,0.644559
435.568,0.989038,0.0322913,4,27,0,-431.569,0.200689,0.505675,0.542221
435.61,0.25839,0.0573817,2,5,0,-435.14,0.201873,0.490615,0.525156
436.141,0.944551,0.0134277,3,15,0,-433.335,0.222129,0.485607,0.520103
435.413,0.946972,0.0210793,2,7,0,-435.287,0.220101,0.472271,0.522259
434.798,0.924148,0.033062,2,7,0,-433.978,0.21183,0.466763,0.520855
434.626,1,0.0484041,4,15,0,-434.3,0.204235,0.430324,0.432447
434.626,5.83602e-007,0.086246,1,2,1,-433.264,0.204235,0.430324,0.432447
437.592,0.998622,0.0107513,6,127,0,-431.504,0.384162,0.555924,0.645263
437.04,0.954429,0.0191366,3,15,0,-436.186,0.37834,0.559694,0.586885
437.325,0.985755,0.0300742,2,3,0,-436.769,0.37478,0.545214,0.636554
438.076,0.424766,0.0508883,3,13,0,-437.099,0.443508,0.555529,0.626017
437.581,0.968779,0.0202155,4,23,0,-437.413,0.436298,0.568258,0.67027
436.794,0.914418,0.0325842,5,31,0,-435.503,0.298064,0.494901,0.51375
436.879,0.807975,0.0454369,4,31,0,-435.67,0.456234,0.450518,0.500582
437.11,0.954357,0.0482512,2,3,0,-436.879,0.450852,0.45381,0.508889
436.684,0.158925,0.0737242,2,5,1,-435.936,0.429882,0.439523,0.480647
437.861,0.975982,0.0156366,5,43,0,-435.647,0.441799,0.62361,0.712728
437.818,0.977772,0.0252366,4,27,0,-437.5,0.382342,0.523143,0.599395
437.856,0.984307,0.0406232,3,11,0,-437.558,0.368828,0.548182,0.591379
437.948,0.342325,0.0659796,1,3,0,-437.493,0.367561,0.564406,0.612586
437.736,0.987716,0.0227182,4,19,0,-435.944,0.337565,0.599396,0.659918
437.953,0.960867,0.0370873,4,19,0,-437.038,0.446158,0.592205,0.659582
437.796,0.335249,0.0564208,4,15,0,-436.337,0.418861,0.543104,0.632109
435.839,0.970961,0.0195312,5,35,0,-434.817,0.625015,0.507005,0.607448
437.357,0.975433,0.030372,4,31,0,-434.766,0.428617,0.46105,0.514492
437.415,0.968784,0.0474397,3,7,0,-437.263,0.414198,0.459959,0.512562
437.415,0.0319483,0.0725363,1,3,0,-435.671,0.414198,0.459959,0.512562
437.112,0.965293,0.0128299,3,7,0,-436.137,0.411971,0.464869,0.504392
434.869,0.851167,0.0195109,4,23,0,-433.825,0.331004,0.534186,0.532047
436.565,0.99916,0.022781,4,31,0,-432.384,0.485452,0.637075,0.773888
434.994,0.972138,0.0370513,4,31,0,-433.97,0.337873,0.74497,0.770285
436.983,1,0.0563753,3,15,0,-435.831,0.375821,0.696119,0.763136
436.983,2.05749e-025,0.0907907,1,1,0,-434.251,0.375821,0.696119,0.763136
435.49,0.998133,0.0158966,4,15,0,-435.262,0.37151,0.7776,0.853271
435.902,0.998651,0.025535,3,7,0,-434.976,0.366007,0.754698,0.829876
437.131,0.968585,0.0408295,5,31,0,-434.594,0.559451,0.583144,0.693841
437.048,0.421238,0.0608117,3,9,0,-436.66,0.566261,0.611829,0.715853
436.417,0.942871,0.0276051,5,31,0,-435.409,0.567056,0.521324,0.640074
435.255,0.840298,0.0388024,3,7,0,-434.951,0.572285,0.504212,0.640004
436.853,0.988352,0.0436281,4,15,0,-434.805,0.499355,0.47519,0.567486
436.853,9.29749e-009,0.0671041,1,1,0,-434.946,0.499355,0.47519,0.567486
437.865,0.999792,0.0127069,5,55,0,-436.741,0.422243,0.497136,0.562541
438.069,0.982019,0.0200547,4,31,0,-437.565,0.397791,0.522295,0.583323
