# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-26 23:42:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp5r05agcg\drywl_vb.json
# init = 0
# random
#   seed = 3207695894
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\data_fitting\saved_fits\exponential_priors\guinea\exponential_priors-20240427004240.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
431.965,1,0.03125,2,3,0,-417.95,0.91335,0.791155,1.18052
431.965,0,14.3855,0,1,1,-427.569,0.91335,0.791155,1.18052
431.965,0,2.43117,0,1,1,-431.715,0.91335,0.791155,1.18052
431.965,0,0.239791,0,1,1,-430.466,0.91335,0.791155,1.18052
433.817,1,0.0186273,2,3,0,-431.534,0.899969,0.791651,1.15379
439.331,0.927228,0.0257257,3,7,0,-431.05,0.756428,0.785757,0.848559
443.974,1,0.0323357,2,3,0,-439.041,0.756119,0.680277,0.879708
450.165,0.918995,0.0547945,4,15,0,-442.734,0.345743,0.422218,0.45507
450.165,0.0733579,0.075739,1,3,0,-449.794,0.345743,0.422218,0.45507
450.26,0.998514,0.00745601,6,127,0,-448.508,0.451003,0.461342,0.512073
450.856,0.999775,0.0138292,5,47,0,-449.389,0.377731,0.533866,0.582658
450.665,0.997241,0.0261874,3,15,0,-449.56,0.409137,0.47567,0.533438
450.858,0.401604,0.0496164,3,9,0,-449.477,0.359536,0.521086,0.567126
450.549,0.989875,0.0145662,5,39,0,-448.844,0.420311,0.474285,0.537965
450.235,0.978965,0.0272922,4,23,0,-449.091,0.33934,0.561353,0.631212
450.183,0.613731,0.04932,3,7,0,-449.744,0.346411,0.608561,0.670478
450.463,0.870227,0.0288466,3,15,0,-448.46,0.397857,0.539876,0.57662
450.615,0.998674,0.0373285,3,15,0,-449.76,0.387227,0.58367,0.647249
450.692,0.593673,0.0711794,2,5,0,-450.501,0.38478,0.559764,0.6269
450.513,0.989432,0.0398309,3,15,0,-447.394,0.318498,0.548405,0.583256
450.513,0.0425361,0.073321,2,3,0,-450.418,0.318498,0.548405,0.583256
449.817,0.999836,0.0081376,6,63,0,-449.528,0.27137,0.574876,0.605175
449.741,0.986722,0.0155249,2,7,0,-449.536,0.275967,0.576488,0.599997
450.314,0.931973,0.028225,3,11,0,-448.643,0.301467,0.535167,0.58816
