# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-26 23:59:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp5r05agcg\itlcfjuz.json
# init = 0
# random
#   seed = 3207695894
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\data_fitting\saved_fits\exponential_priors\liberia\exponential_priors-20240427005954.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
1279.04,0.0325907,0.0625,2,4,1,-1274.83,1,1,1
1279.04,0,2.47761,0,1,1,-1278.74,1,1,1
1279.04,0,0.248619,0,1,1,-1277.99,1,1,1
1299.59,1,0.0182091,7,127,0,-1278.85,1.8334e-005,0.301792,0.223689
1299.14,0.91495,0.0204451,3,7,0,-1297.55,1.73519e-005,0.291579,0.246002
1300.16,0.996103,0.022001,3,7,0,-1299.04,1.80123e-005,0.306002,0.232434
1299.61,0.953648,0.0340025,4,23,0,-1299.21,1.50364e-005,0.299742,0.248186
1300.07,0.271435,0.0499192,4,15,0,-1298.91,1.32717e-005,0.295138,0.232381
1305.13,0.992521,0.00900809,8,383,0,-1297.81,0.000284695,0.219463,0.159918
1312.5,0.943776,0.0159934,7,191,0,-1302.81,0.0160771,0.215452,0.168732
1314,0.959983,0.0249756,3,11,0,-1311.49,0.0175159,0.239528,0.189558
1314.12,0.995941,0.0416805,4,15,0,-1313.35,0.0135593,0.265246,0.198764
1314.12,6.86354e-008,0.0785379,1,1,0,-1313.55,0.0135593,0.265246,0.198764
1314.32,0.999541,0.00653255,7,127,0,-1313.72,0.0123477,0.278444,0.214727
1314.01,0.994227,0.01267,6,95,0,-1311.31,0.0189489,0.22494,0.165094
1313.57,0.997911,0.0241213,5,31,0,-1312,0.0196576,0.211545,0.155886
1319.56,0.921711,0.0462381,5,31,0,-1311.64,0.173839,0.615811,0.58519
1319.56,2.96177e-005,0.0697778,1,3,1,-1318.17,0.173839,0.615811,0.58519
1320.19,0.999822,0.00642091,7,127,0,-1316.51,0.108802,0.522792,0.461315
1321.02,0.999947,0.0124192,6,79,0,-1319.65,0.151199,0.465791,0.414857
1320.95,0.999854,0.0238165,5,31,0,-1320.92,0.175666,0.427781,0.377871
1318.25,0.623557,0.0452291,4,15,0,-1317.54,0.307454,0.481016,0.447678
1317.66,0.962911,0.0282227,5,31,0,-1315.38,0.0778518,0.59406,0.549746
1317.63,0.0801045,0.0476361,4,17,0,-1313.36,0.109355,0.647923,0.619882
1318.88,0.995174,0.00626309,4,31,0,-1316.04,0.116202,0.636675,0.586866
1318.69,0.999977,0.0116499,6,95,0,-1314.74,0.0544555,0.314374,0.253384
1318.17,0.946701,0.0217447,2,3,0,-1318.13,0.054938,0.305742,0.258143
1320.68,0.93616,0.0345872,5,63,0,-1317.03,0.181212,0.384267,0.332674
1319.81,0.776046,0.0530145,4,31,0,-1319.17,0.224663,0.51416,0.446871
1320.26,0.949976,0.0518523,5,31,0,-1319.5,0.144912,0.576698,0.520978
1320.04,0.354332,0.081693,1,3,0,-1319.75,0.148942,0.598145,0.536433
1320.72,0.989508,0.025337,4,15,0,-1319.9,0.147494,0.521885,0.472072
1320.71,0.682224,0.0443321,4,21,0,-1319.68,0.119891,0.38805,0.3402
1319.98,0.993749,0.0338175,4,31,0,-1318.88,0.173905,0.323852,0.271782
1319.61,0.39714,0.0591565,2,7,0,-1318.25,0.146136,0.313102,0.250319
1319.54,0.829501,0.0213636,2,3,0,-1317.36,0.14475,0.305152,0.261385
1320.21,0.87026,0.0242155,3,11,0,-1318.1,0.147971,0.324048,0.269505
1320.84,0.99716,0.030438,4,15,0,-1320.17,0.146619,0.373724,0.320977
1320.83,0.99527,0.0528076,3,15,0,-1319.62,0.115355,0.442572,0.383185
1320.81,0.257754,0.0904013,1,3,0,-1319.35,0.121154,0.3989,0.349585
1320.44,0.966744,0.0237562,2,3,0,-1320.37,0.119676,0.408301,0.338271
1319.1,0.716467,0.0377668,5,31,0,-1317.25,0.212143,0.58064,0.563933
1319.71,0.991197,0.0319501,5,39,0,-1317.55,0.0924554,0.3113,0.251317
1319.71,1.58667e-006,0.0534631,1,1,0,-1315.47,0.0924554,0.3113,0.251317
1320.13,0.999514,0.00777649,7,255,0,-1318.99,0.125765,0.560837,0.497305
1319.11,0.997884,0.0133102,6,63,0,-1318.24,0.244801,0.361115,0.306615
1320.25,0.982156,0.0225163,5,31,0,-1318.69,0.178678,0.364244,0.30299
1320.46,0.907726,0.0364016,4,31,0,-1318.5,0.191469,0.40907,0.34725
1318.32,0.270233,0.0489302,4,23,0,-1315.86,0.246941,0.581767,0.572971
1319.41,0.999757,0.0144298,2,3,0,-1318.25,0.249715,0.594297,0.559889
1319.15,0.999771,0.0241393,5,31,0,-1318.43,0.279547,0.50897,0.459798
1319.66,0.972759,0.0401012,5,47,0,-1318.6,0.0767645,0.347251,0.281683
1319.66,4.89356e-008,0.062135,2,3,0,-1315.7,0.0767645,0.347251,0.281683
1319.7,0.999997,0.0101066,7,127,0,-1319.06,0.0976335,0.306537,0.24696
1319.77,0.991032,0.0167179,6,127,0,-1317.69,0.228055,0.398594,0.33925
1320.42,0.996464,0.0269165,4,31,0,-1318.17,0.131976,0.531221,0.464975
1320.22,0.224919,0.0436051,4,23,0,-1317.05,0.124858,0.392677,0.354355
1320.31,0.999075,0.0123376,3,15,0,-1319.83,0.128574,0.422639,0.349669
1320.07,0.986259,0.0200741,4,31,0,-1319.61,0.144845,0.405874,0.332015
1320.89,0.605169,0.0315506,2,3,0,-1317.52,0.142045,0.407566,0.345464
1320.71,0.999646,0.0212163,5,43,0,-1320.13,0.183985,0.502037,0.441332
1319.4,0.705164,0.0341355,2,7,0,-1318.96,0.169731,0.478332,0.457915
1318.92,0.896991,0.0286765,4,23,0,-1316.98,0.191194,0.489049,0.404517
1319.92,0.787375,0.0366279,3,15,0,-1317.48,0.202139,0.564197,0.534145
1319.92,0.880053,0.0368027,3,15,0,-1316.93,0.194903,0.558508,0.486937
1320.68,0.999895,0.0451222,4,31,0,-1319.74,0.122343,0.481629,0.417107
1320.68,0.000280376,0.071304,1,1,0,-1320.14,0.122343,0.481629,0.417107
1321,0.999686,0.0133842,5,63,0,-1319.87,0.157874,0.474062,0.416907
1320.74,0.999905,0.0211693,6,63,0,-1320.57,0.108002,0.393863,0.336552
1320.84,0.959332,0.0333263,6,63,0,-1320.23,0.162398,0.442914,0.379086
1318.52,0.497386,0.0479541,4,25,0,-1316.07,0.0542889,0.401885,0.353488
1319.49,0.956317,0.0262859,6,63,0,-1317.2,0.125407,0.289779,0.2327
1318.37,0.996004,0.0374802,5,31,0,-1315.46,0.298528,0.421952,0.379631
1319.5,0.185649,0.0577693,4,15,0,-1315.97,0.232595,0.406188,0.343079
1319.89,0.996931,0.0168568,6,63,0,-1318.44,0.205568,0.557786,0.488086
1319.17,0.892405,0.026015,4,23,0,-1317.71,0.1568,0.535546,0.448489
1320.37,1,0.0323344,4,31,0,-1318.9,0.124618,0.36626,0.299917
1320.37,0.424697,0.0498151,5,31,0,-1318.99,0.161774,0.573994,0.525609
1320.64,0.976688,0.0240787,5,31,0,-1318.9,0.114058,0.426738,0.38001
1319.66,0.702246,0.0353,3,11,0,-1318.94,0.125488,0.412247,0.381494
1320.45,0.996909,0.0298772,4,31,0,-1318.02,0.119332,0.425605,0.38431
1320.79,0.399078,0.0453607,3,13,0,-1319.15,0.110429,0.41671,0.357152
1319.27,0.994498,0.0211409,5,63,0,-1318.87,0.0699023,0.473888,0.408426
1319.34,0.978562,0.0318637,5,31,0,-1318.39,0.0893698,0.536504,0.465629
1320.54,0.988227,0.0463706,4,15,0,-1319.23,0.10194,0.369431,0.315338
1320.54,0.000162806,0.0685124,1,3,1,-1318.14,0.10194,0.369431,0.315338
1319.17,0.982889,0.01495,5,63,0,-1318.75,0.0844528,0.513179,0.43635
1318.55,0.974351,0.0218933,6,63,0,-1317.63,0.119127,0.270117,0.226141
1318.34,0.972277,0.0314288,5,47,0,-1316.69,0.189172,0.271317,0.221954
1318.1,0.886142,0.0447883,3,7,0,-1317.63,0.205291,0.273847,0.22283
1319.97,0.473918,0.0540267,5,31,0,-1317.24,0.0775461,0.390208,0.336249
1317.64,0.491224,0.0298614,2,3,0,-1316.69,0.0792486,0.407936,0.318399
1319.34,0.980358,0.017138,3,7,0,-1316.23,0.0779896,0.399254,0.357206
1319.37,0.981653,0.024697,2,3,0,-1318.98,0.0795489,0.420258,0.343649
1318.91,0.953751,0.0355599,5,31,0,-1318.27,0.0775078,0.303926,0.257814
1317.79,0.535239,0.0484598,4,15,0,-1317.27,0.0774247,0.356463,0.273592
1320.34,0.99895,0.0303819,4,31,0,-1315.55,0.104737,0.344323,0.284238
1320.15,0.49452,0.0449,5,31,0,-1318.28,0.204297,0.369505,0.323964
1320.92,0.92106,0.0262309,4,27,0,-1318.91,0.147829,0.494234,0.438271
1320.13,0.646788,0.0335323,3,11,0,-1318.62,0.139143,0.495877,0.462568
1320.13,7.06137e-005,0.415667,1,3,0,-1315.87,0.139143,0.495877,0.462568
1320.13,0,0.970735,0,1,1,-1317.13,0.139143,0.495877,0.462568
1319.53,0.955463,0.0957175,4,31,0,-1318.66,0.17512,0.459234,0.37934
1320.5,0.995232,0.0885362,2,3,0,-1319.22,0.169377,0.452094,0.382737
1320.22,0.931214,0.117124,3,11,0,-1319.05,0.210295,0.468228,0.403536
1319.51,0.954867,0.148291,4,19,0,-1318,0.176092,0.649965,0.584187
1320.26,0.420465,0.217767,4,23,0,-1317.04,0.0973867,0.343019,0.284443
1320.5,0.999211,0.0636343,6,63,0,-1319.65,0.165882,0.352366,0.302506
1319.69,0.966357,0.114305,5,31,0,-1318.4,0.227695,0.405684,0.343706
1319.5,0.999542,0.189962,4,31,0,-1318.46,0.24432,0.420487,0.385878
1319.5,0.000966048,0.355509,1,3,0,-1313.01,0.24432,0.420487,0.385878
1320.08,0.999847,0.0285723,6,95,0,-1317.62,0.11449,0.50937,0.435741
1319.18,0.955356,0.0544227,2,7,0,-1318.04,0.114623,0.485168,0.458108
1318.74,0.99976,0.0902903,4,17,0,-1317.77,0.097367,0.540492,0.454006
1319.24,0.685145,0.1719,4,31,0,-1317.04,0.0947637,0.501738,0.419984
