# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-27 00:25:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp5r05agcg\xbby45oz.json
# init = 0
# random
#   seed = 3207695894
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\data_fitting\saved_fits\exponential_priors\sierra_leone\exponential_priors-20240427012526.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
1001.51,0.0557468,0.0625,2,3,0,-985.072,0.884313,0.797935,0.99928
1001.51,0,2.58415,0,1,1,-999.45,0.884313,0.797935,0.99928
1001.51,0,0.262566,0,1,1,-999.068,0.884313,0.797935,0.99928
1005.34,1,0.019368,2,3,0,-1001.54,0.872983,0.803216,0.97478
1022.59,0.989129,0.0218435,3,7,0,-1004.56,0.760039,0.843284,0.866924
1038.16,1,0.0294085,2,3,0,-1021.83,0.616419,0.779582,0.849018
1046.26,0.933312,0.0463579,2,3,0,-1037.27,0.545485,0.764496,0.799562
1046.26,0.118768,0.0642132,1,1,0,-1045.98,0.545485,0.764496,0.799562
1051.43,0.997532,0.00718913,7,127,0,-1043.56,0.484905,0.834434,0.873534
1055.98,0.998465,0.0129533,4,15,0,-1049.19,0.446812,0.754432,0.764117
1057.33,0.819291,0.0240402,3,7,0,-1052.58,0.425255,0.676805,0.727242
1074.56,0.792043,0.025726,4,19,0,-1052.61,0.0498415,0.633854,0.592599
1074.54,0.999887,0.0255437,2,3,0,-1074.43,0.0495976,0.614933,0.607579
1074.57,0.506079,0.0490814,5,31,0,-1069.75,0.0910105,0.296466,0.295827
1075.36,0.997139,0.0202107,6,63,0,-1073.89,0.125197,0.365265,0.322565
1078.04,0.599053,0.0387119,5,31,0,-1074.51,0.135436,0.469737,0.451603
1077.81,0.834586,0.0216786,4,31,0,-1075.48,0.0934337,0.410755,0.398259
1077.39,0.999968,0.0252128,6,63,0,-1076.79,0.0698991,0.514299,0.495238
1076.27,0.197733,0.0484128,3,7,0,-1075.53,0.0606948,0.553557,0.545522
1074.51,0.977508,0.00826513,7,127,0,-1071.94,0.187084,0.539425,0.5674
1075.08,0.995076,0.0148742,3,7,0,-1074.07,0.17885,0.569701,0.520906
1073.51,0.772357,0.0279606,4,15,0,-1070.15,0.221616,0.668206,0.687629
1072.47,0.999545,0.027098,5,31,0,-1071.5,0.223598,0.776514,0.799211
1076.56,1,0.0508941,4,15,0,-1071.25,0.180698,0.536829,0.533112
1076.56,0.0394123,0.0947436,1,3,0,-1076.21,0.180698,0.536829,0.533112
1076.18,0.999607,0.0112218,7,127,0,-1074.59,0.0988826,0.77685,0.744364
1076.63,0.964484,0.0209303,6,63,0,-1073.64,0.0612725,0.394696,0.368887
1078.2,0.99025,0.0350082,5,31,0,-1076.23,0.0919537,0.52378,0.507086
1078.39,0.318271,0.0623775,2,5,0,-1075.16,0.107226,0.511136,0.495632
1078.21,0.985527,0.0172096,3,15,0,-1078.03,0.105323,0.510031,0.502605
1077.49,0.495687,0.0301621,2,3,0,-1075.11,0.110366,0.495377,0.501796
1077.25,0.996852,0.0138466,5,47,0,-1075.87,0.0858315,0.424106,0.386821
1077.7,0.999679,0.024834,6,63,0,-1076.32,0.112894,0.661395,0.640933
1077.52,0.97467,0.0444509,4,15,0,-1077.16,0.102977,0.657553,0.64901
1077.52,0.0489134,0.0737611,1,3,1,-1076.37,0.102977,0.657553,0.64901
1077.19,0.988202,0.0106437,2,3,0,-1077.16,0.103054,0.649377,0.653389
1077.43,0.999507,0.0183522,6,63,0,-1076.8,0.0949432,0.599819,0.601565
1076.74,0.948907,0.0323026,5,31,0,-1076.02,0.174487,0.476122,0.456324
1074.5,0.126899,0.0494874,4,15,0,-1072.9,0.202771,0.404592,0.405181
1075.23,0.995827,0.00926606,3,7,0,-1074.1,0.196575,0.409846,0.392909
1076.64,0.974654,0.0160267,6,63,0,-1072.51,0.144499,0.361345,0.350814
1076.64,0.656798,0.0260659,2,7,0,-1073.84,0.144499,0.361345,0.350814
1075.29,0.931498,0.0190557,6,63,0,-1071.49,0.0520826,0.353042,0.340116
1077.95,0.851064,0.0276108,4,23,0,-1072.08,0.0828834,0.453246,0.433064
1077.52,0.829832,0.0326523,5,31,0,-1077.01,0.146494,0.582393,0.551969
1077.36,0.998531,0.0365711,4,15,0,-1076.89,0.145106,0.643431,0.638954
1077.36,0.0740992,0.0615256,1,3,0,-1076.11,0.145106,0.643431,0.638954
1077.02,0.981567,0.0111178,7,127,0,-1075.7,0.11505,0.392478,0.392345
1078,0.983743,0.0179726,3,15,0,-1076.3,0.111874,0.413253,0.397004
1076.42,0.951291,0.0290087,5,31,0,-1076.27,0.0750221,0.339564,0.327386
1076.42,0.0341785,0.0430878,1,1,0,-1073.78,0.0750221,0.339564,0.327386
1077.75,0.999968,0.0074342,7,127,0,-1075.67,0.14375,0.454127,0.440283
1078.24,0.99203,0.0124074,5,63,0,-1077.21,0.107065,0.518537,0.489346
1077.32,0.946491,0.0201923,4,27,0,-1076.62,0.093159,0.407481,0.403921
1076.98,0.966745,0.0294091,2,3,0,-1076.91,0.0911675,0.429252,0.387682
1077.9,0.186859,0.0446377,3,11,0,-1071.66,0.108267,0.399845,0.380436
1077.6,0.983373,0.0114953,7,127,0,-1076.8,0.12966,0.419978,0.392405
1076.69,0.992941,0.018119,6,63,0,-1075.88,0.124446,0.742382,0.70758
1077.67,0.990958,0.0290103,4,15,0,-1076.55,0.109437,0.659151,0.633387
1077.6,0.507151,0.045973,3,11,0,-1076.5,0.117239,0.563103,0.521603
1078.34,1,0.0248301,2,3,0,-1077.48,0.116995,0.546751,0.526778
1076.55,0.944643,0.0399439,4,19,0,-1074.51,0.130909,0.763507,0.743315
1076.55,0.233847,0.0566045,2,7,0,-1076.03,0.130909,0.763507,0.743315
1076.6,0.942544,0.0170274,6,71,0,-1074.97,0.105969,0.335905,0.327845
1076.15,0.999327,0.0240339,5,47,0,-1074.6,0.099263,0.310743,0.282236
1077.48,0.999516,0.0381723,5,31,0,-1074.37,0.106656,0.655143,0.651328
1077.48,0.0826133,0.0603292,1,1,0,-1076.6,0.106656,0.655143,0.651328
1075.07,0.989237,0.0135029,5,63,0,-1073.85,0.0559953,0.60928,0.608708
